房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
501,152.77,21000.00,55.50,57804.86,3208170.00,在售,办公
401,152.77,21000.00,55.50,57804.86,3208170.00,在售,办公
301,152.77,21000.00,55.50,57804.86,3208170.00,在售,办公
201,152.77,21000.00,55.50,57804.86,3208170.00,在售,办公
P314,34.14,71481.07,17.19,141964.16,2440363.99,在售,商业
P313,33.95,71502.38,17.10,141959.42,2427506.08,在售,商业
P312,33.95,71502.38,17.10,141959.42,2427506.08,在售,商业
P311,33.95,71502.38,17.10,141959.42,2427506.08,在售,商业
P310,33.95,71502.38,17.10,141959.42,2427506.08,在售,商业
P309,33.95,71502.38,17.10,141959.42,2427506.08,在售,商业
P308,33.95,71502.38,17.10,141959.42,2427506.08,在售,商业
P307,33.59,71543.42,16.92,142029.77,2403143.72,在售,商业
P406,49.44,85919.57,24.90,170596.94,4247863.85,在售,商业
P405,41.99,39338.14,21.15,78099.69,1651808.50,在售,商业
P404,24.41,89136.37,12.30,176895.84,2175818.93,在售,商业
P403,83.66,23733.02,42.14,47116.86,1985504.45,在售,商业
P402,72.18,27004.68,36.36,53608.30,1949197.80,在售,商业
P401,82.74,23431.04,41.68,46513.54,1938684.25,在售,商业
P314,34.14,58875.22,17.19,116928.45,2010000.01,在售,商业
P313,33.95,69420.13,17.10,137825.35,2356813.59,在售,商业
P312,33.95,69420.13,17.10,137825.35,2356813.59,在售,商业
P311,33.95,69420.13,17.10,137825.35,2356813.59,在售,商业
P310,33.95,69420.13,17.10,137825.35,2356813.59,在售,商业
P309,33.95,69420.13,17.10,137825.35,2356813.59,在售,商业
P308,33.95,69420.13,17.10,137825.35,2356813.59,在售,商业
P307,33.59,69461.17,16.92,137896.03,2333200.83,在售,商业
P406,49.44,83837.32,24.90,166462.54,4144917.26,在售,商业
P405,41.99,38088.80,21.15,75619.32,1599348.71,在售,商业
P404,24.41,87054.12,12.30,172763.50,2124991.14,在售,商业
P403,83.66,22483.66,42.14,44636.52,1880983.00,在售,商业
P402,72.18,25755.33,36.36,51128.16,1859019.72,在售,商业
P401,82.74,21557.02,41.68,42793.37,1783627.83,在售,商业
P314,33.09,67957.96,17.19,130816.11,2248729.03,在售,商业
P313,32.91,67979.45,17.10,130830.62,2237203.76,在售,商业
P312,32.91,67979.45,17.10,130830.62,2237203.76,在售,商业
P311,32.91,67979.45,17.10,130830.62,2237203.76,在售,商业
P310,32.91,67979.45,17.10,130830.62,2237203.76,在售,商业
