房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
38栋101,53.21,34500.00,47.61,38557.97,1835745.00,在售,商铺
37栋102,622.52,20700.00,609.76,21133.17,12886164.00,在售,商铺
37栋101,579.20,20700.00,567.32,21133.46,11989440.00,在售,商铺
36B栋101,488.60,20700.00,475.76,21258.65,10114020.00,在售,商铺
36A栋1J,166.32,32400.00,159.01,33889.00,5388768.00,在售,商铺
36A栋1I,166.32,32400.00,159.01,33889.00,5388768.00,在售,商铺
36A栋1H,166.32,32400.00,159.01,33889.00,5388768.00,在售,商铺
36A栋1G,166.32,33000.00,159.01,34517.00,5488560.00,在售,商铺
36A栋1F,166.32,33000.00,159.01,34517.00,5488560.00,在售,商铺
36A栋1E,166.32,32400.00,159.01,33889.00,5388768.00,在售,商铺
36A栋1D,166.32,32400.00,159.01,33889.00,5388768.00,在售,商铺
36A栋1C,166.32,32400.00,159.01,33889.00,5388768.00,在售,商铺
36A栋1B,166.32,33700.00,159.01,35249.00,5604984.00,在售,商铺
36A栋1A,166.32,33700.00,159.01,35249.00,5604984.00,在售,商铺
36A栋110,91.58,27600.00,88.80,28464.05,2527608.00,在售,商铺
36A栋109,91.58,27600.00,88.80,28464.05,2527608.00,在售,商铺
36A栋108,91.58,26450.00,88.80,27278.05,2422291.00,在售,商铺
36A栋107,91.58,26450.00,88.80,27278.05,2422291.00,在售,商铺
36A栋106,91.58,26450.00,88.80,27278.05,2422291.00,在售,商铺
36A栋105,91.58,26450.00,88.80,27278.05,2422291.00,在售,商铺
36A栋104,91.58,26450.00,88.80,27278.05,2422291.00,在售,商铺
36A栋103,91.58,26450.00,88.80,27278.05,2422291.00,在售,商铺
36A栋102,91.58,27600.00,88.80,28464.05,2527608.00,在售,商铺
36A栋101,91.58,27600.00,88.80,28464.05,2527608.00,在售,商铺
35栋110,187.55,23460.00,182.23,24144.88,4399923.00,在售,商铺
35栋109,146.79,23345.00,142.63,24025.89,3426813.00,在售,商铺
35栋108,402.91,20700.00,391.50,21303.28,8340237.00,在售,商铺
35栋106,307.95,27140.00,299.23,27930.89,8357763.00,在售,商铺
35栋105,300.90,23345.00,292.38,24025.27,7024511.00,在售,商铺
35栋104,226.42,23230.00,220.00,23907.89,5259737.00,在售,商铺
35栋103,226.42,23230.00,220.00,23907.89,5259737.00,在售,商铺
35栋102,226.42,23230.00,220.00,23907.89,5259737.00,在售,商铺
35栋101,205.18,23344.99,199.38,24024.10,4789927.00,在售,商铺
34栋105,48.05,27600.00,46.50,28520.00,1326180.00,在售,商铺
34栋104,46.50,27600.00,45.00,28520.00,1283400.00,在售,商铺
34栋103,46.50,27600.00,45.00,28520.00,1283400.00,在售,商铺
34栋102,46.50,27600.00,45.00,28520.00,1283400.00,在售,商铺
34栋101,48.05,27600.00,46.50,28520.00,1326180.00,在售,商铺
33栋105,48.05,27600.00,46.50,28520.00,1326180.00,在售,商铺
33栋104,46.50,26450.00,45.00,27331.66,1229925.00,在售,商铺
33栋103,46.50,26450.00,45.00,27331.66,1229925.00,在售,商铺
33栋102,46.50,26450.00,45.00,27331.66,1229925.00,在售,商铺
33栋101,48.05,27600.00,46.50,28520.00,1326180.00,在售,商铺
32栋109,47.92,27600.00,46.50,28442.83,1322592.00,在售,商铺
32栋108,46.37,26450.01,45.00,27255.26,1226487.00,在售,商铺
32栋107,46.37,26450.01,45.00,27255.26,1226487.00,在售,商铺
32栋106,46.37,26450.01,45.00,27255.26,1226487.00,在售,商铺
32栋105,46.37,26450.01,45.00,27255.26,1226487.00,在售,商铺
32栋104,46.37,26450.01,45.00,27255.26,1226487.00,在售,商铺
32栋103,46.37,26450.01,45.00,27255.26,1226487.00,在售,商铺
32栋102,46.37,26450.01,45.00,27255.26,1226487.00,在售,商铺
32栋101,47.92,27600.00,46.50,28442.83,1322592.00,在售,商铺
