房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
C2栋2D,119.30,21792.00,77.64,33486.00,2599853.00,在售,住宅
C2栋4D,119.30,21890.00,77.64,33636.00,2611499.00,在售,住宅
C2栋8D,119.30,22086.00,77.64,33937.00,2634868.00,在售,住宅
C2栋10D,119.30,18767.00,77.64,28838.00,2238982.00,在售,住宅
C2栋12D,119.30,18850.00,77.64,28965.00,2248842.00,在售,住宅
C2栋14D,119.30,18932.00,77.64,29092.00,2258702.00,在售,住宅
C2栋16D,119.30,19016.18,77.64,29219.00,2268630.00,在售,住宅
C2栋18D,119.30,22575.00,77.64,34689.00,2693253.00,在售,住宅
C2栋20D,119.30,19181.00,77.64,29474.00,2288361.00,在售,住宅
C2栋22D,119.30,19264.00,77.64,29601.00,2298221.00,在售,住宅
C2栋24D,119.30,26320.20,77.64,40443.00,3139999.00,在售,住宅
C2栋26D,119.30,19430.00,77.64,29856.00,2318019.00,在售,住宅
C2栋28D,88.95,29163.00,57.89,44809.00,2594048.00,在售,住宅
C2栋2C,86.24,23236.92,56.12,35708.35,2003952.79,在售,住宅
C2栋4C,86.24,23347.74,56.12,35878.64,2013509.53,在售,住宅
C2栋8C,86.24,23569.37,56.12,36219.22,2032623.00,在售,住宅
C2栋10C,86.24,23680.19,56.12,36389.51,2042179.74,在售,住宅
C2栋12C,86.24,23791.00,56.12,36559.80,2051736.48,在售,住宅
C2栋14C,86.24,23901.82,56.12,36730.10,2061293.21,在售,住宅
C2栋16C,86.24,24012.63,56.12,36900.39,2070849.95,在售,住宅
C2栋18C,86.24,24123.45,56.12,37070.68,2080406.69,在售,住宅
C2栋20C,86.24,24234.26,56.12,37240.97,2089963.43,在售,住宅
C2栋22C,86.24,24345.08,56.12,37411.26,2099520.16,在售,住宅
C2栋24C,86.24,24455.90,56.12,37581.55,2109076.90,在售,住宅
C2栋26C,86.24,24566.71,56.12,37751.84,2118633.64,在售,住宅
C2栋28C,86.09,24677.53,56.03,37916.99,2124489.14,在售,住宅
C2栋2B,86.24,22980.95,56.13,35308.69,1981877.21,在售,住宅
C2栋4B,86.24,23091.76,56.13,35478.95,1991433.95,在售,住宅
C2栋6B,86.24,23202.58,56.13,35649.21,2000990.69,在售,住宅
C2栋8B,86.24,23313.39,56.13,35819.48,2010547.42,在售,住宅
C2栋10B,86.24,23424.21,56.13,35989.74,2020104.16,在售,住宅
C2栋12B,86.24,23535.02,56.13,36160.00,2029660.90,在售,住宅
C2栋14B,86.24,23645.84,56.13,36330.26,2039217.64,在售,住宅
C2栋16B,86.24,23756.66,56.13,36500.52,2048774.37,在售,住宅
C2栋18B,86.24,23867.47,56.13,36670.78,2058331.11,在售,住宅
C2栋20B,86.24,23978.29,56.13,36841.04,2067887.85,在售,住宅
C2栋22B,86.24,24089.10,56.13,37011.30,2077444.59,在售,住宅
C2栋24B,86.24,24199.92,56.13,37181.56,2087001.32,在售,住宅
C2栋26B,86.24,24310.73,56.13,37351.82,2096558.06,在售,住宅
C2栋28B,86.09,24421.55,56.04,37516.97,2102451.24,在售,住宅
C2栋2A,86.48,24143.39,56.30,37085.63,2087921.09,在售,住宅
C2栋4A,86.48,24254.21,56.30,37255.85,2097504.43,在售,住宅
C2栋6A,86.48,24365.02,56.30,37426.07,2107087.76,在售,住宅
C2栋8A,86.48,24475.84,56.30,37596.28,2116671.09,在售,住宅
C2栋10A,86.48,24586.66,56.30,37766.50,2126254.43,在售,住宅
C2栋12A,86.48,24697.47,56.30,37936.72,2135837.76,在售,住宅
C2栋14A,86.48,24808.29,56.30,38106.94,2145421.09,在售,住宅
C2栋16A,86.48,24919.10,56.30,38277.16,2155004.43,在售,住宅
C2栋18A,86.48,25029.92,56.30,38447.38,2164587.76,在售,住宅
C2栋20A,86.48,25140.73,56.30,38617.60,2174171.09,在售,住宅
C2栋22A,86.48,25251.55,56.30,38787.82,2183754.43,在售,住宅
C2栋24A,86.48,25362.37,56.30,38958.04,2193337.76,在售,住宅
C2栋26A,86.48,25473.18,56.30,39128.26,2202921.09,在售,住宅
C2栋28A,83.91,26367.58,54.62,40507.22,2212504.43,在售,住宅
C1栋2D,119.30,20114.00,77.64,30906.85,2399607.00,在售,住宅
C1栋4D,119.30,20207.00,77.64,31050.91,2410792.00,在售,住宅
C1栋6D,119.30,20277.00,77.64,31158.09,2419114.00,在售,住宅
C1栋8D,119.30,20395.00,77.64,31339.02,2433161.00,在售,住宅
C1栋10D,119.30,20489.00,77.64,31483.07,2444345.00,在售,住宅
C1栋12D,119.30,20582.00,77.64,31627.13,2455530.00,在售,住宅
C1栋14D,119.30,20676.00,77.64,31771.18,2466714.00,在售,住宅
C1栋16D,119.30,20770.00,77.64,31915.23,2477898.00,在售,住宅
C1栋18D,119.30,20864.00,77.64,32059.29,2489083.00,在售,住宅
C1栋20D,119.30,25543.00,77.64,39248.00,3047279.00,在售,住宅
C1栋22D,119.30,21051.00,77.64,32347.40,2511452.00,在售,住宅
C1栋24D,119.30,17888.00,77.64,27487.00,2134090.00,在售,住宅
C1栋26D,119.30,30870.00,77.64,47435.00,3682853.00,在售,住宅
C1栋28D,88.95,28611.00,57.89,43962.77,2545004.00,在售,住宅
C1栋2C,86.24,18528.00,56.12,28473.27,1597919.00,在售,住宅
C1栋4C,86.24,18622.00,56.12,28617.34,1606005.00,在售,住宅
C1栋6C,86.24,18716.00,56.12,28761.40,1614089.00,在售,住宅
C1栋8C,86.24,18787.00,56.12,28871.30,1620257.00,在售,住宅
C1栋10C,86.24,18881.00,56.12,29015.20,1628333.00,在售,住宅
C1栋12C,86.24,18997.00,56.12,29193.60,1638344.00,在售,住宅
C1栋14C,86.24,19091.00,56.12,29337.67,1646430.00,在售,住宅
C1栋16C,86.24,19185.00,56.12,29481.74,1654515.00,在售,住宅
C1栋18C,86.24,19278.00,56.12,29625.80,1662599.00,在售,住宅
C1栋20C,86.24,19372.00,56.12,29769.87,1670685.00,在售,住宅
C1栋22C,86.24,19466.00,56.12,29913.93,1678769.00,在售,住宅
C1栋24C,86.24,19560.00,56.12,30058.00,1686854.00,在售,住宅
C1栋26C,86.24,19653.00,56.12,30202.07,1694940.00,在售,住宅
C1栋28C,86.09,19747.00,56.03,30342.00,1700062.00,在售,住宅
C1栋2B,86.24,18745.00,56.13,28800.93,1616596.00,在售,住宅
C1栋4B,86.24,18839.00,56.13,28944.97,1624681.00,在售,住宅
C1栋6B,86.24,18932.00,56.13,29089.01,1632766.00,在售,住宅
