房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2栋C座31层05,98.03,35916.00,76.46,46048.20,3520845.48,在售,住宅
2栋C座31层03,96.08,34416.00,74.94,44124.48,3306689.28,在售,住宅
2栋C座31层02,96.08,33916.00,74.94,43483.44,3258649.28,在售,住宅
2栋C座31层01,98.03,35416.00,76.46,45407.14,3471830.48,在售,住宅
2栋C座30层05,96.47,37196.00,75.20,47716.73,3588298.12,在售,住宅
2栋C座30层03,94.05,35696.00,73.32,45788.44,3357208.80,在售,住宅
2栋C座30层02,94.05,35196.00,73.32,45147.07,3310183.80,在售,住宅
2栋C座30层01,96.47,36696.00,75.20,47075.30,3540063.12,在售,住宅
2栋C座29层05,96.47,37116.00,75.20,47614.10,3580580.52,在售,住宅
2栋C座29层03,94.05,35616.00,73.32,45685.82,3349684.80,在售,住宅
2栋C座29层02,94.05,35116.00,73.32,45044.45,3302659.80,在售,住宅
2栋C座29层01,96.47,36616.00,75.20,46972.67,3532345.52,在售,住宅
2栋C座28层05,96.47,37036.00,75.20,47511.47,3572862.92,在售,住宅
2栋C座28层03,94.05,35536.00,73.32,45583.20,3342160.80,在售,住宅
2栋C座28层02,94.05,35036.00,73.32,44941.84,3295135.80,在售,住宅
2栋C座28层01,96.47,36536.00,75.20,46870.05,3524627.92,在售,住宅
2栋C座27层05,96.47,36956.00,75.20,47408.84,3565145.32,在售,住宅
2栋C座27层03,94.05,35456.00,73.32,45480.58,3334636.80,在售,住宅
2栋C座27层02,94.05,34956.00,73.32,44839.22,3287611.80,在售,住宅
2栋C座27层01,96.47,36456.00,75.20,46767.42,3516910.32,在售,住宅
2栋C座26层05,96.47,36876.00,75.20,47306.21,3557427.72,在售,住宅
2栋C座26层03,94.05,35376.00,73.32,45377.97,3327112.80,在售,住宅
2栋C座26层02,94.05,34876.00,73.32,44736.60,3280087.80,在售,住宅
2栋C座26层01,96.47,36376.00,75.20,46664.79,3509192.72,在售,住宅
2栋C座25层05,96.47,36796.00,75.20,47203.59,3549710.12,在售,住宅
2栋C座25层03,94.05,35296.00,73.32,45275.35,3319588.80,在售,住宅
2栋C座25层02,94.05,34796.00,73.32,44633.98,3272563.80,在售,住宅
2栋C座25层01,96.47,36296.00,75.20,46562.16,3501475.12,在售,住宅
2栋C座24层05,96.47,36666.00,75.20,47036.82,3537169.02,在售,住宅
2栋C座24层03,94.05,35166.00,73.32,45108.59,3307362.30,在售,住宅
2栋C座24层02,94.05,34666.00,73.32,44467.22,3260337.30,在售,住宅
2栋C座24层01,96.47,36166.00,75.20,46395.39,3488934.02,在售,住宅
2栋C座23层05,96.47,36636.00,75.20,46998.33,3534274.92,在售,住宅
2栋C座23层03,94.05,35136.00,73.32,45070.11,3304540.80,在售,住宅
2栋C座23层02,94.05,34636.00,73.32,44428.74,3257515.80,在售,住宅
2栋C座23层01,96.47,36136.00,75.20,46356.91,3486039.92,在售,住宅
2栋C座22层05,96.47,36556.00,75.20,46895.70,3526557.32,在售,住宅
2栋C座22层03,94.05,35056.00,73.32,44967.49,3297016.80,在售,住宅
2栋C座22层02,94.05,34556.00,73.32,44326.12,3249991.80,在售,住宅
2栋C座22层01,96.47,36056.00,75.20,46254.28,3478322.32,在售,住宅
2栋C座21层05,96.47,36476.00,75.20,46793.08,3518839.72,在售,住宅
2栋C座21层03,94.05,34976.00,73.32,44864.87,3289492.80,在售,住宅
2栋C座21层02,94.05,34476.00,73.32,44223.51,3242467.80,在售,住宅
2栋C座21层01,96.47,35976.00,75.20,46151.65,3470604.72,在售,住宅
2栋C座20层05,96.47,36396.00,75.20,46690.45,3511122.12,在售,住宅
2栋C座20层03,94.05,34896.00,73.32,44762.25,3281968.80,在售,住宅
2栋C座20层02,94.05,34396.00,73.32,44120.89,3234943.80,在售,住宅
2栋C座20层01,96.47,35896.00,75.20,46049.03,3462887.12,在售,住宅
2栋C座19层05,96.47,36316.00,75.20,46587.82,3503404.52,在售,住宅
2栋C座19层03,94.05,34816.00,73.32,44659.63,3274444.80,在售,住宅
2栋C座19层02,94.05,34316.00,73.32,44018.27,3227419.80,在售,住宅
2栋C座19层01,96.47,35816.00,75.20,45946.40,3455169.52,在售,住宅
2栋C座18层05,96.47,36186.00,75.20,46421.05,3490863.42,在售,住宅
2栋C座18层03,94.05,34686.00,73.32,44492.88,3262218.30,在售,住宅
2栋C座18层02,94.05,34186.00,73.32,43851.51,3215193.30,在售,住宅
2栋C座18层01,96.47,35686.00,75.20,45779.63,3442628.42,在售,住宅
2栋C座17层05,96.47,36156.00,75.20,46382.57,3487969.32,在售,住宅
