房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
7号楼B座29层29D,97.43,51107.28,77.85,63961.24,4979383.00,在售,住宅
7号楼B座29层29C,86.28,45282.43,68.94,56672.00,3906968.00,在售,住宅
7号楼B座29层29B,86.29,46662.00,68.95,58396.87,4026464.00,在售,住宅
7号楼B座29层29A,97.43,52129.19,77.85,65240.17,5078947.00,在售,住宅
7号楼B座28层28D,97.43,51189.04,77.85,64063.56,4987348.00,在售,住宅
7号楼B座28层28C,86.28,45364.18,68.94,56774.32,3914022.00,在售,住宅
7号楼B座28层28B,86.29,46743.75,68.95,58499.18,4033518.00,在售,住宅
7号楼B座28层28A,97.43,52210.94,77.85,65342.48,5086912.00,在售,住宅
7号楼B座27层27D,97.43,51066.41,77.85,63910.09,4975400.00,在售,住宅
7号楼B座27层27C,86.28,45241.55,68.94,56620.85,3903441.00,在售,住宅
7号楼B座27层27B,86.29,46621.12,68.95,58345.71,4022937.00,在售,住宅
7号楼B座27层27A,97.43,52088.31,77.85,65189.01,5074964.00,在售,住宅
7号楼B座26层26D,97.43,50943.78,77.85,63756.61,4963452.00,在售,住宅
7号楼B座26层26C,86.28,45118.92,68.94,56467.37,3892861.00,在售,住宅
7号楼B座26层26B,86.29,46498.50,68.95,58192.24,4012355.00,在售,住宅
7号楼B座26层26A,97.43,51965.68,77.85,65035.54,5063017.00,在售,住宅
7号楼B座25层25D,97.43,50821.15,77.85,63603.14,4951505.00,在售,住宅
7号楼B座25层25C,86.28,44996.30,68.94,56313.90,3882280.00,在售,住宅
7号楼B座25层25B,86.29,46375.87,68.95,58038.77,4001774.00,在售,住宅
7号楼B座25层25A,97.43,51843.06,77.85,64882.07,5051069.00,在售,住宅
7号楼B座24层24D,97.43,50698.52,77.85,63449.67,4939557.00,在售,住宅
7号楼B座24层24C,86.28,44873.67,68.94,56160.43,3871700.00,在售,住宅
7号楼B座24层24B,86.29,46253.24,68.95,57885.31,3991192.00,在售,住宅
7号楼B座24层24A,97.43,51720.43,77.85,64728.60,5039121.00,在售,住宅
7号楼B座23层23D,97.43,50575.89,77.85,63296.20,4927609.00,在售,住宅
7号楼B座23层23C,86.28,44751.04,68.94,56006.96,3861120.00,在售,住宅
7号楼B座23层23B,86.29,46130.61,68.95,57731.84,3980610.00,在售,住宅
7号楼B座23层23A,97.43,51597.80,77.85,64575.13,5027174.00,在售,住宅
7号楼B座22层22D,97.43,50453.27,77.85,63142.73,4915662.00,在售,住宅
7号楼B座22层22C,86.28,44628.41,68.94,55853.48,3850539.00,在售,住宅
7号楼B座22层22B,86.29,46007.98,68.95,57578.37,3970029.00,在售,住宅
7号楼B座22层22A,97.43,51475.17,77.85,64421.65,5015226.00,在售,住宅
7号楼B座21层21D,97.43,50330.64,77.85,62989.26,4903714.00,在售,住宅
7号楼B座21层21C,86.28,44505.78,68.94,55700.01,3839959.00,在售,住宅
7号楼B座21层21B,86.29,45885.35,68.95,57424.90,3959447.00,在售,住宅
7号楼B座21层21A,97.43,51352.54,77.85,64268.18,5003278.00,在售,住宅
7号楼B座20层20D,97.43,50208.01,77.85,62835.79,4891766.00,在售,住宅
7号楼B座20层20C,86.28,44383.15,68.94,55546.54,3829378.00,在售,住宅
7号楼B座20层20B,86.29,45762.72,68.95,57271.44,3948865.00,在售,住宅
7号楼B座20层20A,97.43,51229.91,77.85,64114.71,4991330.00,在售,住宅
7号楼B座19层19D,97.43,50126.26,77.85,62733.48,4883801.00,在售,住宅
7号楼B座19层19C,86.28,44301.40,68.94,55444.22,3822325.00,在售,住宅
7号楼B座19层19B,86.29,45680.97,68.95,57169.12,3941811.00,在售,住宅
7号楼B座19层19A,97.43,51148.16,77.85,64012.40,4983365.00,在售,住宅
7号楼B座18层18D,97.43,50044.50,77.85,62631.16,4875836.00,在售,住宅
7号楼B座18层18C,86.28,44219.65,68.94,55341.91,3815271.00,在售,住宅
7号楼B座18层18B,86.29,45599.22,68.95,57066.81,3934757.00,在售,住宅
7号楼B座18层18A,97.43,51066.41,77.85,63910.09,4975400.00,在售,住宅
7号楼B座17层17D,97.43,49962.75,77.85,62528.85,4867871.00,在售,住宅
7号楼B座17层17C,86.28,44137.90,68.94,55239.59,3808218.00,在售,住宅
7号楼B座17层17B,86.29,45517.47,68.95,56964.50,3927702.00,在售,住宅
7号楼B座17层17A,97.43,50984.66,77.85,63807.77,4967435.00,在售,住宅
7号楼B座16层16D,97.43,49881.00,77.85,62426.53,4859906.00,在售,住宅
7号楼B座16层16C,86.28,44056.14,68.94,55137.28,3801164.00,在售,住宅
7号楼B座16层16B,86.29,45435.71,68.95,56862.19,3920648.00,在售,住宅
7号楼B座16层16A,97.43,50902.90,77.85,63705.46,4959470.00,在售,住宅
7号楼B座15层15D,97.43,49799.25,77.85,62324.22,4851941.00,在售,住宅
7号楼B座15层15C,86.28,43974.39,68.94,55034.96,3794110.00,在售,住宅
7号楼B座15层15B,86.29,45353.96,68.95,56759.88,3913593.00,在售,住宅
7号楼B座15层15A,97.43,50821.15,77.85,63603.14,4951505.00,在售,住宅
7号楼B座14层14D,97.43,49717.49,77.85,62221.91,4843975.00,在售,住宅
7号楼B座14层14C,86.28,43892.64,68.94,54932.65,3787057.00,在售,住宅
7号楼B座14层14B,86.29,45272.21,68.95,56657.56,3906539.00,在售,住宅
7号楼B座14层14A,97.43,50739.40,77.85,63500.83,4943540.00,在售,住宅
7号楼B座13层13D,97.43,49635.74,77.85,62119.59,4836010.00,在售,住宅
7号楼B座13层13C,86.28,43810.89,68.94,54830.33,3780003.00,在售,住宅
7号楼B座13层13B,86.29,45190.46,68.95,56555.25,3899485.00,在售,住宅
7号楼B座13层13A,97.43,50657.65,77.85,63398.52,4935575.00,在售,住宅
7号楼B座12层12D,97.43,49553.99,77.85,62017.28,4828045.00,在售,住宅
7号楼B座12层12C,86.28,43729.13,68.94,54728.02,3772950.00,在售,住宅
7号楼B座12层12B,86.29,45108.70,68.95,56452.94,3892430.00,在售,住宅
7号楼B座12层12A,97.43,50575.89,77.85,63296.20,4927609.00,在售,住宅
7号楼B座11层11D,97.43,49472.24,77.85,61914.97,4820080.00,在售,住宅
7号楼B座11层11C,86.28,43647.38,68.94,54625.70,3765896.00,在售,住宅
7号楼B座11层11B,86.29,45026.95,68.95,56350.63,3885376.00,在售,住宅
7号楼B座11层11A,97.43,50494.14,77.85,63193.89,4919644.00,在售,住宅
7号楼B座10层10D,97.43,49390.48,77.85,61812.65,4812115.00,在售,住宅
7号楼B座10层10C,86.28,43565.63,68.94,54523.39,3758842.00,在售,住宅
7号楼B座10层10B,86.29,44945.20,68.95,56248.32,3878321.00,在售,住宅
7号楼B座10层10A,97.43,50412.39,77.85,63091.57,4911679.00,在售,住宅
7号楼B座09层9D,97.43,49186.10,77.85,61556.87,4792202.00,在售,住宅
7号楼B座09层9C,86.28,43361.25,68.94,54267.60,3741208.00,在售,住宅
7号楼B座09层9B,86.29,44740.82,68.95,55992.54,3860685.00,在售,住宅
7号楼B座09层9A,97.43,50208.01,77.85,62835.79,4891766.00,在售,住宅
7号楼B座08层8D,97.43,48981.72,77.85,61301.08,4772289.00,在售,住宅
7号楼B座08层8C,86.28,43156.87,68.94,54011.81,3723575.00,在售,住宅
7号楼B座08层8B,86.29,44536.44,68.95,55736.76,3843049.00,在售,住宅
7号楼B座08层8A,97.43,50003.63,77.85,62580.01,4871853.00,在售,住宅
7号楼B座07层7D,97.43,48777.34,77.85,61045.30,4752376.00,在售,住宅
7号楼B座07层7C,86.28,42952.49,68.94,53756.03,3705941.00,在售,住宅
7号楼B座07层7B,86.29,44332.06,68.95,55480.98,3825413.00,在售,住宅
7号楼B座07层7A,97.43,49799.25,77.85,62324.22,4851941.00,在售,住宅
7号楼B座06层6D,97.43,48572.96,77.85,60789.51,4732464.00,在售,住宅
7号楼B座06层6C,86.28,42748.11,68.94,53500.24,3688307.00,在售,住宅
7号楼B座06层6B,86.29,44127.68,68.95,55225.20,3807777.00,在售,住宅
7号楼B座06层6A,97.43,49594.87,77.85,62068.44,4832028.00,在售,住宅
7号楼B座05层5D,97.43,48368.58,77.85,60533.73,4712551.00,在售,住宅
7号楼B座05层5C,86.28,42543.72,68.94,53244.45,3670673.00,在售,住宅
7号楼B座05层5B,86.29,43923.30,68.95,54969.42,3790141.00,在售,住宅
7号楼B座05层5A,97.43,49390.48,77.85,61812.65,4812115.00,在售,住宅
7号楼B座04层4D,97.43,48164.20,77.85,60277.94,4692638.00,在售,住宅
7号楼B座04层4C,86.28,42339.34,68.94,52988.67,3653039.00,在售,住宅
7号楼B座04层4B,86.29,43718.91,68.95,54713.64,3772505.00,在售,住宅
7号楼B座04层4A,97.43,49186.10,77.85,61556.87,4792202.00,在售,住宅
7号楼B座03层3D,97.43,47959.82,77.85,60022.16,4672725.00,在售,住宅
7号楼B座03层3C,86.28,42134.96,68.94,52732.88,3635405.00,在售,住宅
