房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
103,396.07,52446.00,305.39,68018.88,20772287.22,在售,未销售
102,117.65,52446.00,90.72,68014.46,6170271.90,在售,未销售
101,122.00,52446.00,94.06,68024.79,6398412.00,在售,未销售
208,75.39,43155.00,49.75,65396.08,3253455.45,在售,未销售
207,77.14,42740.00,50.91,64760.62,3296963.60,在售,未销售
206,75.38,42716.00,49.75,64722.25,3219932.08,在售,未销售
205,74.21,42740.00,48.98,64755.72,3171735.40,在售,未销售
204,75.97,42764.00,50.14,64794.19,3248781.08,在售,未销售
203,73.40,43155.00,48.44,65391.76,3167577.00,在售,未销售
202,160.19,40155.00,105.72,60844.01,6432429.45,在售,未销售
313,67.96,36657.00,49.43,50398.74,2491209.72,在售,未销售
312,68.93,36364.00,50.14,49991.43,2506570.52,在售,未销售
311,67.34,36376.00,48.98,50011.42,2449559.84,在售,未销售
310,67.34,36389.00,48.98,50029.30,2450435.26,在售,未销售
309,67.34,36389.00,48.98,50029.30,2450435.26,在售,未销售
308,67.34,36389.00,48.98,50029.30,2450435.26,在售,未销售
307,68.93,36401.00,50.14,50042.30,2509120.93,在售,未销售
306,67.96,36582.00,49.43,50295.62,2486112.72,在售,未销售
305,67.02,36045.00,48.75,49553.55,2415735.90,在售,未销售
304,67.81,35870.00,49.32,49317.61,2432344.70,在售,未销售
303,94.69,35657.00,68.87,49025.13,3376361.33,在售,未销售
302,73.99,35882.00,53.82,49329.41,2654909.18,在售,未销售
301,67.26,36157.00,48.92,49712.17,2431919.82,在售,未销售
413,68.80,36757.00,50.07,50506.92,2528881.60,在售,未销售
412,68.89,36464.00,50.14,50099.81,2512004.96,在售,未销售
411,67.30,36476.00,48.98,50119.12,2454834.80,在售,未销售
410,67.30,36489.00,48.98,50136.98,2455709.70,在售,未销售
409,67.30,36489.00,48.98,50136.98,2455709.70,在售,未销售
408,67.30,36489.00,48.98,50136.98,2455709.70,在售,未销售
407,68.89,36501.00,50.14,50150.65,2514553.89,在售,未销售
406,68.81,36682.00,50.08,50401.12,2524088.42,在售,未销售
405,67.78,36145.00,49.33,49663.65,2449908.10,在售,未销售
404,67.77,35970.00,49.32,49425.93,2437686.90,在售,未销售
403,94.93,35757.00,69.09,49130.29,3394412.01,在售,未销售
402,74.28,35982.00,54.06,49440.30,2672742.96,在售,未销售
401,67.78,36257.00,49.33,49817.54,2457499.46,在售,未销售
513,68.80,36857.00,50.07,50644.32,2535761.60,在售,未销售
512,68.89,36564.00,50.14,50237.21,2518893.96,在售,未销售
511,67.30,36576.00,48.98,50256.52,2461564.80,在售,未销售
510,67.30,36589.00,48.98,50274.39,2462439.70,在售,未销售
509,67.30,36589.00,48.98,50274.39,2462439.70,在售,未销售
508,67.30,36589.00,48.98,50274.39,2462439.70,在售,未销售
507,68.89,36601.00,50.14,50288.05,2521442.89,在售,未销售
506,68.81,36782.00,50.08,50538.52,2530969.42,在售,未销售
505,67.78,36245.00,49.33,49801.05,2456686.10,在售,未销售
504,67.77,36070.00,49.32,49563.33,2444463.90,在售,未销售
503,94.93,35857.00,69.09,49267.69,3403905.01,在售,未销售
502,74.28,36082.00,54.06,49577.70,2680170.96,在售,未销售
501,67.78,36357.00,49.33,49954.94,2464277.46,在售,未销售
613,68.80,36957.00,50.07,50781.73,2542641.60,在售,未销售
612,68.89,36664.00,50.14,50374.61,2525782.96,在售,未销售
611,67.30,36676.00,48.98,50393.93,2468294.80,在售,未销售
610,67.30,36689.00,48.98,50411.79,2469169.70,在售,未销售
609,67.30,36689.00,48.98,50411.79,2469169.70,在售,未销售
608,67.30,36689.00,48.98,50411.79,2469169.70,在售,未销售
607,68.89,36701.00,50.14,50425.44,2528331.89,在售,未销售
606,68.81,36882.00,50.08,50675.92,2537850.42,在售,未销售
605,67.78,36345.00,49.33,49938.45,2463464.10,在售,未销售
604,67.77,36170.00,49.32,49700.74,2451240.90,在售,未销售
603,94.93,35957.00,69.09,49405.09,3413398.01,在售,未销售
602,74.28,36182.00,54.06,49715.11,2687598.96,在售,未销售
601,67.78,36457.00,49.33,50092.34,2471055.46,在售,未销售
713,68.80,37057.00,50.07,50919.14,2549521.60,在售,未销售
712,68.89,36764.00,50.14,50512.00,2532671.96,在售,未销售
711,67.30,36776.00,48.98,50531.33,2475024.80,在售,未销售
710,67.30,36789.00,48.98,50549.19,2475899.70,在售,未销售
709,67.30,36789.00,48.98,50549.19,2475899.70,在售,未销售
708,67.30,36789.00,48.98,50549.19,2475899.70,在售,未销售
707,68.89,36801.00,50.14,50562.84,2535220.89,在售,未销售
706,68.81,36982.00,50.08,50813.32,2544731.42,在售,未销售
705,67.78,36445.00,49.33,50075.85,2470242.10,在售,未销售
704,67.77,36270.00,49.32,49838.15,2458017.90,在售,未销售
703,94.93,36057.00,69.09,49542.49,3422891.01,在售,未销售
702,74.28,36282.00,54.06,49852.51,2695026.96,在售,未销售
701,67.78,36557.00,49.33,50229.74,2477833.46,在售,未销售
813,68.85,37157.00,50.11,51052.87,2558259.45,在售,未销售
812,68.89,36864.00,50.14,50649.40,2539560.96,在售,未销售
811,67.30,36876.00,48.98,50668.73,2481754.80,在售,未销售
810,67.30,36889.00,48.98,50686.60,2482629.70,在售,未销售
809,67.30,36889.00,48.98,50686.60,2482629.70,在售,未销售
808,67.30,36889.00,48.98,50686.60,2482629.70,在售,未销售
807,68.89,36901.00,50.14,50700.23,2542109.89,在售,未销售
806,68.85,37082.00,50.11,50949.82,2553095.70,在售,未销售
805,67.82,36545.00,49.36,50212.35,2478481.90,在售,未销售
804,67.77,36370.00,49.32,49975.56,2464794.90,在售,未销售
