房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
商业19栋305,239.63,26210.00,162.22,38717.00,6280702.00,在售,在售
商业19栋303,218.46,28229.73,146.08,42217.00,6167067.00,在售,在售
商业19栋302,238.65,26223.51,159.58,39216.00,6258242.00,在售,在售
商业19栋301,305.47,26041.13,206.79,38467.00,7954784.00,在售,在售
商业19栋208,179.05,38244.00,162.24,42206.53,6847588.00,在售,在售
商业19栋207,166.30,38244.00,146.08,43537.63,6359977.00,在售,在售
商业19栋206,181.66,38244.00,159.58,43535.56,6947405.00,在售,在售
商业19栋205,166.19,37144.00,145.98,42286.34,6172961.00,在售,在售
商业19栋203,90.48,37364.00,80.83,41824.75,3380695.00,在售,在售
商业19栋202,120.43,38244.00,107.59,42808.11,4605725.00,在售,在售
商业19栋201,244.29,41324.00,218.24,46256.59,10095040.00,在售,在售
商业19栋109,287.93,61574.00,260.89,67955.85,17729002.00,在售,在售
商业19栋108,163.27,55594.00,147.94,61354.81,9076832.00,在售,在售
商业19栋107,79.66,52854.00,72.18,58331.25,4210350.00,在售,在售
商业19栋106,79.66,53514.00,72.18,59059.64,4262925.00,在售,在售
商业19栋105,128.86,44654.00,116.76,49281.55,5754114.00,在售,在售
商业19栋103,189.97,43994.00,172.13,48553.65,8357540.00,在售,在售
商业19栋102,116.30,44214.00,105.38,48795.67,5142088.00,在售,在售
商业19栋101,115.61,44354.00,104.76,48947.74,5127766.00,在售,在售
商业18栋103,612.79,64203.00,591.82,66477.90,39342956.00,在售,在售
商业18栋102,235.83,56023.00,226.74,58268.96,13211904.00,在售,在售
商业18栋101,777.28,56703.00,755.08,58370.11,44074108.00,在售,在售
商业17栋305,268.22,34617.60,188.47,49265.84,9285133.00,在售,在售
商业17栋303,149.87,33826.00,103.79,48843.27,5069443.00,在售,在售
商业17栋302,150.85,33826.00,104.47,48842.65,5102592.00,在售,在售
商业17栋301,284.73,36597.60,197.17,52850.00,10420435.00,在售,在售
商业17栋208,245.85,42644.00,217.56,48189.12,10484027.00,在售,在售
商业17栋207,118.05,40004.00,104.47,45204.09,4722472.00,在售,在售
商业17栋206,116.66,40004.00,103.23,45208.43,4666867.00,在售,在售
商业17栋205,100.01,38024.00,89.74,42375.52,3802780.00,在售,在售
商业17栋203,119.83,40004.00,101.97,47010.67,4793679.00,在售,在售
商业17栋202,122.75,40004.00,104.47,47003.83,4910491.00,在售,在售
商业17栋201,231.69,40884.00,197.17,48041.86,9472414.00,在售,在售
商业17栋112,307.04,41919.00,269.05,47837.98,12870810.00,在售,在售
商业17栋111,255.10,39939.00,223.54,45577.69,10188439.00,在售,在售
商业17栋110,52.29,41919.00,45.82,47838.17,2191945.00,在售,在售
商业17栋109,241.84,39939.00,211.92,45577.80,9658848.00,在售,在售
商业17栋108,267.59,41919.00,234.48,47838.21,11217105.00,在售,在售
商业17栋107,49.62,38619.00,43.48,44072.56,1916275.00,在售,在售
商业17栋106,122.14,37299.00,107.03,42564.70,4555700.00,在售,在售
商业17栋105,379.43,40159.00,332.48,45829.91,15237529.00,在售,在售
商业17栋103,141.28,41259.00,123.80,47084.58,5829072.00,在售,在售
商业17栋102,87.45,41919.00,76.63,47837.88,3665817.00,在售,在售
商业17栋101,181.21,40599.00,158.79,46331.28,7356945.00,在售,在售
商业15~16栋16202,174.79,47559.00,161.50,51472.68,8312838.00,在售,在售
商业15~16栋16201,250.91,46899.00,231.82,50761.05,11767428.00,在售,在售
商业15~16栋16106,753.49,55143.00,705.41,58901.48,41549699.00,在售,在售
商业15~16栋16105,331.80,55154.00,314.67,58156.47,18300097.00,在售,在售
商业15~16栋16103,313.98,55154.00,297.77,58156.47,17317253.00,在售,在售
商业15~16栋16102,125.84,54714.00,119.34,57694.06,6885210.00,在售,在售
商业15~16栋16101,98.02,54714.00,92.96,57692.19,5363066.00,在售,在售
商业15~16栋15101,470.30,54703.00,446.02,57680.86,25726821.00,在售,在售
商业12栋205,198.79,26711.00,107.95,49190.00,5310060.00,在售,在售
商业12栋203,129.51,27744.22,70.33,51089.00,3593154.00,在售,在售
商业12栋202,188.87,31474.79,102.56,57962.00,5944645.00,在售,在售
