房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
A座栋A27,104.26,100000.00,100.55,103689.70,10426000.00,在售,商业
A座栋A26,42.65,100000.00,39.71,107403.67,4265000.00,在售,商业
A座栋A25,42.65,100000.00,39.71,107403.67,4265000.00,在售,商业
A座栋A24,40.10,100000.00,38.67,103697.95,4010000.00,在售,商业
A座栋A23,41.08,100000.00,39.61,103711.18,4108000.00,在售,商业
A座栋A22,37.55,100000.00,36.21,103700.63,3755000.00,在售,商业
A座栋A21,44.13,100000.00,42.56,103688.90,4413000.00,在售,商业
A座栋A20,41.54,100000.00,40.06,103694.45,4154000.00,在售,商业
A座栋A19,39.13,100000.00,37.73,103710.57,3913000.00,在售,商业
A座栋A18,32.12,100000.00,29.74,108002.68,3212000.00,在售,商业
A座栋A17,31.97,100000.00,29.59,108043.25,3197000.00,在售,商业
A座栋A16,37.82,100000.00,36.47,103701.67,3782000.00,在售,商业
A座栋A15,32.62,100000.00,31.46,103687.22,3262000.00,在售,商业
A座栋A14,48.24,100000.00,46.53,103675.04,4824000.00,在售,商业
A座栋A13,52.78,100000.00,50.90,103693.51,5278000.00,在售,商业
A座栋A12,39.02,100000.00,37.64,103666.31,3902000.00,在售,商业
A座栋A11,44.92,100000.00,43.33,103669.51,4492000.00,在售,商业
A座栋A10,41.00,100000.00,39.54,103692.46,4100000.00,在售,商业
A座栋A09,24.61,100000.00,22.49,109426.41,2461000.00,在售,商业
A座栋A08,24.61,100000.00,22.49,109426.41,2461000.00,在售,商业
A座栋A07,22.36,100000.00,21.56,103710.57,2236000.00,在售,商业
A座栋A06,31.41,100000.00,29.05,108123.92,3141000.00,在售,商业
A座栋A05,31.41,100000.00,29.06,108086.71,3141000.00,在售,商业
A座栋A03,37.81,100000.00,35.21,107384.26,3781000.00,在售,商业
A座栋A02,31.11,100000.00,28.80,108020.83,3111000.00,在售,商业
A座栋A01,30.50,100000.00,28.24,108002.83,3050000.00,在售,商业
A座栋3单元32G,126.03,29382.36,103.01,35948.53,3703059.00,在售,住宅
A座栋3单元32F,73.31,21402.37,59.72,26272.73,1569008.00,在售,住宅
A座栋3单元32E,73.31,21614.13,59.72,26532.68,1584532.00,在售,住宅
A座栋3单元32D,194.66,28872.94,159.16,35312.94,5620408.00,在售,住宅
A座栋3单元32C,194.73,28965.89,159.23,35423.77,5640528.00,在售,住宅
