房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3栋80,86.24,161500.00,85.40,163088.52,13927760.00,在售,商业
3栋79,74.06,161400.00,73.34,162984.51,11953284.00,在售,商业
3栋78,293.96,161300.00,291.11,162879.14,47415748.00,在售,商业
3栋77,76.21,161200.00,75.47,162780.60,12285052.00,在售,商业
3栋76,223.84,161100.00,221.67,162677.06,36060624.00,在售,商业
3栋75,221.79,161000.00,219.64,162575.98,35708190.00,在售,商业
3栋74,75.37,160900.00,74.64,162473.64,12127033.00,在售,商业
3栋73,64.59,160800.00,63.97,162358.48,10386072.00,在售,商业
3栋72,235.11,160700.00,232.83,162273.66,37782177.00,在售,商业
3栋71,224.67,160600.00,222.49,162173.58,36082002.00,在售,商业
3栋70,80.38,160500.00,79.60,162072.73,12900990.00,在售,商业
3栋69,76.98,160400.00,76.23,161978.11,12347592.00,在售,商业
3栋68,75.41,160300.00,74.68,161866.93,12088223.00,在售,商业
3栋67,71.93,160200.00,71.23,161774.33,11523186.00,在售,商业
3栋66,79.84,160100.00,79.06,161679.53,12782384.00,在售,商业
3栋36,64.39,160000.00,63.77,161555.59,10302400.00,在售,商业
3栋35,66.40,159900.00,65.76,161456.20,10617360.00,在售,商业
3栋34,66.68,159800.00,66.04,161348.63,10655464.00,在售,商业
3栋33,75.79,159700.00,75.05,161274.65,12103663.00,在售,商业
3栋32,71.71,159600.00,71.02,161150.60,11444916.00,在售,商业
3栋31,72.03,159500.00,71.33,161065.26,11488785.00,在售,商业
3栋30,75.04,159400.00,74.31,160965.89,11961376.00,在售,商业
3栋29,69.98,159300.00,69.30,160863.11,11147814.00,在售,商业
3栋28,73.89,159200.00,73.17,160766.54,11763288.00,在售,商业
3栋27,72.40,159100.00,71.70,160653.27,11518840.00,在售,商业
3栋26,73.63,159000.00,72.91,160570.15,11707170.00,在售,商业
3栋25,73.93,158900.00,73.21,160462.73,11747477.00,在售,商业
3栋24,74.26,158800.00,73.54,160354.74,11792488.00,在售,商业
3栋23,74.57,158700.00,73.85,160247.24,11834259.00,在售,商业
3栋22,74.90,158600.00,74.17,160160.98,11879140.00,在售,商业
3栋21,81.71,158500.00,80.92,160047.39,12951035.00,在售,商业
2栋81,261.97,181500.00,256.72,185211.72,47547555.00,在售,商业
2栋20,189.31,181400.00,185.51,185115.81,34340834.00,在售,商业
2栋19,138.48,181300.00,135.70,185014.17,25106424.00,在售,商业
2栋18,95.77,181200.00,93.85,184907.02,17353524.00,在售,商业
2栋17,67.82,181100.00,66.46,184805.92,12282202.00,在售,商业
2栋16,41.37,181000.00,40.54,184705.72,7487970.00,在售,商业
2栋15,41.37,180900.00,40.54,184603.67,7483833.00,在售,商业
2栋14,67.44,180800.00,66.08,184521.06,12193152.00,在售,商业
2栋13,110.65,180700.00,108.43,184399.65,19994455.00,在售,商业
2栋12,59.79,180600.00,58.59,184298.92,10798074.00,在售,商业
2栋11,246.45,180500.00,241.51,184192.06,44484225.00,在售,商业
2栋10,238.53,180400.00,233.74,184096.91,43030812.00,在售,商业
2栋09,288.51,180300.00,282.72,183992.47,52018353.00,在售,商业
2栋08,99.31,180200.00,97.32,183884.73,17895662.00,在售,商业
2栋07,73.35,180100.00,71.87,183808.75,13210335.00,在售,商业
2栋06,67.31,180000.00,65.96,183684.05,12115800.00,在售,商业
2栋05,39.57,179900.00,38.78,183564.80,7118643.00,在售,商业
2栋04,41.37,179800.00,40.54,183481.15,7438326.00,在售,商业
2栋03,67.82,179700.00,66.46,183377.27,12187254.00,在售,商业
2栋02,184.43,179600.00,180.73,183276.86,33123628.00,在售,商业
2栋01,278.60,179500.00,273.02,183168.63,50008700.00,在售,商业
2栋B座4402,436.28,156309.21,355.12,192032.51,68194586.00,在售,住宅
2栋B座4401,436.28,149422.41,355.12,183571.78,65190012.00,在售,住宅
2栋B座4302,298.84,114098.82,243.25,140173.86,34097293.00,在售,住宅
2栋B座4301,298.84,109071.76,243.25,133997.96,32595006.00,在售,住宅
2栋B座4202,298.84,113745.88,243.26,139734.52,33991820.00,在售,住宅
2栋B座4201,298.84,108718.82,243.26,133558.87,32489533.00,在售,住宅
2栋B座4102,298.84,113392.94,243.25,139306.66,33886347.00,在售,住宅
2栋B座4101,298.84,108365.88,243.25,133130.77,32384060.00,在售,住宅
2栋B座4002,298.84,113040.00,243.26,138867.36,33780874.00,在售,住宅
2栋B座4001,298.84,108012.94,243.26,132691.71,32278587.00,在售,住宅
2栋B座3902,298.84,112687.05,243.25,138439.46,33675401.00,在售,住宅
2栋B座3901,298.84,107659.99,243.25,132263.57,32173114.00,在售,住宅
2栋B座3802,298.84,112334.11,243.26,138000.19,33569928.00,在售,住宅
2栋B座3801,298.84,107307.05,243.26,131824.55,32067641.00,在售,住宅
2栋B座3702,298.84,111981.17,243.25,137572.27,33464455.00,在售,住宅
2栋B座3701,298.84,106954.11,243.25,131396.37,31962168.00,在售,住宅
2栋B座3602,298.84,111628.23,243.26,137133.03,33358982.00,在售,住宅
2栋B座3601,298.84,106601.17,243.26,130957.39,31856695.00,在售,住宅
2栋B座3502,297.76,111275.29,242.37,136705.58,33133332.00,在售,住宅
2栋B座3501,297.76,106248.23,242.37,130529.66,31636474.00,在售,住宅
