房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
5栋33F,121.03,44933.00,84.71,64198.33,5438241.00,在售,住宅
5栋27F,121.03,44603.00,84.71,63726.84,5398301.00,在售,住宅
5栋26F,121.03,44523.00,84.71,63612.54,5388619.00,在售,住宅
5栋25F,121.03,44443.00,84.71,63498.24,5378936.00,在售,住宅
5栋23F,121.03,44283.00,84.71,63269.63,5359571.00,在售,住宅
5栋22F,121.03,44203.00,84.71,63155.34,5349889.00,在售,住宅
5栋20F,121.03,44043.00,84.71,62926.73,5330524.00,在售,住宅
5栋19F,121.03,43953.00,84.71,62798.15,5319632.00,在售,住宅
5栋18F,121.03,43863.00,84.71,62669.56,5308739.00,在售,住宅
5栋17F,121.03,43773.00,84.71,62540.97,5297846.00,在售,住宅
5栋15F,121.03,43593.00,84.71,62283.80,5276061.00,在售,住宅
5栋14F,121.03,43503.00,84.71,62155.21,5265168.00,在售,住宅
5栋13F,121.03,43413.00,84.71,62026.62,5254275.00,在售,住宅
5栋12F,121.03,43323.00,84.71,61898.04,5243383.00,在售,住宅
5栋11F,121.03,43233.00,84.71,61769.44,5232490.00,在售,住宅
5栋10F,121.03,43143.00,84.71,61640.85,5221597.00,在售,住宅
5栋9F,121.03,43053.00,84.71,61512.27,5210705.00,在售,住宅
5栋8F,121.03,42963.00,84.71,61383.68,5199812.00,在售,住宅
5栋7F,121.03,42873.00,84.71,61255.09,5188919.00,在售,住宅
5栋5F,121.03,42773.00,84.71,61112.21,5176816.00,在售,住宅
5栋4F,121.03,41723.00,84.71,59612.02,5049735.00,在售,住宅
5栋3F,121.03,41673.00,84.71,59540.58,5043683.00,在售,住宅
5栋32E,94.41,42711.00,66.08,61022.18,4032346.00,在售,住宅
5栋28E,94.41,42551.00,66.08,60793.58,4017240.00,在售,住宅
5栋27E,94.41,42501.00,66.08,60722.13,4012519.00,在售,住宅
5栋23E,94.41,42301.00,66.08,60436.39,3993637.00,在售,住宅
5栋22E,94.41,42251.00,66.08,60364.96,3988917.00,在售,住宅
5栋19E,94.41,42051.00,66.08,60079.22,3970035.00,在售,住宅
5栋18E,94.41,41951.00,66.08,59936.34,3960594.00,在售,住宅
5栋17E,94.41,41851.00,66.08,59793.47,3951153.00,在售,住宅
5栋15E,94.41,41651.00,66.08,59507.73,3932271.00,在售,住宅
5栋14E,94.41,41551.00,66.08,59364.86,3922830.00,在售,住宅
5栋13E,94.41,41451.00,66.08,59221.98,3913389.00,在售,住宅
5栋12E,94.41,41351.00,66.08,59079.11,3903948.00,在售,住宅
5栋11E,94.41,41251.00,66.08,58936.24,3894507.00,在售,住宅
5栋10E,94.41,41151.00,66.08,58793.37,3885066.00,在售,住宅
