房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
7号楼A座2608,132.45,73640.58,106.67,91438.03,9753695.16,在售,住宅
7号楼A座2607,106.99,67735.59,86.17,84101.55,7247031.19,在售,住宅
7号楼A座2606,106.99,67099.92,86.17,83312.30,7179021.29,在售,住宅
7号楼A座2605,127.09,67028.16,102.36,83222.05,8518609.77,在售,住宅
7号楼A座2604,127.09,74479.86,102.36,92474.06,9465645.44,在售,住宅
7号楼A座2603,106.99,73072.70,86.17,90728.19,7818048.65,在售,住宅
7号楼A座2602,104.96,72389.73,84.53,89885.56,7598026.70,在售,住宅
7号楼A座2601,89.80,72938.37,72.32,90567.83,6549865.66,在售,住宅
7号楼A座2508,137.17,72980.58,110.49,90603.19,10010746.51,在售,住宅
7号楼A座2507,106.98,68175.59,86.17,84639.95,7293425.03,在售,住宅
7号楼A座2506,106.98,67539.92,86.17,83850.77,7225421.49,在售,住宅
7号楼A座2505,127.08,67468.16,102.36,83761.76,8573854.69,在售,住宅
7号楼A座2504,127.08,74809.86,102.36,92876.48,9506837.04,在售,住宅
7号楼A座2503,106.98,73402.70,86.17,91129.41,7852621.32,在售,住宅
7号楼A座2502,104.95,72719.73,84.53,90286.71,7631936.30,在售,住宅
7号楼A座2501,89.79,73268.37,72.32,90967.46,6578766.98,在售,住宅
7号楼A座2408,137.17,72870.58,110.49,90466.62,9995657.81,在售,住宅
7号楼A座2407,106.98,68065.59,86.17,84503.39,7281657.23,在售,住宅
7号楼A座2406,106.98,67429.92,86.17,83714.21,7213653.69,在售,住宅
7号楼A座2405,127.08,67358.16,102.36,83625.20,8559875.89,在售,住宅
7号楼A座2404,127.08,74589.86,102.36,92603.35,9478879.44,在售,住宅
7号楼A座2403,106.98,73182.70,86.17,90856.28,7829085.72,在售,住宅
7号楼A座2402,104.95,72499.73,84.53,90013.57,7608847.30,在售,住宅
7号楼A座2401,89.79,73048.37,72.32,90694.31,6559013.18,在售,住宅
7号楼A座2308,137.17,72760.58,110.49,90330.06,9980569.11,在售,住宅
7号楼A座2307,106.98,67955.59,86.17,84366.82,7269889.43,在售,住宅
7号楼A座2306,106.98,67319.92,86.17,83577.64,7201885.89,在售,住宅
7号楼A座2305,127.08,67248.16,102.36,83488.63,8545897.09,在售,住宅
7号楼A座2304,127.08,74369.86,102.36,92330.22,9450921.84,在售,住宅
7号楼A座2303,106.98,72962.70,86.17,90583.15,7805550.12,在售,住宅
7号楼A座2302,104.95,72279.73,84.53,89740.42,7585758.30,在售,住宅
7号楼A座2301,89.79,72828.37,72.32,90421.17,6539259.38,在售,住宅
7号楼A座2208,137.17,72650.58,110.49,90193.50,9965480.41,在售,住宅
7号楼A座2207,106.98,67845.59,86.17,84230.26,7258121.63,在售,住宅
7号楼A座2206,106.98,67209.92,86.17,83441.08,7190118.09,在售,住宅
7号楼A座2205,127.08,67138.16,102.36,83352.07,8531918.29,在售,住宅
7号楼A座2204,127.08,74149.86,102.36,92057.09,9422964.24,在售,住宅
7号楼A座2203,106.98,72742.70,86.17,90310.02,7782014.52,在售,住宅
7号楼A座2202,104.95,72059.73,84.53,89467.28,7562669.30,在售,住宅
7号楼A座2201,89.79,72608.37,72.32,90148.03,6519505.58,在售,住宅
7号楼A座2108,137.17,72540.58,110.49,90056.94,9950391.71,在售,住宅
7号楼A座2107,106.98,67735.59,86.17,84093.69,7246353.83,在售,住宅
7号楼A座2106,106.98,67099.92,86.17,83304.51,7178350.29,在售,住宅
7号楼A座2105,127.08,67028.16,102.36,83215.50,8517939.49,在售,住宅
7号楼A座2104,127.08,73929.86,102.36,91783.96,9395006.64,在售,住宅
7号楼A座2103,106.98,72522.70,86.17,90036.89,7758478.92,在售,住宅
7号楼A座2102,104.95,71839.73,84.53,89194.13,7539580.30,在售,住宅
7号楼A座2101,89.79,72388.37,72.32,89874.88,6499751.78,在售,住宅
7号楼A座2008,137.17,72430.58,110.49,89920.38,9935303.01,在售,住宅
7号楼A座2007,106.98,67625.59,86.17,83957.13,7234586.03,在售,住宅
7号楼A座2006,106.98,66989.92,86.17,83167.95,7166582.49,在售,住宅
7号楼A座2005,127.08,66918.16,102.36,83078.94,8503960.69,在售,住宅
7号楼A座2004,127.08,73709.86,102.36,91510.83,9367049.04,在售,住宅
7号楼A座2003,106.98,72302.70,86.17,89763.76,7734943.32,在售,住宅
7号楼A座2002,104.95,71619.73,84.53,88920.99,7516491.30,在售,住宅
7号楼A座2001,89.79,72168.37,72.32,89601.74,6479997.98,在售,住宅
7号楼A座1908,137.17,72320.58,110.49,89783.82,9920214.31,在售,住宅
7号楼A座1907,106.98,67515.59,86.17,83820.56,7222818.23,在售,住宅
7号楼A座1906,106.98,66879.92,86.17,83031.38,7154814.69,在售,住宅
7号楼A座1905,127.08,66808.16,102.36,82942.37,8489981.89,在售,住宅
7号楼A座1904,127.08,73489.86,102.36,91237.70,9339091.44,在售,住宅
7号楼A座1903,106.98,72082.70,86.17,89490.63,7711407.72,在售,住宅
7号楼A座1902,104.95,71399.73,84.53,88647.84,7493402.30,在售,住宅
7号楼A座1901,89.79,71948.37,72.32,89328.59,6460244.18,在售,住宅
7号楼A座1808,137.17,71660.58,110.49,88964.45,9829682.11,在售,住宅
7号楼A座1807,106.98,66855.59,86.17,83001.17,7152211.43,在售,住宅
7号楼A座1806,106.98,66219.92,86.17,82211.99,7084207.89,在售,住宅
7号楼A座1805,127.08,66148.16,102.36,82122.98,8406109.09,在售,住宅
7号楼A座1804,127.08,73269.86,102.36,90964.57,9311133.84,在售,住宅
