房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
D座146,57.47,22629.31,56.19,23144.00,1300506.00,在售,商业
D座145,45.15,22998.65,44.15,23519.00,1038389.00,在售,商业
D座144,45.15,25338.00,44.14,25917.00,1144010.00,在售,商业
D座143,38.58,24353.00,37.72,24908.00,939538.00,在售,商业
D座142,27.68,26815.00,27.06,27429.00,742239.00,在售,商业
D座141,45.29,26569.00,44.28,27175.00,1203310.00,在售,商业
D座140,40.19,35988.00,39.29,36812.00,1446357.00,在售,商业
D座139,45.25,36111.00,44.24,36935.00,1634022.00,在售,商业
D座138,43.63,30940.00,42.66,31643.00,1349912.00,在售,商业
D座137,26.67,34203.00,26.07,34990.00,912194.00,在售,商业
D座136,35.55,33956.00,34.76,34727.00,1207135.00,在售,商业
D座135,56.66,37588.00,55.39,38449.00,2129736.00,在售,商业
D座134,58.71,39004.00,57.39,39901.00,2289924.00,在售,商业
D座133,46.79,43129.00,45.74,44119.00,2018005.00,在售,商业
D座132,45.63,42883.00,44.61,43863.00,1956751.00,在售,商业
D座131,55.22,42402.00,53.98,43376.00,2341438.00,在售,商业
D座130,53.19,42402.00,52.00,43372.00,2255362.00,在售,商业
D座129,71.49,35803.00,69.89,36622.00,2559556.00,在售,商业
D座128,67.95,55539.00,66.43,56809.00,3773875.00,在售,商业
D座127,46.05,67000.00,45.02,68532.00,3085350.00,在售,商业
D座126,28.77,52917.00,28.12,54140.00,1522422.00,在售,商业
D座125,25.70,57595.00,25.13,58901.00,1480191.00,在售,商业
D座124,44.90,48054.00,43.89,49159.00,2157624.00,在售,商业
D座123,39.92,51008.00,39.03,52171.00,2036239.00,在售,商业
A座2612,40.56,18343.62,28.22,26364.90,744017.61,在售,办公
A座2611,63.47,16764.03,44.16,24094.50,1064013.43,在售,办公
A座2610,62.54,16541.81,43.52,23771.25,1034525.09,在售,办公
A座2609,62.85,16541.81,43.73,23774.36,1039653.06,在售,办公
A座2608,62.85,16541.81,43.73,23774.36,1039653.06,在售,办公
A座2607,83.63,14669.48,58.19,21082.81,1226809.15,在售,办公
A座2606,40.56,18570.00,28.22,26690.26,753199.20,在售,办公
A座2605,65.47,16745.51,45.56,24063.41,1096329.09,在售,办公
A座2604,59.55,16467.74,41.43,23670.14,980653.96,在售,办公
A座2603,65.85,16467.74,45.82,23666.53,1084400.72,在售,办公
A座2602,62.85,16467.74,43.73,23667.90,1034997.50,在售,办公
A座2601,81.29,14501.13,56.56,20841.53,1178797.37,在售,办公
A座2512,40.56,16313.62,28.22,23447.22,661680.81,在售,办公
A座2511,63.47,14734.03,44.16,21176.84,935169.33,在售,办公
A座2510,62.54,14511.81,43.52,20854.06,907568.89,在售,办公
A座2509,62.85,14511.81,43.73,20856.79,912067.56,在售,办公
A座2508,62.85,14511.81,43.73,20856.79,912067.56,在售,办公
A座2507,83.63,14803.61,58.19,21275.59,1238026.62,在售,办公
A座2506,40.56,16540.00,28.22,23772.58,670862.40,在售,办公
A座2505,65.47,14715.51,45.56,21146.29,963424.99,在售,办公
A座2504,59.55,14437.74,41.43,20752.29,859767.46,在售,办公
A座2503,65.85,14437.74,45.82,20749.13,950725.22,在售,办公
A座2502,62.85,14437.74,43.73,20750.33,907412.00,在售,办公
A座2501,81.29,14467.04,56.56,20792.54,1176026.12,在售,办公
A座2412,40.56,16283.62,28.22,23404.11,660464.01,在售,办公
A座2411,63.47,14704.03,44.16,21133.72,933265.23,在售,办公
A座2410,62.54,14481.81,43.52,20810.95,905692.69,在售,办公
A座2409,62.85,14481.81,43.73,20813.67,910182.06,在售,办公
A座2408,62.85,14481.81,43.73,20813.67,910182.06,在售,办公
A座2407,83.63,14769.13,58.19,21226.03,1235142.82,在售,办公
A座2406,40.56,16510.00,28.22,23729.46,669645.60,在售,办公
A座2405,65.47,14685.51,45.56,21103.18,961460.89,在售,办公
A座2404,59.55,14407.74,41.43,20709.17,857980.96,在售,办公
A座2403,65.85,14407.74,45.82,20706.01,948749.72,在售,办公
A座2402,62.85,14407.74,43.73,20707.21,905526.50,在售,办公
A座2401,81.29,14432.95,56.56,20743.54,1173254.87,在售,办公
A座2312,40.56,16253.62,28.22,23360.99,659247.21,在售,办公
A座2311,63.47,14674.03,44.16,21090.60,931361.13,在售,办公
A座2310,62.54,14451.81,43.52,20767.84,903816.49,在售,办公
A座2309,62.85,14451.81,43.73,20770.55,908296.56,在售,办公
A座2308,62.85,14451.81,43.73,20770.55,908296.56,在售,办公
A座2307,83.63,14734.65,58.19,21176.47,1232259.03,在售,办公
A座2306,40.56,16480.00,28.22,23686.35,668428.80,在售,办公
A座2305,65.47,14655.51,45.56,21060.07,959496.79,在售,办公
A座2304,59.55,14377.74,41.43,20666.05,856194.46,在售,办公
A座2303,65.85,14377.74,45.82,20662.90,946774.22,在售,办公
A座2302,62.85,14377.74,43.73,20664.09,903641.00,在售,办公
A座2301,81.29,14398.86,56.56,20694.54,1170483.62,在售,办公
A座2212,40.56,16223.62,28.22,23317.87,658030.41,在售,办公
A座2211,63.47,14644.03,44.16,21047.48,929457.03,在售,办公
A座2210,62.54,14421.81,43.52,20724.73,901940.29,在售,办公
A座2209,62.85,14421.81,43.73,20727.44,906411.06,在售,办公
A座2208,62.85,14421.81,43.73,20727.44,906411.06,在售,办公
A座2207,83.63,14533.12,58.19,20886.83,1215405.06,在售,办公
A座2206,40.56,16450.00,28.22,23643.23,667212.00,在售,办公
A座2205,65.47,14625.51,45.56,21016.95,957532.69,在售,办公
A座2204,59.55,14347.74,41.43,20622.92,854407.96,在售,办公
A座2203,65.85,14347.74,45.82,20619.78,944798.72,在售,办公
A座2202,62.85,14347.74,43.73,20620.98,901755.50,在售,办公
A座2201,81.29,14364.77,56.56,20645.55,1167712.37,在售,办公
A座2112,40.56,16193.62,28.22,23274.75,656813.61,在售,办公
A座2111,63.47,14614.03,44.16,21004.36,927552.93,在售,办公
A座2110,62.54,14391.81,43.52,20681.61,900064.09,在售,办公
A座2109,62.85,14391.81,43.73,20684.32,904525.56,在售,办公
A座2108,62.85,14391.81,43.73,20684.32,904525.56,在售,办公
A座2107,83.63,14499.03,58.19,20837.84,1212554.04,在售,办公
A座2106,40.56,16420.00,28.22,23600.11,665995.20,在售,办公
A座2105,65.47,14595.51,45.56,20973.84,955568.59,在售,办公
A座2104,59.55,14317.74,41.43,20579.80,852621.46,在售,办公
A座2103,65.85,14317.74,45.82,20576.67,942823.22,在售,办公
A座2102,62.85,14317.74,43.73,20577.86,899870.00,在售,办公
A座2101,81.29,14330.68,56.56,20596.55,1164941.12,在售,办公
A座2012,40.56,16163.62,28.22,23231.63,655596.81,在售,办公
A座2011,63.47,14584.03,44.16,20961.25,925648.83,在售,办公
A座2010,62.54,14361.81,43.52,20638.50,898187.89,在售,办公
A座2009,62.85,14361.81,43.73,20641.20,902640.06,在售,办公
A座2008,62.85,14361.81,43.73,20641.20,902640.06,在售,办公
A座2007,83.63,14464.94,58.19,20788.84,1209703.02,在售,办公
A座2006,40.56,16390.00,28.22,23556.99,664778.40,在售,办公
A座2005,65.47,14565.51,45.56,20930.73,953604.49,在售,办公
A座2004,59.55,14287.74,41.43,20536.68,850834.96,在售,办公
A座2003,65.85,14287.74,45.82,20533.56,940847.72,在售,办公
A座2002,62.85,14287.74,43.73,20534.74,897984.50,在售,办公
A座2001,81.29,14296.59,56.56,20547.55,1162169.87,在售,办公
A座1912,40.56,16133.62,28.22,23188.51,654380.01,在售,办公
A座1911,63.47,14554.03,44.16,20918.13,923744.73,在售,办公
A座1910,62.54,14331.81,43.52,20595.39,896311.69,在售,办公
A座1909,62.85,14331.81,43.73,20598.09,900754.56,在售,办公
A座1908,62.85,14331.81,43.73,20598.09,900754.56,在售,办公
A座1907,83.63,14430.85,58.19,20739.85,1206851.99,在售,办公
A座1906,40.56,16360.00,28.22,23513.87,663561.60,在售,办公
A座1905,65.47,14535.51,45.56,20887.62,951640.39,在售,办公
A座1904,59.55,14257.74,41.43,20493.56,849048.46,在售,办公
A座1903,65.85,14257.74,45.82,20490.44,938872.22,在售,办公
A座1902,62.85,14257.74,43.73,20491.63,896099.00,在售,办公
A座1901,81.29,14262.50,56.56,20498.56,1159398.62,在售,办公
A座1812,40.56,16103.62,28.22,23145.40,653163.21,在售,办公
A座1811,63.47,14524.03,44.16,20875.01,921840.63,在售,办公
A座1810,62.54,14301.81,43.52,20552.28,894435.49,在售,办公
A座1809,62.85,14301.81,43.73,20554.97,898869.06,在售,办公
A座1808,62.85,14301.81,43.73,20554.97,898869.06,在售,办公
A座1807,83.63,14396.75,58.19,20690.85,1204000.97,在售,办公
A座1806,40.56,16330.00,28.22,23470.75,662344.80,在售,办公
A座1805,65.47,14505.51,45.56,20844.51,949676.29,在售,办公
A座1804,59.55,14227.74,41.43,20450.44,847261.96,在售,办公
A座1803,65.85,14227.74,45.82,20447.33,936896.72,在售,办公
A座1802,62.85,14227.74,43.73,20448.51,894213.50,在售,办公
A座1801,81.29,14228.40,56.56,20449.56,1156627.37,在售,办公
A座1712,40.56,16073.62,28.22,23102.28,651946.41,在售,办公
A座1711,63.47,14494.03,44.16,20831.89,919936.53,在售,办公
A座1710,62.54,14271.81,43.52,20509.17,892559.29,在售,办公
A座1709,62.85,14271.81,43.73,20511.85,896983.56,在售,办公
A座1708,62.85,14271.81,43.73,20511.85,896983.56,在售,办公
A座1707,83.63,14362.66,58.19,20641.86,1201149.95,在售,办公
A座1706,40.56,16300.00,28.22,23427.63,661128.00,在售,办公
A座1705,65.47,14475.51,45.56,20801.40,947712.19,在售,办公
A座1704,59.55,14197.74,41.43,20407.32,845475.46,在售,办公
A座1703,65.85,14197.74,45.82,20404.21,934921.22,在售,办公
A座1702,62.85,14197.74,43.73,20405.39,892328.00,在售,办公
A座1701,81.29,14194.31,56.56,20400.56,1153856.12,在售,办公
A座1612,40.61,16043.62,28.22,23087.59,651531.79,在售,办公
