房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
10B-4004,89.26,31234.16,67.20,41487.52,2787962.00,在售,住宅
10B-4003,89.26,30760.40,67.20,40858.24,2745674.00,在售,住宅
10B-4002,129.03,29517.16,97.14,39207.32,3808600.00,在售,住宅
10B-4001,128.97,30941.65,97.09,41101.50,3990545.00,在售,住宅
10B-3904,89.26,31234.16,67.20,41487.52,2787962.00,在售,住宅
10B-3903,89.26,30760.40,67.20,40858.24,2745674.00,在售,住宅
10B-3902,129.03,29517.16,97.14,39207.32,3808600.00,在售,住宅
10B-3901,128.97,30941.65,97.09,41101.50,3990545.00,在售,住宅
10B-3804,89.26,31234.16,67.20,41487.52,2787962.00,在售,住宅
10B-3803,89.26,30760.40,67.20,40858.24,2745674.00,在售,住宅
10B-3802,129.03,29517.16,97.14,39207.32,3808600.00,在售,住宅
10B-3801,128.97,30941.65,97.09,41101.50,3990545.00,在售,住宅
10B-3704,89.26,31234.16,67.20,41487.52,2787962.00,在售,住宅
10B-3703,89.26,30760.40,67.20,40858.24,2745674.00,在售,住宅
10B-3702,129.03,29517.16,97.14,39207.32,3808600.00,在售,住宅
10B-3701,128.97,30941.65,97.09,41101.50,3990545.00,在售,住宅
10B-3604,89.26,31234.16,67.20,41487.52,2787962.00,在售,住宅
10B-3603,89.26,30760.40,67.20,40858.24,2745674.00,在售,住宅
10B-3602,129.03,29517.16,97.14,39207.32,3808600.00,在售,住宅
10B-3601,128.97,30941.65,97.09,41101.50,3990545.00,在售,住宅
10B-3504,89.26,31234.16,67.20,41487.52,2787962.00,在售,住宅
10B-3503,89.26,30760.40,67.20,40858.24,2745674.00,在售,住宅
10B-3502,129.03,29517.16,97.14,39207.32,3808600.00,在售,住宅
10B-3501,128.97,30941.65,97.09,41101.50,3990545.00,在售,住宅
10B-3404,89.26,31234.16,67.20,41487.52,2787962.00,在售,住宅
10B-3403,89.26,30760.40,67.20,40858.24,2745674.00,在售,住宅
10B-3402,129.03,29517.16,97.14,39207.32,3808600.00,在售,住宅
10B-3401,128.97,30941.65,97.09,41101.50,3990545.00,在售,住宅
10B-3304,89.26,31198.89,67.20,41440.66,2784813.00,在售,住宅
10B-3303,89.26,30725.11,67.20,40811.36,2742524.00,在售,住宅
10B-3302,129.03,29481.87,97.14,39160.44,3804046.00,在售,住宅
10B-3301,128.97,30906.35,97.09,41054.61,3985993.00,在售,住宅
10B-3204,89.26,31163.58,67.20,41393.77,2781662.00,在售,住宅
