房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋D座2单元3203,218.08,72361.20,169.20,93265.54,15780531.05,在售,住宅
1栋D座2单元3201,203.90,74639.31,157.45,96658.97,15218955.75,在售,住宅
1栋D座2单元3103,143.61,52002.48,111.20,67158.96,7468076.40,在售,住宅
1栋D座2单元3102,126.85,48353.84,98.22,62448.43,6133685.35,在售,住宅
1栋D座2单元3101,143.08,54280.59,110.79,70100.79,7766467.01,在售,住宅
1栋D座2单元3003,143.86,51959.41,111.20,67220.15,7474881.77,在售,住宅
1栋D座2单元3002,127.08,48310.78,98.22,62505.94,6139334.10,在售,住宅
1栋D座2单元3001,143.33,54237.52,110.79,70167.56,7773864.73,在售,住宅
1栋D座2单元2903,143.61,51916.35,111.20,67047.72,7455707.43,在售,住宅
1栋D座2单元2902,126.85,48267.71,98.22,62337.20,6122759.89,在售,住宅
1栋D座2单元2901,143.08,54194.46,110.79,69989.56,7754143.69,在售,住宅
1栋D座2单元2803,143.86,51873.28,111.20,67108.73,7462491.27,在售,住宅
1栋D座2单元2802,127.08,48224.65,98.22,62394.51,6128388.84,在售,住宅
1栋D座2单元2801,143.33,54151.39,110.79,70056.14,7761519.88,在售,住宅
1栋D座2单元2703,143.61,51830.22,111.20,66936.49,7443338.46,在售,住宅
1栋D座2单元2702,126.85,48181.58,98.22,62225.96,6111834.44,在售,住宅
1栋D座2单元2701,143.08,54108.33,110.79,69878.33,7741820.37,在售,住宅
1栋D座2单元2603,143.86,51894.82,111.20,67136.59,7465588.89,在售,住宅
1栋D座2单元2602,127.08,48246.18,98.22,62422.36,6131125.15,在售,住宅
1栋D座2单元2601,143.33,54172.93,110.79,70083.99,7764606.09,在售,住宅
1栋D座2单元2503,143.61,51744.09,111.20,66825.26,7430969.49,在售,住宅
1栋D座2单元2502,126.85,48095.45,98.22,62114.73,6100908.99,在售,住宅
1栋D座2单元2501,143.08,54022.20,110.79,69767.10,7729497.04,在售,住宅
1栋D座2单元2403,143.86,51701.03,111.20,66885.88,7437710.26,在售,住宅
1栋D座1单元2402,127.08,48052.39,98.22,62171.63,6106498.31,在售,住宅
1栋D座2单元2401,143.33,53979.14,110.79,69833.28,7736830.16,在售,住宅
1栋D座2单元2303,143.61,51657.96,111.20,66714.03,7418600.51,在售,住宅
1栋D座2单元2302,126.85,48009.33,98.22,62003.49,6089983.54,在售,住宅
1栋D座2单元2301,143.08,53936.07,110.79,69655.86,7717173.72,在售,住宅
1栋D座2单元2203,143.86,51722.56,111.20,66913.74,7440807.88,在售,住宅
1栋D座2单元2202,127.08,48073.92,98.22,62199.49,6109234.63,在售,住宅
1栋D座2单元2201,143.33,54000.67,110.79,69861.14,7739916.38,在售,住宅
1栋D座2单元2103,143.61,51571.83,111.20,66602.80,7406231.54,在售,住宅
1栋D座2单元2102,126.85,47923.20,98.22,61892.26,6079058.09,在售,住宅
1栋D座2单元2101,143.08,53849.94,110.79,69544.63,7704850.39,在售,住宅
1栋D座2单元2003,143.86,51528.77,111.20,66663.03,7412929.25,在售,住宅
1栋D座2单元2002,127.08,47880.13,98.22,61948.76,6084607.79,在售,住宅
1栋D座2单元2001,143.33,53806.88,110.79,69610.43,7712140.45,在售,住宅
1栋D座2单元1903,143.61,51485.70,111.20,66491.56,7393862.57,在售,住宅
1栋D座2单元1902,126.85,47837.07,98.22,61781.02,6068132.63,在售,住宅
1栋D座2单元1901,143.08,53763.81,110.79,69433.40,7692527.07,在售,住宅
1栋D座2单元1803,143.86,51356.51,111.20,66440.18,7388148.24,在售,住宅
1栋D座2单元1802,127.08,47707.87,98.22,61725.89,6062717.27,在售,住宅
1栋D座2单元1801,143.33,53634.62,110.79,69387.58,7687450.74,在售,住宅
1栋D座2单元1703,143.61,51227.32,111.20,66157.87,7356755.65,在售,住宅
1栋D座2单元1702,126.85,47578.68,98.22,61447.32,6035356.28,在售,住宅
1栋D座2单元1701,143.08,53505.43,110.79,69099.71,7655557.10,在售,住宅
1栋D座2单元1603,143.86,51205.78,111.20,66245.18,7366464.85,在售,住宅
1栋D座2单元1602,127.08,47557.15,98.22,61530.88,6043563.06,在售,住宅
1栋D座2单元1601,143.33,53483.89,110.79,69192.59,7665847.24,在售,住宅
1栋D座2单元1503,143.61,50968.93,111.20,65824.17,7319648.73,在售,住宅
1栋D座2单元1502,126.85,47320.29,98.22,61113.62,6002579.92,在售,住宅
1栋D座2单元1501,143.08,53247.04,110.79,68766.01,7618587.12,在售,住宅
1栋D座2单元1403,143.86,50839.74,111.20,65771.62,7313805.21,在售,住宅
1栋D座2单元1402,127.08,47191.10,98.22,61057.27,5997045.70,在售,住宅
1栋D座2单元1401,143.33,53117.85,110.79,68719.03,7613381.60,在售,住宅
1栋D座单元1303,143.61,50710.54,111.20,65490.48,7282541.81,在售,住宅
1栋D座2单元1302,126.85,47061.91,98.22,60779.91,5969803.57,在售,住宅
1栋D座2单元1301,143.08,52988.65,110.79,68432.32,7581617.15,在售,住宅
1栋D座2单元1203,143.86,50581.35,111.20,65437.35,7276633.69,在售,住宅
1栋D座2单元1202,127.08,46932.71,98.22,60722.96,5964209.91,在售,住宅
1栋D座2单元1201,143.33,52859.46,110.79,68384.75,7576347.03,在售,住宅
1栋D座2单元1103,143.61,50452.16,111.20,65156.78,7245434.90,在售,住宅
1栋D座2单元1102,126.85,46803.52,98.22,60446.21,5937027.21,在售,住宅
1栋D座2单元1101,143.08,52730.27,110.79,68098.62,7544647.18,在售,住宅
1栋D座2单元1003,143.86,50322.96,111.20,65103.07,7239462.18,在售,住宅
