房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
4栋32F,65.40,41625.00,48.31,56350.00,2722275.00,在售,住宅
4栋32E,65.40,42038.00,48.30,56921.00,2749285.00,在售,住宅
4栋32D,88.61,37434.44,65.45,50680.91,3317066.00,在售,住宅
4栋32C,79.26,35217.77,58.54,47682.96,2791361.00,在售,住宅
4栋32B,79.26,43390.00,58.54,58747.00,3439091.00,在售,住宅
4栋32A,88.61,36131.11,65.45,48916.39,3201578.00,在售,住宅
4栋31F,65.40,41556.00,48.31,56256.00,2717762.00,在售,住宅
4栋31E,65.40,41971.00,48.30,56830.00,2744903.00,在售,住宅
4栋31D,88.61,37377.77,65.45,50604.20,3312045.00,在售,住宅
4栋31C,79.26,35162.22,58.54,47607.75,2786958.00,在售,住宅
4栋31B,79.26,34224.43,58.54,46338.04,2712629.00,在售,住宅
4栋31A,88.61,36074.44,65.45,48839.67,3196557.00,在售,住宅
4栋30F,65.40,41490.00,48.31,56167.00,2713446.00,在售,住宅
4栋30E,65.40,41903.00,48.30,56738.00,2740456.00,在售,住宅
4栋30D,88.61,37321.11,65.45,50527.48,3307024.00,在售,住宅
4栋30C,79.26,44381.00,58.54,60089.00,3517638.00,在售,住宅
4栋30B,79.26,34168.88,58.54,46262.82,2708226.00,在售,住宅
4栋30A,88.61,36017.77,65.45,48762.94,3191535.00,在售,住宅
4栋29F,65.40,34281.11,48.31,46408.30,2241985.00,在售,住宅
4栋29E,65.40,41834.00,48.30,56644.00,2735943.00,在售,住宅
4栋29D,88.61,37265.55,65.45,50452.26,3302101.00,在售,住宅
4栋29C,79.26,35050.00,58.54,47455.80,2778063.00,在售,住宅
4栋29B,79.26,34112.22,58.54,46186.11,2703735.00,在售,住宅
4栋29A,88.61,35962.22,65.45,48687.74,3186613.00,在售,住宅
4栋28F,65.40,34224.44,48.31,46331.58,2238279.00,在售,住宅
4栋28E,65.40,34568.88,48.30,46807.55,2260805.00,在售,住宅
4栋28D,88.61,37208.89,65.45,50375.55,3297080.00,在售,住宅
4栋28C,79.26,34993.33,58.54,47379.09,2773572.00,在售,住宅
4栋28B,79.26,34056.66,58.54,46110.88,2699331.00,在售,住宅
4栋28A,88.61,35905.55,65.45,48611.01,3181591.00,在售,住宅
4栋27F,65.40,41286.00,48.31,55891.00,2700104.00,在售,住宅
4栋27E,65.40,41699.00,48.30,56462.00,2727114.00,在售,住宅
4栋27D,88.61,37153.33,65.45,50300.33,3292157.00,在售,住宅
4栋27C,79.26,44180.00,58.54,59817.00,3501706.00,在售,住宅
4栋27B,79.26,34000.00,58.54,46034.16,2694840.00,在售,住宅
