房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
519,193.96,59620.00,181.44,63733.99,11563895.20,在售,住宅
518,188.94,59589.00,176.78,63687.89,11258745.66,在售,住宅
517,193.49,59558.00,181.44,63513.43,11523877.42,在售,住宅
516,193.30,59526.00,181.27,63476.44,11506375.80,在售,住宅
513,207.81,59526.00,193.69,63865.44,12370098.06,在售,住宅
512,207.15,59151.00,193.04,63474.56,12253129.65,在售,住宅
511,199.30,59151.00,186.63,63166.66,11788794.30,在售,住宅
510,205.08,59276.00,192.01,63310.88,12156322.08,在售,住宅
507,193.13,59308.00,181.27,63188.36,11454154.04,在售,住宅
504,206.50,59464.00,190.08,64600.77,12279316.00,在售,住宅
503,196.84,59370.00,181.27,64469.52,11686390.80,在售,住宅
502,198.86,59339.00,184.51,63954.00,11800153.54,在售,住宅
406,206.26,61120.00,191.83,65717.62,12606611.20,在售,住宅
405,206.46,61320.00,192.00,65938.16,12660127.20,在售,住宅
404,206.27,61370.00,191.83,65989.62,12658789.90,在售,住宅
403,206.46,61420.00,192.00,66045.69,12680773.20,在售,住宅
402,208.66,61620.00,194.10,66242.29,12857629.20,在售,住宅
3106,81.74,26420.00,61.06,35368.01,2159570.80,在售,住宅
3105,81.70,25820.00,61.03,34564.86,2109494.00,在售,住宅
3104,86.45,28315.00,64.58,37903.86,2447831.75,在售,住宅
3103,106.84,28100.00,79.81,37616.89,3002204.00,在售,住宅
3102,87.12,27293.00,65.08,36536.05,2377766.16,在售,住宅
3006,81.67,26240.00,61.07,35091.21,2143020.80,在售,住宅
3005,81.60,25640.00,61.02,34287.51,2092224.00,在售,住宅
3004,86.36,27985.00,64.58,37423.11,2416784.60,在售,住宅
3003,106.72,28070.00,79.81,37534.52,2995630.40,在售,住宅
3002,87.04,27113.00,65.09,36256.19,2359915.52,在售,住宅
3001,119.51,36476.45,89.33,48799.96,4359300.55,在售,住宅
2906,81.75,26360.00,61.06,35292.00,2154930.00,在售,住宅
2905,81.71,25760.00,61.03,34488.76,2104849.60,在售,住宅
2904,86.46,28255.00,64.58,37827.92,2442927.30,在售,住宅
2903,106.85,28040.00,79.81,37540.08,2996074.00,在售,住宅
2902,87.13,27233.00,65.08,36459.91,2372811.29,在售,住宅
2806,81.67,26180.00,61.07,35010.98,2138120.60,在售,住宅
2805,81.60,25580.00,61.02,34207.27,2087328.00,在售,住宅
2804,86.36,27925.00,64.58,37342.87,2411603.00,在售,住宅
2803,106.72,28010.00,79.81,37454.29,2989227.20,在售,住宅
2802,87.04,27053.00,65.09,36175.95,2354693.12,在售,住宅
2801,117.55,36281.46,87.86,48541.84,4264886.62,在售,住宅
2706,81.75,26300.00,61.06,35211.67,2150025.00,在售,住宅
2705,81.71,25700.00,61.03,34408.43,2099947.00,在售,住宅
2704,86.46,28195.00,64.58,37747.59,2437739.70,在售,住宅
2703,106.85,27980.00,79.81,37459.75,2989663.00,在售,住宅
2702,87.13,27173.00,65.08,36379.58,2367583.49,在售,住宅
2606,81.67,26120.00,61.07,34930.74,2133220.40,在售,住宅
2605,81.60,25520.00,61.02,34127.04,2082432.00,在售,住宅
2604,86.36,27865.00,64.58,37262.64,2406421.40,在售,住宅
2603,106.72,27950.00,79.81,37374.06,2982824.00,在售,住宅
2602,87.04,26993.00,65.09,36095.72,2349470.72,在售,住宅
2601,117.55,36075.32,87.86,48266.04,4240654.50,在售,住宅
2506,81.75,26240.00,61.06,35131.34,2145120.00,在售,住宅
2505,81.71,25640.00,61.03,34328.10,2095044.40,在售,住宅
2504,86.46,28135.00,64.58,37667.26,2432552.10,在售,住宅
2503,106.85,27920.00,79.81,37379.42,2983252.00,在售,住宅
2502,87.13,27113.00,65.08,36299.25,2362355.69,在售,住宅
2406,81.67,26060.00,61.07,34850.50,2128320.20,在售,住宅
2405,81.60,25460.00,61.02,34046.80,2077536.00,在售,住宅
2404,86.36,27805.00,64.58,37182.40,2401239.80,在售,住宅
2403,106.72,27890.00,79.81,37293.83,2976420.80,在售,住宅
2402,87.04,26933.00,65.09,36015.49,2344248.32,在售,住宅
2401,117.55,35869.18,87.86,47990.23,4216422.38,在售,住宅
2306,81.75,26180.00,61.06,35051.01,2140215.00,在售,住宅
2305,81.71,25580.00,61.03,34247.77,2090141.80,在售,住宅
2304,86.46,28075.00,64.58,37586.93,2427364.50,在售,住宅
2303,106.85,27860.00,79.81,37299.09,2976841.00,在售,住宅
2302,87.13,27053.00,65.08,36218.92,2357127.89,在售,住宅
2206,81.67,26000.00,61.07,34770.26,2123420.00,在售,住宅
2205,81.60,25400.00,61.02,33966.56,2072640.00,在售,住宅
2204,86.36,27745.00,64.58,37102.17,2396058.20,在售,住宅
2203,106.72,27830.00,79.81,37213.60,2970017.60,在售,住宅
2202,87.04,26873.00,65.09,35935.25,2339025.92,在售,住宅
2201,117.55,35663.03,87.86,47714.43,4192190.27,在售,住宅
2106,81.63,26120.00,61.06,34919.35,2132175.60,在售,住宅
2105,81.60,25520.00,61.03,34121.44,2082432.00,在售,住宅
2104,86.28,28015.00,64.53,37457.52,2417134.20,在售,住宅
2103,106.70,27800.00,79.81,37166.52,2966260.00,在售,住宅
2102,87.01,26993.00,65.08,36088.82,2348660.93,在售,住宅
2101,74.46,26245.00,55.70,35084.42,1954202.70,在售,住宅
2006,81.65,25940.00,61.07,34681.52,2118001.00,在售,住宅
2005,81.58,25340.00,61.02,33878.02,2067237.20,在售,住宅
2004,86.28,27685.00,64.53,37016.29,2388661.80,在售,住宅
2003,106.70,27770.00,79.81,37126.41,2963059.00,在售,住宅
2002,87.02,26813.00,65.09,35846.78,2333267.26,在售,住宅
2001,74.45,26365.00,55.68,35252.77,1962874.25,在售,住宅
1906,81.63,26060.00,61.06,34839.13,2127277.80,在售,住宅
1905,81.60,25460.00,61.03,34041.22,2077536.00,在售,住宅
1904,86.28,27955.00,64.53,37377.30,2411957.40,在售,住宅
1903,106.70,27740.00,79.81,37086.30,2959858.00,在售,住宅
1902,87.01,26933.00,65.08,36008.60,2343440.33,在售,住宅
1901,74.46,26185.00,55.70,35004.22,1949735.10,在售,住宅
1806,81.65,25880.00,61.07,34601.30,2113102.00,在售,住宅
1805,81.58,25280.00,61.02,33797.81,2062342.40,在售,住宅
1804,86.28,27625.00,64.53,36936.07,2383485.00,在售,住宅
1803,106.70,27710.00,79.81,37046.19,2956657.00,在售,住宅
1802,87.02,26753.00,65.09,35766.57,2328046.06,在售,住宅
1801,74.45,26305.00,55.68,35172.54,1958407.25,在售,住宅
1706,81.63,26000.00,61.06,34758.92,2122380.00,在售,住宅
1705,81.60,25400.00,61.03,33961.00,2072640.00,在售,住宅
1704,86.28,27895.00,64.53,37297.08,2406780.60,在售,住宅
