房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
10号楼2110,76.58,21277.04,63.41,25696.00,1629395.00,在售,在售
10号楼2109,72.24,16256.70,59.81,19635.00,1174384.00,在售,在售
10号楼2108,150.20,30391.99,124.56,36648.02,4564878.00,在售,在售
10号楼2107,151.55,19811.60,125.68,23889.00,3002447.00,在售,在售
10号楼2106,146.37,20560.67,121.41,24787.00,3009465.00,在售,在售
10号楼2105,87.48,24818.99,72.41,29984.33,2171166.00,在售,在售
10号楼2104,87.48,18937.40,72.42,22875.00,1656643.00,在售,在售
10号楼2103,85.89,24938.00,71.10,30125.52,2141925.00,在售,在售
10号楼2102,72.24,16441.35,59.81,19858.00,1187723.00,在售,在售
10号楼2101,76.58,17095.19,63.41,20645.00,1309149.00,在售,在售
10号楼1911,79.62,21309.73,65.87,25758.00,1696680.00,在售,在售
10号楼1910,77.93,16297.59,64.44,19709.00,1270071.00,在售,在售
10号楼1909,85.10,18550.19,70.38,22429.00,1578621.00,在售,在售
10号楼1908,87.55,20556.85,72.40,24858.00,1799752.00,在售,在售
10号楼1907,87.54,21277.98,72.40,25727.00,1862674.00,在售,在售
10号楼1906,128.21,22252.55,105.95,26927.00,2852999.00,在售,在售
10号楼1905,87.54,20517.31,72.40,24807.00,1796085.00,在售,在售
10号楼1904,87.55,18966.94,72.40,22935.00,1660555.00,在售,在售
10号楼1903,85.10,18514.76,70.38,22387.00,1575606.00,在售,在售
10号楼1902,77.93,18227.90,64.44,22043.00,1420500.00,在售,在售
10号楼1901,79.62,21234.15,65.87,25666.00,1690663.00,在售,在售
10号楼1711,83.40,21100.50,68.90,25541.00,1759781.00,在售,在售
10号楼1710,86.72,16944.02,71.63,20513.00,1469385.00,在售,在售
10号楼1709,86.15,17706.01,71.16,21435.00,1525372.00,在售,在售
10号楼1708,89.10,19758.95,73.59,23923.00,1760522.00,在售,在售
10号楼1707,89.09,20401.11,73.58,24701.00,1817534.00,在售,在售
10号楼1706,135.41,23976.14,111.76,29049.00,3246609.00,在售,在售
10号楼1705,89.09,24419.00,73.58,29566.30,2175489.00,在售,在售
10号楼1704,89.10,24513.99,73.59,29680.62,2184197.00,在售,在售
10号楼1703,86.15,18262.70,71.16,22109.00,1573331.00,在售,在售
10号楼1702,86.72,24708.99,71.63,29914.33,2142764.00,在售,在售
10号楼1701,83.40,24229.00,68.90,29327.99,2020699.00,在售,在售
10号楼1511,83.40,24767.00,68.90,29979.21,2065568.00,在售,在售
10号楼1510,89.77,23029.99,74.18,27870.08,2067403.00,在售,在售
