房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋C座3205,113.51,48020.79,89.94,60605.29,5450840.00,在售,住宅
1栋C座3204,98.39,45281.96,77.96,57148.44,4455293.00,在售,住宅
1栋C座3203,98.39,46103.61,77.96,58185.41,4536135.00,在售,住宅
1栋C座3202,98.33,44460.31,77.92,56106.04,4371783.00,在售,住宅
1栋C座3201,98.33,43364.79,77.92,54723.56,4264060.00,在售,住宅
1栋C座3105,113.51,50211.85,89.94,63370.55,5699548.00,在售,住宅
1栋C座3104,98.39,46925.26,77.96,59222.38,4616977.00,在售,住宅
1栋C座3103,98.39,47746.91,77.96,60259.35,4697819.00,在售,住宅
1栋C座3102,98.33,46103.62,77.92,58179.78,4533369.00,在售,住宅
1栋C座3101,98.33,45008.08,77.92,56797.29,4425645.00,在售,住宅
1栋C座3005,113.51,50211.85,89.94,63370.55,5699548.00,在售,住宅
1栋C座3004,98.39,45829.73,77.96,57839.76,4509188.00,在售,住宅
1栋C座3003,98.39,46651.37,77.96,58876.71,4590029.00,在售,住宅
1栋C座3002,98.33,45008.08,77.92,56797.29,4425645.00,在售,住宅
1栋C座3001,98.33,43912.55,77.92,55414.81,4317922.00,在售,住宅
1栋C座2905,113.51,49664.09,89.94,62679.24,5637371.00,在售,住宅
1栋C座2904,98.39,46925.26,77.96,59222.38,4616977.00,在售,住宅
1栋C座2903,98.39,47746.91,77.96,60259.35,4697819.00,在售,住宅
1栋C座2902,98.33,46103.62,77.92,58179.78,4533369.00,在售,住宅
1栋C座2901,98.33,45008.08,77.92,56797.29,4425645.00,在售,住宅
1栋C座2805,113.51,50211.85,89.94,63370.55,5699548.00,在售,住宅
1栋C座2804,98.39,47473.02,77.96,59913.68,4670871.00,在售,住宅
1栋C座2803,98.39,48294.67,77.96,60950.65,4751713.00,在售,住宅
1栋C座2802,98.33,46651.37,77.92,58871.02,4587230.00,在售,住宅
1栋C座2801,98.33,45555.85,77.92,57488.53,4479507.00,在售,住宅
1栋C座2705,113.51,50211.85,89.94,63370.55,5699548.00,在售,住宅
1栋C座2704,98.39,47473.02,77.96,59913.68,4670871.00,在售,住宅
1栋C座2703,98.39,48294.67,77.96,60950.65,4751713.00,在售,住宅
1栋C座2702,98.33,46651.37,77.92,58871.02,4587230.00,在售,住宅
1栋C座2701,98.33,45555.85,77.92,57488.53,4479507.00,在售,住宅
1栋C座2605,113.51,50211.85,89.94,63370.55,5699548.00,在售,住宅
1栋C座2604,98.39,47473.02,77.96,59913.68,4670871.00,在售,住宅
1栋C座2603,98.39,48294.67,77.96,60950.65,4751713.00,在售,住宅
1栋C座2602,98.33,46651.37,77.92,58871.02,4587230.00,在售,住宅
1栋C座2601,98.33,45555.85,77.92,57488.53,4479507.00,在售,住宅
1栋C座2505,113.51,50211.85,89.94,63370.55,5699548.00,在售,住宅
1栋C座2504,98.39,47473.02,77.96,59913.68,4670871.00,在售,住宅
1栋C座2503,98.39,48294.67,77.96,60950.65,4751713.00,在售,住宅
1栋C座2502,98.33,46651.37,77.92,58871.02,4587230.00,在售,住宅
1栋C座2501,98.33,45555.85,77.92,57488.53,4479507.00,在售,住宅
1栋C座2405,113.51,50211.85,89.94,63370.55,5699548.00,在售,住宅
1栋C座2404,98.39,47473.02,77.96,59913.68,4670871.00,在售,住宅
1栋C座2403,98.39,48294.67,77.96,60950.65,4751713.00,在售,住宅
1栋C座2402,98.33,46651.37,77.92,58871.02,4587230.00,在售,住宅
1栋C座2401,98.33,45555.85,77.92,57488.53,4479507.00,在售,住宅
1栋C座2305,113.51,50211.85,89.94,63370.55,5699548.00,在售,住宅
1栋C座2304,98.39,47473.02,77.96,59913.68,4670871.00,在售,住宅
1栋C座2303,98.39,48294.67,77.96,60950.65,4751713.00,在售,住宅
1栋C座2302,98.33,46651.37,77.92,58871.02,4587230.00,在售,住宅
1栋C座2301,98.33,45555.85,77.92,57488.53,4479507.00,在售,住宅
1栋C座2205,113.51,49773.64,89.94,62817.50,5649806.00,在售,住宅
1栋C座2204,98.39,47034.82,77.96,59360.64,4627756.00,在售,住宅
1栋C座2203,98.39,47856.46,77.96,60397.61,4708598.00,在售,住宅
1栋C座2202,98.33,46213.16,77.92,58318.03,4544141.00,在售,住宅
1栋C座2201,98.33,45117.64,77.92,56935.54,4436418.00,在售,住宅
1栋C座2105,113.51,49773.64,89.94,62817.50,5649806.00,在售,住宅
1栋C座2104,98.39,47034.82,77.96,59360.64,4627756.00,在售,住宅
1栋C座2103,98.39,47856.46,77.96,60397.61,4708598.00,在售,住宅
1栋C座2102,98.33,46213.16,77.92,58318.03,4544141.00,在售,住宅
1栋C座2101,98.33,45117.64,77.92,56935.54,4436418.00,在售,住宅
1栋C座2005,113.51,49773.64,89.94,62817.50,5649806.00,在售,住宅
1栋C座2004,98.39,47034.82,77.96,59360.64,4627756.00,在售,住宅
1栋C座2003,98.39,47856.46,77.96,60397.61,4708598.00,在售,住宅
1栋C座2002,98.33,46213.16,77.92,58318.03,4544141.00,在售,住宅
1栋C座2001,98.33,45117.64,77.92,56935.54,4436418.00,在售,住宅
1栋C座1905,113.51,49773.64,89.94,62817.50,5649806.00,在售,住宅
1栋C座1904,98.39,47034.82,77.96,59360.64,4627756.00,在售,住宅
1栋C座1903,98.39,47856.46,77.96,60397.61,4708598.00,在售,住宅
1栋C座1902,98.33,46213.16,77.92,58318.03,4544141.00,在售,住宅
1栋C座1901,98.33,45117.64,77.92,56935.54,4436418.00,在售,住宅
1栋C座1805,113.51,49773.64,89.94,62817.50,5649806.00,在售,住宅
1栋C座1804,98.39,47034.82,77.96,59360.64,4627756.00,在售,住宅
1栋C座1803,98.39,47856.46,77.96,60397.61,4708598.00,在售,住宅
1栋C座1802,98.33,46213.16,77.92,58318.03,4544141.00,在售,住宅
1栋C座1801,98.33,45117.64,77.92,56935.54,4436418.00,在售,住宅
1栋C座1705,113.51,49773.64,89.94,62817.50,5649806.00,在售,住宅
1栋C座1704,98.39,47034.82,77.96,59360.64,4627756.00,在售,住宅
1栋C座1703,98.39,47856.46,77.96,60397.61,4708598.00,在售,住宅
1栋C座1702,98.33,46213.16,77.92,58318.03,4544141.00,在售,住宅
1栋C座1701,98.33,45117.64,77.92,56935.54,4436418.00,在售,住宅
1栋C座1605,113.51,49773.64,89.94,62817.50,5649806.00,在售,住宅
1栋C座1604,98.39,47034.82,77.96,59360.64,4627756.00,在售,住宅
1栋C座1603,98.39,47856.46,77.96,60397.61,4708598.00,在售,住宅
1栋C座1602,98.33,46213.16,77.92,58318.03,4544141.00,在售,住宅
1栋C座1601,98.33,45117.64,77.92,56935.54,4436418.00,在售,住宅
1栋C座1505,113.51,49773.64,89.94,62817.50,5649806.00,在售,住宅
1栋C座1504,98.39,47034.82,77.96,59360.64,4627756.00,在售,住宅
1栋C座1503,98.39,47856.46,77.96,60397.61,4708598.00,在售,住宅
1栋C座1502,98.33,46213.16,77.92,58318.03,4544141.00,在售,住宅
1栋C座1501,98.33,45117.64,77.92,56935.54,4436418.00,在售,住宅
1栋C座1405,113.51,49773.64,89.94,62817.50,5649806.00,在售,住宅
1栋C座1404,98.39,47034.82,77.96,59360.64,4627756.00,在售,住宅
1栋C座1403,98.39,47856.46,77.96,60397.61,4708598.00,在售,住宅
1栋C座1402,98.33,46213.16,77.92,58318.03,4544141.00,在售,住宅
1栋C座1401,98.33,45117.64,77.92,56935.54,4436418.00,在售,住宅
1栋C座1305,113.51,49773.64,89.94,62817.50,5649806.00,在售,住宅
1栋C座1304,98.39,47034.82,77.96,59360.64,4627756.00,在售,住宅
1栋C座1303,98.39,47856.46,77.96,60397.61,4708598.00,在售,住宅
1栋C座1302,98.33,46213.16,77.92,58318.03,4544141.00,在售,住宅
1栋C座1301,98.33,45117.64,77.92,56935.54,4436418.00,在售,住宅
1栋C座1205,113.51,49116.32,89.94,61987.92,5575194.00,在售,住宅
1栋C座1204,98.39,46377.49,77.96,58531.06,4563082.00,在售,住宅
1栋C座1203,98.39,47199.14,77.96,59568.03,4643924.00,在售,住宅
1栋C座1202,98.33,45555.85,77.92,57488.53,4479507.00,在售,住宅
1栋C座1201,98.33,44460.31,77.92,56106.04,4371783.00,在售,住宅
1栋C座1105,113.51,49116.32,89.94,61987.92,5575194.00,在售,住宅
1栋C座1104,98.39,46377.49,77.96,58531.06,4563082.00,在售,住宅
1栋C座1103,98.39,47199.14,77.96,59568.03,4643924.00,在售,住宅
1栋C座1102,98.33,45555.85,77.92,57488.53,4479507.00,在售,住宅
1栋C座1101,98.33,44460.31,77.92,56106.04,4371783.00,在售,住宅
1栋C座1005,113.51,49116.32,89.94,61987.92,5575194.00,在售,住宅
1栋C座1004,98.39,46377.49,77.96,58531.06,4563082.00,在售,住宅
1栋C座1003,98.39,47199.14,77.96,59568.03,4643924.00,在售,住宅
1栋C座1002,98.33,45555.85,77.92,57488.53,4479507.00,在售,住宅
1栋C座1001,98.33,44460.31,77.92,56106.04,4371783.00,在售,住宅
1栋C座905,113.51,49116.32,89.94,61987.92,5575194.00,在售,住宅
1栋C座904,98.39,46377.49,77.96,58531.06,4563082.00,在售,住宅
1栋C座903,98.39,47199.14,77.96,59568.03,4643924.00,在售,住宅
1栋C座902,98.33,45555.85,77.92,57488.53,4479507.00,在售,住宅
1栋C座901,98.33,44460.31,77.92,56106.04,4371783.00,在售,住宅
1栋C座805,113.51,49116.32,89.94,61987.92,5575194.00,在售,住宅
1栋C座804,98.39,46377.49,77.96,58531.06,4563082.00,在售,住宅
1栋C座803,98.39,47199.14,77.96,59568.03,4643924.00,在售,住宅
