房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
0101,1439.67,184000.00,1142.42,231875.56,264899280.00,在售,商业
0201,1678.61,130000.00,1332.03,163824.61,218219300.00,在售,商业
0301,1787.89,86000.00,1418.75,108376.06,153758540.00,在售,商业
0402,732.50,51000.00,531.07,70343.83,37357500.00,在售,商业
0401,1121.69,45000.00,813.24,62067.83,50476050.00,在售,办公
0539,43.89,39976.00,30.74,57077.00,1754547.00,已签预售合同,办公
0538,43.89,39976.00,30.74,57077.00,1754547.00,已签预售合同,办公
0537,70.72,37973.00,49.53,54218.67,2685451.00,已签预售合同,办公
0536,40.20,38144.42,28.16,54453.33,1533406.00,已签预售合同,办公
0535,40.20,38144.42,28.16,54453.33,1533406.00,已签预售合同,办公
0534,40.20,38144.42,28.16,54453.33,1533406.00,已签预售合同,办公
0533,40.20,38144.42,28.16,54453.33,1533406.00,已签预售合同,办公
0532,40.20,38144.42,28.16,54453.33,1533406.00,已签预售合同,办公
0531,40.20,38144.42,28.16,54453.33,1533406.00,已签预售合同,办公
0530,67.43,40223.38,47.22,57438.86,2712263.00,已签预售合同,办公
0529,69.02,40698.00,48.34,58108.72,2808976.00,已签预售合同,办公
0528,72.41,40970.00,50.71,58502.03,2966638.00,已签预售合同,办公
0527,72.54,40623.39,50.81,57996.87,2946821.00,已签预售合同,办公
0526,43.84,38430.13,30.71,54860.85,1684777.00,已签预售合同,办公
0525,43.84,51169.27,30.71,73046.00,2243260.00,已签预售合同,办公
0524,43.84,38430.13,30.71,54860.85,1684777.00,已签预售合同,办公
0523,43.84,38544.43,30.71,55024.03,1689788.00,已产权备案,办公
0522,43.84,38544.43,30.71,55024.03,1689788.00,已签预售合同,办公
0521,43.84,38544.43,30.71,55024.03,1689788.00,已签预售合同,办公
0520,43.84,38544.43,30.71,55024.03,1689788.00,在售,办公
0519,43.84,38544.43,30.71,55024.03,1689788.00,在售,办公
0518,43.84,38544.43,30.71,55024.03,1689788.00,已签预售合同,办公
0517,43.09,38544.41,30.18,55032.43,1660879.00,已签预售合同,办公
0516,83.03,41098.00,58.15,58682.14,3412367.00,已签预售合同,办公
0515,47.99,37623.00,33.61,53719.96,1805528.00,已签预售合同,办公
0514,41.73,37623.00,29.22,53730.59,1570008.00,已签预售合同,办公
0513,46.67,38380.13,32.68,54810.31,1791201.00,在售,办公
0512,47.42,38380.13,33.21,54802.34,1819986.00,已产权备案,办公
0511,47.42,38408.70,33.21,54843.14,1821341.00,已签预售合同,办公
0510,47.42,38408.70,33.21,54843.14,1821341.00,已产权备案,办公
0509,47.42,38408.70,33.21,54843.14,1821341.00,已签预售合同,办公
0508,47.42,38408.70,33.21,54843.14,1821341.00,已签预售合同,办公
0507,79.70,40500.80,55.82,57827.19,3227914.00,已签预售合同,办公
0506,77.18,40850.00,54.05,58331.23,3152803.00,已签预售合同,办公
0505,73.78,40761.99,51.67,58204.37,3007420.00,已签预售合同,办公
0504,73.98,40378.22,51.81,57656.45,2987181.00,已签预售合同,办公
0503,43.48,38272.99,30.45,54650.57,1664110.00,已签预售合同,办公
0502,43.19,38273.00,30.25,54644.99,1653011.00,已签预售合同,办公
0501,89.28,46405.29,62.52,66267.00,4143064.00,已签预售合同,办公
0639,43.89,40276.00,30.74,57505.33,1767714.00,已签预售合同,办公
0638,43.89,40276.00,30.74,57505.33,1767714.00,已签预售合同,办公
0637,70.72,38273.00,49.53,54647.02,2706667.00,已签预售合同,办公
0636,40.20,38444.42,28.16,54881.60,1545466.00,已产权备案,办公
0635,40.20,38444.42,28.16,54881.60,1545466.00,已签预售合同,办公
0634,40.20,38444.42,28.16,54881.60,1545466.00,已产权备案,办公
0633,40.20,38444.42,28.16,54881.60,1545466.00,在售,办公
0632,40.20,38444.42,28.16,54881.60,1545466.00,已签预售合同,办公
0631,40.20,38444.42,28.16,54881.60,1545466.00,已产权备案,办公
0630,67.43,40523.38,47.22,57867.25,2732492.00,已签预售合同,办公
0629,69.02,40998.00,48.34,58537.07,2829682.00,已产权备案,办公
0628,72.41,41270.00,50.71,58930.40,2988361.00,已产权备案,办公
0627,72.54,40923.39,50.81,58425.17,2968583.00,已签预售合同,办公
0626,43.84,38730.13,30.71,55289.12,1697929.00,已产权备案,办公
0625,43.84,38730.13,30.71,55289.12,1697929.00,已签预售合同,办公
0624,43.84,38730.13,30.71,55289.12,1697929.00,已签预售合同,办公
0623,43.84,38844.43,30.71,55452.29,1702940.00,在售,办公
0622,43.84,38844.43,30.71,55452.29,1702940.00,已签预售合同,办公
0621,43.84,38844.43,30.71,55452.29,1702940.00,已产权备案,办公
0620,43.84,38844.43,30.71,55452.29,1702940.00,已产权备案,办公
0619,43.84,38844.43,30.71,55452.29,1702940.00,已签预售合同,办公
