房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
6栋3905,88.36,45681.00,69.58,58010.78,4036390.00,在售,住宅
6栋3904,88.36,44915.00,69.58,57038.16,3968715.00,在售,住宅
6栋3903,88.36,44264.00,69.58,56211.58,3911202.00,在售,住宅
6栋3902,88.36,43615.00,69.58,55386.46,3853790.00,在售,住宅
6栋3901,88.57,46322.00,69.74,58828.75,4102717.00,在售,住宅
6栋3805,88.36,46026.00,69.58,58448.89,4066874.00,在售,住宅
6栋3804,88.36,45260.00,69.58,57476.27,3999199.00,在售,住宅
6栋3803,88.36,44609.00,69.58,56649.70,3941686.00,在售,住宅
6栋3802,88.36,43960.00,69.58,55824.58,3884274.00,在售,住宅
6栋3801,88.57,46667.00,69.74,59266.89,4133273.00,在售,住宅
6栋3705,88.36,46015.00,69.58,58434.29,4065858.00,在售,住宅
6栋3704,88.36,45249.00,69.58,57461.67,3998183.00,在售,住宅
6栋3703,88.36,44598.00,69.58,56635.10,3940670.00,在售,住宅
6栋3702,88.36,43948.00,69.58,55809.97,3883258.00,在售,住宅
6栋3701,88.57,46655.00,69.74,59252.29,4132255.00,在售,住宅
6栋3605,88.36,46003.00,69.58,58419.69,4064842.00,在售,住宅
6栋3604,88.36,45237.00,69.58,57447.07,3997167.00,在售,住宅
6栋3603,88.36,44586.00,69.58,56620.49,3939654.00,在售,住宅
6栋3602,88.36,43937.00,69.58,55795.37,3882242.00,在售,住宅
6栋3601,88.57,46644.00,69.74,59237.68,4131236.00,在售,住宅
6栋3505,88.36,45992.00,69.58,58405.09,4063826.00,在售,住宅
6栋3504,88.36,45226.00,69.58,57432.47,3996151.00,在售,住宅
6栋3503,88.36,44575.00,69.58,56605.88,3938637.00,在售,住宅
6栋3502,88.36,43925.00,69.58,55780.77,3881226.00,在售,住宅
6栋3501,88.57,46632.00,69.74,59223.09,4130218.00,在售,住宅
6栋3405,88.36,45980.00,69.58,58390.49,4062810.00,在售,住宅
6栋3404,88.36,45214.00,69.58,57417.86,3995135.00,在售,住宅
6栋3403,88.36,44563.00,69.58,56591.28,3937621.00,在售,住宅
6栋3402,88.36,43914.00,69.58,55766.15,3880209.00,在售,住宅
6栋3401,88.57,46621.00,69.74,59208.47,4129199.00,在售,住宅
6栋3305,88.36,45969.00,69.58,58375.88,4061794.00,在售,住宅
6栋3304,88.36,45203.00,69.58,57403.26,3994119.00,在售,住宅
6栋3303,88.36,44552.00,69.58,56576.67,3936605.00,在售,住宅
6栋3302,88.36,43902.00,69.58,55751.55,3879193.00,在售,住宅
6栋3301,88.57,46609.00,69.74,59193.88,4128181.00,在售,住宅
6栋3205,88.36,45957.00,69.58,58361.27,4060777.00,在售,住宅
6栋3204,88.36,45191.00,69.58,57388.66,3993103.00,在售,住宅
6栋3203,88.36,44540.00,69.58,56562.07,3935589.00,在售,住宅
6栋3202,88.36,43891.00,69.58,55736.95,3878177.00,在售,住宅
6栋3201,88.57,46598.00,69.74,59179.27,4127162.00,在售,住宅
6栋3105,88.36,45946.00,69.58,58346.67,4059761.00,在售,住宅
6栋3104,88.36,45180.00,69.58,57374.04,3992086.00,在售,住宅
6栋3103,88.36,44529.00,69.58,56547.47,3934573.00,在售,住宅
6栋3102,88.36,43879.00,69.58,55722.35,3877161.00,在售,住宅
6栋3101,88.57,46586.00,69.74,59164.65,4126143.00,在售,住宅
6栋3005,88.36,45934.00,69.58,58332.06,4058745.00,在售,住宅
6栋3004,88.36,45168.00,69.58,57359.44,3991070.00,在售,住宅
6栋3003,88.36,44517.00,69.58,56532.87,3933557.00,在售,住宅
6栋3002,88.36,43868.00,69.58,55707.75,3876145.00,在售,住宅
6栋3001,88.57,46575.00,69.74,59150.06,4125125.00,在售,住宅
6栋2905,88.36,45900.00,69.58,58288.26,4055697.00,在售,住宅
6栋2904,88.36,45134.00,69.58,57315.64,3988022.00,在售,住宅
6栋2903,88.36,44483.00,69.58,56489.05,3930508.00,在售,住宅
6栋2902,88.36,43833.00,69.58,55663.93,3873096.00,在售,住宅
6栋2901,88.57,46540.00,69.74,59106.24,4122069.00,在售,住宅
6栋2805,88.36,45865.00,69.58,58244.44,4052648.00,在售,住宅
6栋2804,88.36,45099.00,69.58,57271.82,3984973.00,在售,住宅
6栋2803,88.36,44448.00,69.58,56445.24,3927460.00,在售,住宅
6栋2802,88.36,43799.00,69.58,55620.12,3870048.00,在售,住宅
6栋2801,88.57,46506.00,69.74,59062.43,4119014.00,在售,住宅
6栋2705,88.36,45831.00,69.58,58200.63,4049600.00,在售,住宅
