房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
4栋213,61.75,17814.00,45.16,24358.17,1100015.00,在售,商业
4栋120,33.31,38328.00,31.14,40998.90,1276706.00,在售,商业
4栋119,37.50,37628.00,35.06,40246.71,1411050.00,在售,商业
4栋118,37.49,38128.00,35.05,40782.28,1429419.00,在售,商业
4栋117,50.77,35628.00,47.46,38112.81,1808834.00,在售,商业
4栋116,50.48,35627.99,47.19,38111.90,1798501.00,在售,商业
4栋115,50.48,36627.99,47.19,39181.62,1848981.00,在售,商业
4栋112,50.67,37628.00,47.37,40249.33,1906611.00,在售,商业
4栋111,37.49,37128.00,35.05,39712.66,1391929.00,在售,商业
4栋110,37.50,36128.00,35.06,38642.32,1354800.00,在售,商业
4栋109,37.50,36128.00,35.06,38642.32,1354800.00,在售,商业
4栋108,37.50,36128.00,35.06,38642.32,1354800.00,在售,商业
4栋107,46.50,36128.00,43.47,38646.23,1679952.00,在售,商业
4栋106,37.50,36128.00,35.06,38642.32,1354800.00,在售,商业
4栋105,37.49,36128.00,35.05,38643.05,1354439.00,在售,商业
4栋104,50.77,35628.00,47.46,38112.81,1808834.00,在售,商业
4栋103,50.48,35627.99,47.19,38111.90,1798501.00,在售,商业
4栋102,50.48,36627.99,47.19,39181.62,1848981.00,在售,商业
4栋101,86.29,34627.99,80.67,37040.41,2988050.00,在售,商业
3栋27H,64.43,5214.01,52.45,6404.93,335939.00,在售,住宅
3栋27G,64.43,5284.01,52.45,6490.92,340449.00,在售,住宅
3栋27F,63.48,5334.01,51.68,6551.91,338603.00,在售,住宅
3栋27E,63.48,5334.01,51.68,6551.91,338603.00,在售,住宅
3栋27D,63.59,5409.01,51.77,6643.98,343959.00,在售,住宅
3栋27C,63.59,5409.01,51.77,6643.98,343959.00,在售,住宅
3栋27B,84.47,5483.99,68.77,6735.97,463233.00,在售,住宅
3栋27A,84.47,5284.00,68.77,6490.33,446340.00,在售,住宅
3栋26H,64.43,5224.01,52.45,6417.21,336583.00,在售,住宅
3栋26G,64.43,5294.00,52.45,6503.20,341093.00,在售,住宅
3栋26F,63.48,5344.01,51.68,6564.20,339238.00,在售,住宅
3栋26E,63.48,5344.01,51.68,6564.20,339238.00,在售,住宅
3栋26D,63.59,5419.01,51.77,6656.26,344595.00,在售,住宅
3栋26C,63.59,5419.01,51.77,6656.26,344595.00,在售,住宅
3栋26B,84.47,5493.99,68.77,6748.26,464078.00,在售,住宅
3栋26A,84.47,5294.00,68.77,6502.61,447185.00,在售,住宅
3栋25H,64.43,5214.01,52.45,6404.93,335939.00,在售,住宅
3栋25G,64.43,5284.01,52.45,6490.92,340449.00,在售,住宅
3栋25F,63.48,5334.01,51.68,6551.91,338603.00,在售,住宅
3栋25E,63.48,5334.01,51.68,6551.91,338603.00,在售,住宅
3栋25D,63.59,5409.01,51.77,6643.98,343959.00,在售,住宅
3栋25C,63.59,5409.01,51.77,6643.98,343959.00,在售,住宅
