房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋商业301,1729.42,80000.00,1374.14,100683.77,138353600.00,在售,商业
1栋商业206,483.90,80000.00,384.49,100684.00,38712000.00,在售,商业
1栋商业202,1488.01,80000.00,1182.32,100684.00,119040800.00,在售,商业
1栋商业201,454.21,80000.00,289.83,125373.00,36336800.00,在售,商业
1栋商业120,149.21,80000.00,137.99,86505.00,11936800.00,在售,商业
1栋商业119,9.29,116189.78,8.59,125658.00,1079403.00,在售,商业
1栋商业118,734.22,80000.00,679.01,86504.76,58737600.00,在售,商业
1栋商业117,81.01,80000.00,74.91,86514.00,6480800.00,在售,商业
1栋商业116,84.09,80000.00,77.77,86501.00,6727200.00,在售,商业
1栋商业115,81.96,59197.00,75.80,64007.00,4851786.00,在售,商业
1栋商业113,64.92,67900.00,60.04,73418.00,4408068.00,在售,商业
1栋商业111,58.52,61207.00,54.12,66183.00,3581833.00,在售,商业
1栋商业110,86.31,50295.00,79.82,54384.00,4340961.00,在售,商业
1栋商业109,47.46,94021.00,43.89,101668.00,4462236.00,在售,商业
1栋商业108,44.28,80000.00,40.95,86505.00,3542400.00,在售,商业
1栋商业107,46.70,80000.00,43.19,86502.00,3736000.00,在售,商业
1栋商业106,40.75,80000.00,37.69,86495.00,3260000.00,在售,商业
1栋商业105,26.22,80000.00,24.25,86499.00,2097600.00,在售,商业
1栋商业103,83.30,56059.00,77.03,60622.00,4669714.00,在售,商业
1栋商业102,46.88,64121.00,43.36,69326.00,3005992.00,在售,商业
1栋商业101,40.25,62758.00,37.22,67866.00,2526009.00,在售,商业
1栋C座3106,87.33,21130.57,67.17,27472.57,1845333.00,在售,住宅
1栋C座3105,88.73,20849.45,68.25,27105.81,1849972.00,在售,住宅
1栋C座3103,87.36,20990.01,67.20,27287.02,1833688.00,在售,住宅
1栋C座3102,88.58,19348.03,68.14,25151.87,1713849.00,在售,住宅
1栋C座3101,85.88,19564.10,66.06,25433.92,1680165.00,在售,住宅
1栋C座3006,89.77,21369.17,69.06,27777.45,1918311.00,在售,住宅
1栋C座3005,88.72,21088.06,68.25,27412.93,1870933.00,在售,住宅
1栋C座3003,88.65,21228.61,68.20,27594.09,1881917.00,在售,住宅
1栋C座3002,88.57,19568.10,68.14,25435.08,1733147.00,在售,住宅
1栋C座3001,85.87,19784.16,66.06,25717.01,1698866.00,在售,住宅
1栋C座2906,89.77,21339.35,69.06,27738.69,1915634.00,在售,住宅
1栋C座2905,88.72,21058.23,68.25,27374.16,1868287.00,在售,住宅
1栋C座2903,88.65,21198.79,68.20,27555.32,1879273.00,在售,住宅
1栋C座2902,88.57,19540.58,68.14,25399.32,1730710.00,在售,住宅
1栋C座2901,85.87,19756.65,66.06,25681.25,1696504.00,在售,住宅
1栋C座2806,89.77,21309.52,69.06,27699.91,1912956.00,在售,住宅
1栋C座2805,88.72,21028.40,68.25,27335.38,1865640.00,在售,住宅
1栋C座2803,88.65,21168.96,68.20,27516.55,1876629.00,在售,住宅
1栋C座2802,88.57,19513.08,68.14,25363.57,1728274.00,在售,住宅
1栋C座2801,85.87,19729.14,66.06,25645.50,1694142.00,在售,住宅
1栋C座2706,89.77,21279.70,69.06,27661.14,1910279.00,在售,住宅
1栋C座2705,88.72,20998.57,68.25,27296.61,1862994.00,在售,住宅
1栋C座2703,88.65,21139.14,68.20,27477.78,1873985.00,在售,住宅
1栋C座2702,88.57,19485.58,68.14,25327.82,1725838.00,在售,住宅
1栋C座2701,85.87,19701.64,66.06,25609.74,1691780.00,在售,住宅
1栋C座2606,89.77,21249.88,69.06,27622.38,1907602.00,在售,住宅
1栋C座2605,88.72,20968.75,68.25,27257.84,1860348.00,在售,住宅
1栋C座2603,88.65,21109.31,68.20,27439.01,1871341.00,在售,住宅
1栋C座2602,88.57,19458.06,68.14,25292.06,1723401.00,在售,住宅
1栋C座2601,85.87,19674.12,66.06,25573.97,1689417.00,在售,住宅
1栋C座2506,89.77,21220.05,69.06,27583.60,1904924.00,在售,住宅
1栋C座2505,88.72,20938.93,68.25,27219.07,1857702.00,在售,住宅
1栋C座2503,88.65,21079.49,68.20,27400.24,1868697.00,在售,住宅
1栋C座2502,88.57,19430.56,68.14,25256.31,1720965.00,在售,住宅
1栋C座2501,85.87,19646.61,66.06,25538.22,1687055.00,在售,住宅
1栋C座2406,89.77,21190.23,69.06,27544.84,1902247.00,在售,住宅
1栋C座2405,88.72,20909.10,68.25,27180.30,1855056.00,在售,住宅
1栋C座2403,88.65,21049.66,68.20,27361.48,1866053.00,在售,住宅
1栋C座2402,88.57,19403.05,68.14,25220.56,1718529.00,在售,住宅
1栋C座2401,85.87,19619.11,66.06,25502.46,1684693.00,在售,住宅
1栋C座2306,89.77,21160.39,69.06,27506.06,1899569.00,在售,住宅
1栋C座2305,88.72,20879.28,68.25,27141.53,1852410.00,在售,住宅
1栋C座2303,88.65,21019.84,68.20,27322.71,1863409.00,在售,住宅
1栋C座2302,88.57,19375.54,68.14,25184.79,1716092.00,在售,住宅
1栋C座2301,85.87,19591.60,66.06,25466.71,1682331.00,在售,住宅
1栋C座2206,89.77,21130.57,69.06,27467.30,1896892.00,在售,住宅
1栋C座2205,88.72,20849.45,68.25,27102.76,1849764.00,在售,住宅
1栋C座2203,88.65,20990.01,68.20,27283.94,1860765.00,在售,住宅
1栋C座2202,88.57,19348.04,68.14,25149.04,1713656.00,在售,住宅
1栋C座2201,85.87,19564.09,66.06,25430.95,1679969.00,在售,住宅
1栋C座2106,89.77,21100.74,69.06,27428.52,1894214.00,在售,住宅
1栋C座2105,88.72,20819.62,68.25,27063.98,1847117.00,在售,住宅
1栋C座2103,88.65,20960.19,68.20,27245.17,1858121.00,在售,住宅
1栋C座2102,88.57,19320.53,68.14,25113.29,1711220.00,在售,住宅
1栋C座2101,85.87,19536.59,66.06,25395.20,1677607.00,在售,住宅
1栋C座2006,89.77,21070.92,69.06,27389.76,1891537.00,在售,住宅
1栋C座2005,88.72,20789.79,68.25,27025.21,1844471.00,在售,住宅
1栋C座2003,88.65,20930.36,68.20,27206.40,1855477.00,在售,住宅
1栋C座2002,88.57,19293.02,68.14,25077.53,1708783.00,在售,住宅
1栋C座2001,85.87,19509.08,66.06,25359.44,1675245.00,在售,住宅
1栋C座1906,89.77,21041.09,69.06,27350.98,1888859.00,在售,住宅
1栋C座1905,88.72,20759.97,68.25,26986.44,1841825.00,在售,住宅
1栋C座1903,88.65,20900.54,68.20,27167.63,1852833.00,在售,住宅
1栋C座1902,88.57,19265.51,68.14,25041.78,1706347.00,在售,住宅
1栋C座1901,85.87,19481.57,66.06,25323.69,1672883.00,在售,住宅
1栋C座1806,89.77,21011.27,69.06,27312.22,1886182.00,在售,住宅
1栋C座1805,88.72,20730.15,68.25,26947.67,1839179.00,在售,住宅
1栋C座1803,88.65,20870.71,68.20,27128.87,1850189.00,在售,住宅
1栋C座1802,88.57,19238.01,68.14,25006.03,1703911.00,在售,住宅
1栋C座1801,85.87,19454.07,66.06,25287.93,1670521.00,在售,住宅
1栋C座1706,89.77,20981.44,69.06,27273.44,1883504.00,在售,住宅
1栋C座1705,88.72,20700.32,68.25,26908.90,1836533.00,在售,住宅
1栋C座1703,88.65,20840.89,68.20,27090.10,1847545.00,在售,住宅
1栋C座1702,88.57,19210.50,68.14,24970.26,1701474.00,在售,住宅
1栋C座1701,85.87,19426.56,66.06,25252.17,1668159.00,在售,住宅
1栋C座1606,89.77,20951.62,69.06,27234.67,1880827.00,在售,住宅
1栋C座1605,88.72,20670.50,68.25,26870.13,1833887.00,在售,住宅
1栋C座1603,88.65,20811.05,68.20,27051.31,1844900.00,在售,住宅
1栋C座1602,88.57,19182.99,68.14,24934.51,1699038.00,在售,住宅
1栋C座1601,85.87,19399.05,66.06,25216.42,1665797.00,在售,住宅
1栋C座1506,89.77,20921.80,69.06,27195.91,1878150.00,在售,住宅
1栋C座1505,88.72,20640.67,68.25,26831.36,1831241.00,在售,住宅
1栋C座1503,88.65,20781.22,68.20,27012.55,1842256.00,在售,住宅
1栋C座1502,88.57,19155.49,68.14,24898.76,1696602.00,在售,住宅
1栋C座1501,85.87,19371.55,66.06,25180.66,1663435.00,在售,住宅
1栋C座1406,89.77,20891.96,69.06,27157.13,1875472.00,在售,住宅
1栋C座1405,88.72,20610.84,68.25,26792.58,1828594.00,在售,住宅
1栋C座1403,88.65,20751.40,68.20,26973.78,1839612.00,在售,住宅
1栋C座1402,88.57,19127.97,68.14,24863.00,1694165.00,在售,住宅
1栋C座1401,85.87,19344.04,66.06,25144.91,1661073.00,在售,住宅
1栋C座1306,89.77,20862.14,69.06,27118.37,1872795.00,在售,住宅
1栋C座1305,88.72,20581.01,68.25,26753.81,1825948.00,在售,住宅
1栋C座1303,88.65,20721.57,68.20,26935.01,1836968.00,在售,住宅
1栋C座1302,88.57,19100.47,68.14,24827.25,1691729.00,在售,住宅
1栋C座1301,85.87,19316.53,66.06,25109.15,1658711.00,在售,住宅
1栋C座1206,89.77,20832.31,69.06,27079.59,1870117.00,在售,住宅
1栋C座1205,88.72,20551.19,68.25,26715.04,1823302.00,在售,住宅
1栋C座1203,88.65,20691.75,68.20,26896.24,1834324.00,在售,住宅
1栋C座1202,88.57,19072.97,68.14,24791.50,1689293.00,在售,住宅
1栋C座1201,85.87,19289.02,66.06,25073.40,1656349.00,在售,住宅
