房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2号楼C座3306,88.68,41190.00,70.13,52085.11,3652729.00,在售,住宅
2号楼C座3305,88.68,41506.00,70.13,52484.69,3680752.00,在售,住宅
2号楼C座3303,83.65,39566.00,66.15,50033.19,3309696.00,在售,住宅
2号楼C座3302,89.17,40558.00,70.51,51291.40,3616557.00,在售,住宅
2号楼C座3301,85.73,40664.00,67.80,51417.77,3486125.00,在售,住宅
2号楼C座3206,88.66,41305.00,70.13,52218.75,3662101.00,在售,住宅
2号楼C座3205,88.66,41621.00,70.13,52618.25,3690118.00,在售,住宅
2号楼C座3203,83.63,39681.00,66.15,50166.62,3318522.00,在售,住宅
2号楼C座3202,89.15,40673.00,70.51,51425.30,3625998.00,在售,住宅
2号楼C座3201,88.75,40779.00,70.20,51554.64,3619136.00,在售,住宅
2号楼C座3106,88.66,41270.00,70.13,52174.50,3658998.00,在售,住宅
2号楼C座3105,88.66,41586.00,70.13,52574.00,3687015.00,在售,住宅
2号楼C座3103,83.63,39646.00,66.15,50122.37,3315595.00,在售,住宅
2号楼C座3102,89.15,40638.00,70.51,51381.05,3622878.00,在售,住宅
2号楼C座3101,88.75,40744.00,70.20,51510.39,3616030.00,在售,住宅
2号楼C座3006,88.66,41235.00,70.13,52130.25,3655895.00,在售,住宅
2号楼C座3005,88.66,41551.00,70.13,52529.75,3683912.00,在售,住宅
2号楼C座3003,83.63,39611.00,66.15,50078.12,3312668.00,在售,住宅
2号楼C座3002,89.15,40603.00,70.51,51336.78,3619757.00,在售,住宅
2号楼C座3001,88.75,40709.00,70.20,51466.15,3612924.00,在售,住宅
2号楼C座2906,88.66,41200.00,70.13,52086.01,3652792.00,在售,住宅
2号楼C座2905,88.66,41516.00,70.13,52485.51,3680809.00,在售,住宅
2号楼C座2903,83.63,39576.00,66.15,50033.87,3309741.00,在售,住宅
2号楼C座2902,89.15,40568.00,70.51,51292.54,3616637.00,在售,住宅
2号楼C座2901,88.75,40674.00,70.20,51421.90,3609818.00,在售,住宅
2号楼C座2806,88.66,41165.00,70.13,52041.76,3649689.00,在售,住宅
2号楼C座2805,88.66,41481.00,70.13,52441.25,3677705.00,在售,住宅
2号楼C座2803,83.63,39541.00,66.15,49989.62,3306814.00,在售,住宅
2号楼C座2802,89.15,40533.00,70.51,51248.29,3613517.00,在售,住宅
2号楼C座2801,88.75,40639.00,70.20,51377.64,3606711.00,在售,住宅
2号楼C座2706,88.66,41130.00,70.13,51997.51,3646586.00,在售,住宅
2号楼C座2705,88.66,41446.00,70.13,52397.00,3674602.00,在售,住宅
2号楼C座2703,83.63,39506.00,66.15,49945.38,3303887.00,在售,住宅
2号楼C座2702,89.15,40498.00,70.51,51204.04,3610397.00,在售,住宅
2号楼C座2701,88.75,40604.00,70.20,51333.40,3603605.00,在售,住宅
2号楼C座2606,88.66,41095.00,70.13,51953.27,3643483.00,在售,住宅
2号楼C座2605,88.66,41411.00,70.13,52352.75,3671499.00,在售,住宅
2号楼C座2603,83.63,39471.00,66.15,49901.13,3300960.00,在售,住宅
2号楼C座2602,89.15,40463.00,70.51,51159.77,3607276.00,在售,住宅
2号楼C座2601,88.75,40569.00,70.20,51289.15,3600499.00,在售,住宅
2号楼C座2506,88.66,42060.00,70.13,53173.24,3729040.00,在售,住宅
2号楼C座2505,88.66,42376.00,70.13,53572.73,3757056.00,在售,住宅
2号楼C座2503,83.63,40436.00,66.15,51121.13,3381663.00,在售,住宅
2号楼C座2502,89.15,41428.00,70.51,52379.88,3693306.00,在售,住宅
2号楼C座2501,88.75,41534.00,70.20,52509.15,3686143.00,在售,住宅
2号楼C座2406,88.66,41980.00,70.13,53072.10,3721947.00,在售,住宅
2号楼C座2405,88.66,42296.00,70.13,53471.59,3749963.00,在售,住宅
2号楼C座2403,83.63,40356.00,66.15,51019.98,3374972.00,在售,住宅
2号楼C座2402,89.15,41348.00,70.51,52278.74,3686174.00,在售,住宅
2号楼C座2401,88.75,41454.00,70.20,52408.01,3679043.00,在售,住宅
2号楼C座2306,88.66,41900.00,70.13,52970.96,3714854.00,在售,住宅
2号楼C座2305,88.66,42216.00,70.13,53370.46,3742871.00,在售,住宅
2号楼C座2303,83.63,40276.00,66.15,50918.85,3368282.00,在售,住宅
2号楼C座2302,89.15,41268.00,70.51,52177.59,3679042.00,在售,住宅
2号楼C座2301,88.75,41374.00,70.20,52306.88,3671943.00,在售,住宅
2号楼C座2206,88.66,41820.00,70.13,52869.82,3707761.00,在售,住宅
2号楼C座2205,88.66,42136.00,70.13,53269.32,3735778.00,在售,住宅
2号楼C座2203,83.63,40196.00,66.15,50817.70,3361591.00,在售,住宅
2号楼C座2202,89.15,41188.00,70.51,52076.44,3671910.00,在售,住宅
2号楼C座2201,88.75,41294.00,70.20,52205.74,3664843.00,在售,住宅
2号楼C座2106,88.66,41740.00,70.13,52768.68,3700668.00,在售,住宅
2号楼C座2105,88.66,42056.00,70.13,53168.18,3728685.00,在售,住宅
2号楼C座2103,83.63,40116.00,66.15,50716.56,3354901.00,在售,住宅
2号楼C座2102,89.15,41108.00,70.51,51975.29,3664778.00,在售,住宅
2号楼C座2101,88.75,41214.00,70.20,52104.60,3657743.00,在售,住宅
2号楼C座2006,88.66,41660.00,70.13,52667.56,3693576.00,在售,住宅
2号楼C座2005,88.66,41976.00,70.13,53067.04,3721592.00,在售,住宅
2号楼C座2003,83.63,40036.00,66.15,50615.43,3348211.00,在售,住宅
2号楼C座2002,89.15,41028.00,70.51,51874.14,3657646.00,在售,住宅
2号楼C座2001,88.75,41134.00,70.20,52003.46,3650643.00,在售,住宅
2号楼C座1906,88.66,41580.00,70.13,52566.41,3686483.00,在售,住宅
2号楼C座1905,88.66,41896.00,70.13,52965.90,3714499.00,在售,住宅
2号楼C座1903,83.63,39956.00,66.15,50514.28,3341520.00,在售,住宅
2号楼C座1902,89.15,40948.00,70.51,51772.99,3650514.00,在售,住宅
2号楼C座1901,88.75,41054.00,70.20,51902.32,3643543.00,在售,住宅
2号楼C座1806,88.66,41500.00,70.13,52465.27,3679390.00,在售,住宅
2号楼C座1805,88.66,41816.00,70.13,52864.77,3707407.00,在售,住宅
2号楼C座1803,83.63,39876.00,66.15,50413.15,3334830.00,在售,住宅
2号楼C座1802,89.15,40868.00,70.51,51671.84,3643382.00,在售,住宅
2号楼C座1801,88.75,40974.00,70.20,51801.18,3636443.00,在售,住宅
2号楼C座1706,88.66,41420.00,70.13,52364.13,3672297.00,在售,住宅
2号楼C座1705,88.66,41736.00,70.13,52763.63,3700314.00,在售,住宅
2号楼C座1703,83.63,39796.00,66.15,50312.00,3328139.00,在售,住宅
2号楼C座1702,89.15,40788.00,70.51,51570.69,3636250.00,在售,住宅
2号楼C座1701,88.75,40894.00,70.20,51700.04,3629343.00,在售,住宅
2号楼C座1606,88.66,41340.00,70.13,52262.99,3665204.00,在售,住宅
2号楼C座1605,88.66,41656.00,70.13,52662.49,3693221.00,在售,住宅
2号楼C座1603,83.63,39716.00,66.15,50210.86,3321449.00,在售,住宅
2号楼C座1602,89.15,40708.00,70.51,51469.55,3629118.00,在售,住宅
2号楼C座1601,88.75,40814.00,70.20,51598.90,3622243.00,在售,住宅
2号楼C座1506,88.66,41260.00,70.13,52161.87,3658112.00,在售,住宅
2号楼C座1505,88.66,41576.00,70.13,52561.35,3686128.00,在售,住宅
2号楼C座1503,83.63,39636.00,66.15,50109.73,3314759.00,在售,住宅
2号楼C座1502,89.15,40628.00,70.51,51368.40,3621986.00,在售,住宅
2号楼C座1501,88.75,40734.00,70.20,51497.76,3615143.00,在售,住宅
2号楼C座1406,88.66,41180.00,70.13,52060.73,3651019.00,在售,住宅
2号楼C座1405,88.66,41496.00,70.13,52460.21,3679035.00,在售,住宅
2号楼C座1403,83.63,39556.00,66.15,50008.58,3308068.00,在售,住宅
2号楼C座1402,89.15,40548.00,70.51,51267.25,3614854.00,在售,住宅
2号楼C座1401,88.75,40654.00,70.20,51396.62,3608043.00,在售,住宅
2号楼C座1306,88.66,41100.00,70.13,51959.58,3643926.00,在售,住宅
2号楼C座1305,88.66,41416.00,70.13,52359.09,3671943.00,在售,住宅
2号楼C座1303,83.63,39476.00,66.15,49907.45,3301378.00,在售,住宅
2号楼C座1302,89.15,40468.00,70.51,51166.10,3607722.00,在售,住宅
2号楼C座1301,88.75,40574.00,70.20,51295.48,3600943.00,在售,住宅
2号楼C座1206,88.66,41020.00,70.13,51858.44,3636833.00,在售,住宅
2号楼C座1205,88.66,41336.00,70.13,52257.94,3664850.00,在售,住宅
2号楼C座1203,83.63,39396.00,66.15,49806.30,3294687.00,在售,住宅
2号楼C座1202,89.15,40388.00,70.51,51064.95,3600590.00,在售,住宅
2号楼C座1201,88.75,40494.00,70.20,51194.34,3593843.00,在售,住宅
2号楼C座1106,88.66,40440.00,70.13,51125.19,3585410.00,在售,住宅
2号楼C座1105,88.66,40756.00,70.13,51524.69,3613427.00,在售,住宅
2号楼C座1103,83.63,38816.00,66.15,49073.04,3246182.00,在售,住宅
2号楼C座1102,89.15,39808.00,70.51,50331.62,3548883.00,在售,住宅
2号楼C座1101,88.75,39914.00,70.20,50461.08,3542368.00,在售,住宅
2号楼C座1006,88.66,40405.00,70.13,51080.94,3582307.00,在售,住宅
2号楼C座1005,88.66,40721.00,70.13,51480.45,3610324.00,在售,住宅
2号楼C座1003,83.63,38781.00,66.15,49028.79,3243255.00,在售,住宅
2号楼C座1002,89.15,39773.00,70.51,50287.37,3545763.00,在售,住宅
2号楼C座1001,88.75,39879.00,70.20,50416.82,3539261.00,在售,住宅
2号楼C座906,88.66,40370.00,70.13,51036.70,3579204.00,在售,住宅
2号楼C座905,88.66,40686.00,70.13,51436.20,3607221.00,在售,住宅
2号楼C座903,83.63,38746.00,66.15,48984.55,3240328.00,在售,住宅
2号楼C座902,89.15,39738.00,70.51,50243.12,3542643.00,在售,住宅
2号楼C座901,88.75,39844.00,70.20,50372.57,3536155.00,在售,住宅
2号楼C座806,88.66,40335.00,70.13,50992.45,3576101.00,在售,住宅
2号楼C座805,88.66,40651.00,70.13,51391.95,3604118.00,在售,住宅
2号楼C座803,83.63,38711.00,66.15,48940.30,3237401.00,在售,住宅
2号楼C座802,89.15,39703.00,70.51,50198.86,3539522.00,在售,住宅
2号楼C座801,88.75,39809.00,70.20,50328.33,3533049.00,在售,住宅
2号楼C座706,88.66,40300.00,70.13,50948.21,3572998.00,在售,住宅
2号楼C座705,88.66,40616.00,70.13,51347.71,3601015.00,在售,住宅
2号楼C座703,83.63,38676.00,66.15,48896.05,3234474.00,在售,住宅
2号楼C座702,89.15,39668.00,70.51,50154.61,3536402.00,在售,住宅
2号楼C座701,88.75,39774.00,70.20,50284.08,3529943.00,在售,住宅
2号楼C座606,88.66,40265.00,70.13,50903.96,3569895.00,在售,住宅
2号楼C座605,88.66,40581.00,70.13,51303.45,3597911.00,在售,住宅
2号楼C座603,83.63,38641.00,66.15,48851.80,3231547.00,在售,住宅
2号楼C座602,89.15,39633.00,70.51,50110.36,3533282.00,在售,住宅
2号楼C座601,88.75,39739.00,70.20,50239.82,3526836.00,在售,住宅
2号楼C座506,88.66,40230.00,70.13,50859.71,3566792.00,在售,住宅
2号楼C座505,88.66,40546.00,70.13,51259.20,3594808.00,在售,住宅
2号楼C座503,83.63,38606.00,66.15,48807.55,3228620.00,在售,住宅
2号楼C座502,89.15,39598.00,70.51,50066.11,3530162.00,在售,住宅
2号楼C座501,88.75,39704.00,70.20,50195.58,3523730.00,在售,住宅
2号楼C座406,88.66,40195.00,70.13,50815.47,3563689.00,在售,住宅
2号楼C座405,88.66,40511.00,70.13,51214.95,3591705.00,在售,住宅
2号楼C座403,83.63,38571.00,66.15,48763.31,3225693.00,在售,住宅
2号楼C座402,89.15,39563.00,70.51,50021.85,3527041.00,在售,住宅
2号楼C座401,88.75,39669.00,70.20,50151.33,3520624.00,在售,住宅
2号楼C座306,88.61,40160.00,70.08,50778.79,3558578.00,在售,住宅
2号楼C座305,88.61,40476.00,70.08,51178.33,3586578.00,在售,住宅
2号楼C座303,83.52,38536.00,66.06,48721.26,3218527.00,在售,住宅
2号楼C座302,89.01,39528.00,70.40,49977.08,3518387.00,在售,住宅
2号楼C座301,88.68,39634.00,70.14,50110.39,3514743.00,在售,住宅
2号楼C座206,88.61,40125.00,70.08,50734.53,3555476.00,在售,住宅
2号楼C座205,88.61,40441.00,70.08,51134.08,3583477.00,在售,住宅
2号楼C座203,83.52,38501.00,66.05,48684.39,3215604.00,在售,住宅
2号楼C座202,89.01,39493.00,70.40,49932.84,3515272.00,在售,住宅
2号楼C座201,88.68,39599.00,70.14,50066.13,3511639.00,在售,住宅
2号楼B座3306,87.20,41927.00,70.12,52139.67,3656034.00,在售,住宅
2号楼B座3305,87.20,41611.00,70.12,51746.70,3628479.00,在售,住宅
2号楼B座3303,82.26,39251.00,66.15,48810.08,3228787.00,在售,住宅
2号楼B座3302,87.98,40243.00,70.76,50036.44,3540579.00,在售,住宅
2号楼B座3301,117.17,42790.00,94.23,53207.08,5013704.00,在售,住宅
