房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
A18栋08,194.92,78277.31,185.17,82398.95,15257814.00,在售,A18栋07
179.37,53216.00,170.40,56017.92,9545453.00,在售,A18栋06,197.13
48422.00,187.27,50971.61,9545453.00,在售,A18栋05,179.37,53216.00
170.40,56017.92,9545453.00,在售,A18栋03,179.37,53216.00,170.39
56021.21,9545453.00,在售
A18栋02,242.96,61169.98,230.80,64392.80,14861860.00,在售,A18栋01
242.96,76376.65,230.80,80400.65,18556472.00,在售,A17栋07,194.02
72965.28,185.18,76448.45,14156724.00,在售,A17栋06,178.55,53460.00
170.40,56017.92,9545453.00,在售,A17栋05,178.55,53460.00,170.40
56017.92,9545453.00,在售
A17栋03,178.55,53460.00,170.40,56017.92,9545453.00,在售,A17栋02
178.55,53460.00,170.40,56017.92,9545453.00,在售,A17栋01,194.02
71948.08,185.18,75382.69,13959368.00,在售,A16栋05,194.36,72868.90
185.17,76485.39,14162800.00,在售,A16栋03,178.86,59017.49,170.39
61951.22,10555870.00,在售
A16栋02,178.86,53368.00,170.39,56021.21,9545453.00,在售,A16栋01
194.36,66164.78,185.17,69448.54,12859788.00,在售,A15栋06,194.31
75956.65,185.17,79705.88,14759138.00,在售,A15栋05,178.82,63518.37
170.40,66657.01,11358356.00,在售,A15栋03,196.50,59316.23,187.27
62239.76,11655640.00,在售
A15栋02,178.82,63527.82,170.39,66670.84,11360046.00,在售,A15栋01
194.31,73918.61,185.17,77567.24,14363127.00,在售,A12栋07,194.02
80203.43,185.18,84032.13,15561070.00,在售,A12栋06,178.55,68125.14
170.40,71383.48,12163745.00,在售,A12栋05,178.55,68099.27,170.40
71356.36,12159125.00,在售
A12栋03,178.55,66990.00,170.40,70194.04,11961065.00,在售,A12栋02
178.55,67010.16,170.40,70215.17,11964665.00,在售,A12栋01,194.02
77128.02,185.18,80809.91,14964380.00,在售,A11栋05,201.43,89148.78
191.92,93566.27,17957240.00,在售,A11栋03,178.84,70219.00,170.39
73701.30,12557966.00,在售
A11栋02,178.84,70247.07,170.39,73730.77,12562986.00,在售,A11栋01
194.35,79035.91,185.17,82954.20,15360630.00,在售,A10栋07,194.01
81248.19,185.17,85126.97,15762962.00,在售,A10栋06,178.53,68125.58
170.39,71380.13,12162461.00,在售,A10栋05,178.53,68125.58,170.39
71380.13,12162461.00,在售
A10栋03,178.53,68125.58,170.39,71380.13,12162461.00,在售,A10栋02
178.53,69245.84,170.39,72553.91,12362461.00,在售,A10栋01,201.09
86334.17,191.92,90459.24,17360939.00,在售,A9栋07,194.02,76084.23
185.18,79716.29,14761864.00,在售,A9栋06,178.55,67563.45,170.40
70794.92,12063455.00,在售
A9栋05,178.55,68093.89,170.40,71350.73,12158165.00,在售,A9栋03
178.55,68103.92,170.40,71361.23,12159955.00,在售,A9栋02,178.55
69234.02,170.40,72545.39,12361735.00,在售,A9栋01,194.02,78110.93
185.18,81839.74,15155084.00,在售,A8栋09,193.85,77163.42,185.17
80780.52,14958130.00,在售
A8栋08,178.38,63680.22,170.39,66666.34,11359278.00,在售,A8栋07
178.38,63680.22,170.39,66666.34,11359278.00,在售,A8栋06,178.38
63680.22,170.39,66666.34,11359278.00,在售,A8栋05,178.38,63680.22
170.39,66666.34,11359278.00,在售,A8栋03,178.38,63680.22,170.39
66666.34,11359278.00,在售
A8栋02,178.38,63680.22,170.39,66666.34,11359278.00,在售,A8栋01
193.85,74593.44,185.17,78090.07,14459940.00,在售,A7栋09,193.85
69943.59,185.17,73222.25,13558565.00,在售,A7栋08,178.38,63704.64
170.39,66691.91,11363635.00,在售,A7栋07,178.38,63704.64,170.39
66691.91,11363635.00,在售
A7栋06,178.38,63704.64,170.39,66691.91,11363635.00,在售,A7栋05
178.38,63704.64,170.39,66691.91,11363635.00,在售,A7栋03,178.38
63704.64,170.39,66691.91,11363635.00,在售,A7栋02,178.38,63698.68
170.39,66685.67,11362572.00,在售,A7栋01,193.85,77169.33,185.17
80786.70,14959275.00,在售
A6栋07,194.02,80732.86,185.18,84586.83,15663790.00,在售,A6栋06
178.55,64749.53,170.40,67846.42,11561030.00,在售,A6栋05,178.55
64757.26,170.40,67854.51,11562410.00,在售,A6栋03,178.55,64769.02
170.40,67866.84,11564510.00,在售,A6栋02,178.55,64723.77,170.40
67819.42,11556430.00,在售
A6栋01,194.02,76063.80,185.18,79694.89,14757900.00,在售,A5栋07
194.01,79692.49,185.17,83497.00,15461140.00,在售,A5栋06,178.53
65313.22,170.39,68433.41,11660370.00,在售,A5栋05,178.53,65320.95
170.39,68441.51,11661750.00,在售,A5栋03,178.53,65332.71,170.39
68453.84,11663850.00,在售
A5栋02,178.53,65287.45,170.39,68406.42,11655770.00,在售,A5栋01
201.09,80382.71,191.92,84223.42,16164160.00,在售,A3栋05,201.43
84184.81,191.92,88356.33,16957347.00,在售,A3栋03,178.84,66288.34
170.39,69575.72,11855008.00,在售,A3栋02,178.84,66288.34,170.39
69575.72,11855008.00,在售
A3栋01,194.35,75417.82,185.17,79156.74,14657455.00,在售,A2栋07
194.02,76572.75,185.18,80228.13,14856646.00,在售,A2栋06,178.55
63643.99,170.40,66687.99,11363635.00,在售,A2栋05,178.55,63643.99
170.40,66687.99,11363635.00,在售,A2栋03,178.55,63643.99,170.40
66687.99,11363635.00,在售
A2栋02,178.55,63643.99,170.40,66687.99,11363635.00,在售,A2栋01
194.02,74037.55,185.18,77571.90,14364766.00,在售,A1栋07,194.02
75563.58,185.18,79170.78,14660846.00,在售,A1栋06,178.55,53460.95
170.40,56017.00,9545453.00,在售,A1栋05,178.55,53460.95,170.40
56017.00,9545453.00,在售
A1栋03,178.55,53460.95,170.40,56017.00,9545452.00,在售,A1栋02
178.55,53460.00,170.40,56017.00,9545296.00,在售,A1栋01,194.02
49960.00,185.18,52346.00,9693432.00,在售
