房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
4栋1413,71.19,30663.97,49.42,44171.75,2182968.03,在售,办公
4栋1412,57.28,34246.32,39.76,49336.75,1961629.38,在售,办公
4栋1411,57.28,34246.32,39.76,49336.75,1961629.38,在售,办公
4栋1410,57.28,34246.32,39.76,49336.75,1961629.38,在售,办公
4栋1409,57.28,34246.32,39.76,49336.75,1961629.38,在售,办公
4栋1408,71.19,31605.14,49.42,45527.52,2249970.38,在售,办公
4栋1407,32.29,35692.92,22.41,51429.03,1152524.68,在售,办公
4栋1406,71.19,30428.67,49.42,43832.80,2166217.44,在售,办公
4栋1405,57.28,33069.85,39.76,47641.87,1894241.14,在售,办公
4栋1404,57.28,33069.85,39.76,47641.87,1894241.14,在售,办公
4栋1403,57.28,33069.85,39.76,47641.87,1894241.14,在售,办公
4栋1402,57.28,33069.85,39.76,47641.87,1894241.14,在售,办公
4栋1401,71.19,29487.49,49.42,42477.03,2099215.09,在售,办公
4栋1313,71.19,30711.02,49.42,44239.54,2186318.14,在售,办公
4栋1312,57.28,34293.38,39.76,49404.55,1964324.91,在售,办公
4栋1311,57.28,34293.38,39.76,49404.55,1964324.91,在售,办公
4栋1310,57.28,34293.38,39.76,49404.55,1964324.91,在售,办公
4栋1309,57.28,34293.38,39.76,49404.55,1964324.91,在售,办公
4栋1308,71.19,31652.20,49.42,45595.31,2253320.50,在售,办公
4栋1307,32.29,36328.22,22.41,52344.41,1173038.33,在售,办公
4栋1306,71.19,30475.73,49.42,43900.59,2169567.56,在售,办公
4栋1305,57.28,33116.91,39.76,47709.67,1896936.67,在售,办公
4栋1304,57.28,33116.91,39.76,47709.67,1896936.67,在售,办公
4栋1303,57.28,33116.91,39.76,47709.67,1896936.67,在售,办公
4栋1302,57.28,33116.91,39.76,47709.67,1896936.67,在售,办公
4栋1301,71.19,29534.55,49.42,42544.82,2102565.20,在售,办公
4栋1213,71.19,30663.97,49.42,44171.75,2182968.03,在售,办公
4栋1212,57.28,34246.32,39.76,49336.75,1961629.38,在售,办公
4栋1211,57.28,34246.32,39.76,49336.75,1961629.38,在售,办公
4栋1210,57.28,34246.32,39.76,49336.75,1961629.38,在售,办公
4栋1209,57.28,34246.32,39.76,49336.75,1961629.38,在售,办公
4栋1208,71.19,31605.14,49.42,45527.52,2249970.38,在售,办公
4栋1207,32.29,36281.16,22.41,52276.60,1171518.80,在售,办公
4栋1206,71.19,30428.67,49.42,43832.80,2166217.44,在售,办公
4栋1205,57.28,33069.85,39.76,47641.87,1894241.14,在售,办公
4栋1204,57.28,33069.85,39.76,47641.87,1894241.14,在售,办公
4栋1203,57.28,33069.85,39.76,47641.87,1894241.14,在售,办公
4栋1202,57.28,33069.85,39.76,47641.87,1894241.14,在售,办公
4栋1201,71.19,29487.49,49.42,42477.03,2099215.09,在售,办公
4栋1113,71.19,30616.91,49.42,44103.96,2179617.91,在售,办公
4栋1112,57.28,34199.26,39.76,49268.96,1958933.85,在售,办公
4栋1111,57.28,34199.26,39.76,49268.96,1958933.85,在售,办公
4栋1110,57.28,34199.26,39.76,49268.96,1958933.85,在售,办公
4栋1109,57.28,34199.26,39.76,49268.96,1958933.85,在售,办公
4栋1108,71.19,31558.08,49.42,45459.73,2246620.26,在售,办公
4栋1107,32.29,36234.10,22.41,52208.80,1169999.27,在售,办公
4栋1106,71.19,30381.61,49.42,43765.02,2162867.32,在售,办公
4栋1105,57.28,33022.79,39.76,47574.08,1891545.61,在售,办公
4栋1104,57.28,33022.79,39.76,47574.08,1891545.61,在售,办公
4栋1103,57.28,33022.79,39.76,47574.08,1891545.61,在售,办公
4栋1102,57.28,33022.79,39.76,47574.08,1891545.61,在售,办公
4栋1101,71.19,29440.44,49.42,42409.24,2095864.97,在售,办公
4栋1013,71.19,30569.85,49.42,44036.17,2176267.79,在售,办公
4栋1012,57.28,34152.20,39.76,49201.16,1956238.32,在售,办公
4栋1011,57.28,34152.20,39.76,49201.16,1956238.32,在售,办公
4栋1010,57.28,34152.20,39.76,49201.16,1956238.32,在售,办公
4栋1009,57.28,34152.20,39.76,49201.16,1956238.32,在售,办公
4栋1008,71.19,31511.02,49.42,45391.94,2243270.14,在售,办公
4栋1007,32.29,36187.04,22.41,52140.99,1168479.74,在售,办公
4栋1006,71.19,30334.55,49.42,43697.23,2159517.20,在售,办公
4栋1005,57.28,32975.73,39.76,47506.28,1888850.08,在售,办公
4栋1004,57.28,32975.73,39.76,47506.28,1888850.08,在售,办公
