房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
E座1605,89.51,64125.59,70.70,81186.44,5739882.00,在售,住宅
E座1603,89.70,63713.35,70.84,80676.00,5715088.00,在售,住宅
E座1602,89.61,62765.19,70.77,79474.19,5624389.00,在售,住宅
E座1601,89.76,65094.36,70.89,82421.63,5842870.00,在售,住宅
E座1505,89.51,64125.59,70.70,81186.44,5739882.00,在售,住宅
E座1503,89.70,63713.35,70.84,80676.00,5715088.00,在售,住宅
E座1502,89.61,62765.19,70.77,79474.19,5624389.00,在售,住宅
E座1501,89.76,65094.36,70.89,82421.63,5842870.00,在售,住宅
E座1405,89.51,63816.41,70.70,80795.00,5712207.00,在售,住宅
E座1403,89.70,63404.17,70.84,80284.50,5687354.00,在售,住宅
E座1402,89.61,62456.01,70.77,79082.70,5596683.00,在售,住宅
E座1401,89.76,64785.18,70.89,82030.15,5815118.00,在售,住宅
E座1305,89.51,63507.23,70.70,80403.56,5684532.00,在售,住宅
E座1303,89.70,63094.98,70.84,79892.99,5659620.00,在售,住宅
E座1302,89.61,62146.82,70.77,78691.21,5568977.00,在售,住宅
E座1301,89.76,64475.99,70.89,81638.67,5787366.00,在售,住宅
E座1205,89.51,63198.04,70.70,80012.12,5656857.00,在售,住宅
E座1203,89.70,62785.80,70.84,79501.51,5631887.00,在售,住宅
E座1202,89.61,61837.64,70.77,78299.71,5541271.00,在售,住宅
E座1201,89.76,64166.81,70.89,81247.18,5759613.00,在售,住宅
E座1105,89.51,62888.86,70.70,79620.67,5629182.00,在售,住宅
E座1103,89.70,62476.62,70.84,79110.00,5604153.00,在售,住宅
E座1102,89.61,61528.46,70.77,77908.22,5513565.00,在售,住宅
E座1101,89.76,63857.63,70.89,80855.70,5731861.00,在售,住宅
E座1005,89.51,62579.68,70.70,79229.23,5601507.00,在售,住宅
E座1003,89.70,62167.43,70.84,78718.50,5576419.00,在售,住宅
E座1002,89.61,61219.27,70.77,77516.74,5485860.00,在售,住宅
E座1001,89.76,63548.44,70.89,80464.22,5704109.00,在售,住宅
E座905,89.51,62373.56,70.70,78968.27,5583057.00,在售,住宅
E座903,89.70,61961.31,70.84,78457.50,5557930.00,在售,住宅
E座902,89.61,61013.15,70.77,77255.74,5467389.00,在售,住宅
E座901,89.76,63342.32,70.89,80203.23,5685607.00,在售,住宅
E座805,89.51,62167.43,70.70,78707.31,5564607.00,在售,住宅
E座803,89.70,61755.19,70.84,78196.51,5539441.00,在售,住宅
E座802,89.61,60807.03,70.77,76994.74,5448918.00,在售,住宅
E座801,89.76,63136.20,70.89,79942.24,5667106.00,在售,住宅
E座705,89.51,61961.31,70.70,78446.35,5546157.00,在售,住宅
E座703,89.70,61549.07,70.84,77935.51,5520952.00,在售,住宅
E座702,89.61,60600.91,70.77,76733.75,5430448.00,在售,住宅
E座701,89.76,62930.08,70.89,79681.25,5648604.00,在售,住宅
E座605,89.51,61755.19,70.70,78185.38,5527707.00,在售,住宅
E座603,89.70,61342.95,70.84,77674.52,5502463.00,在售,住宅
E座602,89.61,60394.79,70.77,76472.75,5411977.00,在售,住宅
E座601,89.76,62723.96,70.89,79420.27,5630103.00,在售,住宅
E座505,89.51,60003.15,70.70,75967.22,5370883.00,在售,住宅
E座503,89.70,59590.91,70.84,75456.02,5345305.00,在售,住宅
E座502,89.61,60188.66,70.77,76211.77,5393507.00,在售,住宅
E座501,89.76,60971.92,70.89,77201.86,5472840.00,在售,住宅
E座405,89.51,59797.03,70.70,75706.26,5352433.00,在售,住宅
E座403,89.70,59384.79,70.84,75195.03,5326816.00,在售,住宅
E座402,89.61,59982.54,70.77,75950.77,5375036.00,在售,住宅
E座401,89.76,60765.80,70.89,76940.86,5454338.00,在售,住宅
E座305,89.51,58766.42,70.70,74401.45,5260183.00,在售,住宅
E座303,89.70,58354.18,70.84,73890.03,5234370.00,在售,住宅
E座302,89.61,59776.42,70.77,75689.76,5356565.00,在售,住宅
E座301,89.76,59735.19,70.89,75635.92,5361831.00,在售,住宅
D座1605,89.34,63507.22,71.63,79208.93,5673736.00,在售,住宅
D座1603,89.18,63919.47,71.49,79736.17,5700339.00,在售,住宅
D座1602,89.18,65218.04,71.49,81356.06,5816145.00,在售,住宅
D座1601,89.34,65259.26,71.63,81394.15,5830263.00,在售,住宅
D座1505,89.34,63507.22,71.63,79208.93,5673736.00,在售,住宅
D座1503,89.18,63919.47,71.49,79736.17,5700339.00,在售,住宅
D座1502,89.18,65218.04,71.49,81356.06,5816145.00,在售,住宅
D座1501,89.34,65259.26,71.63,81394.15,5830263.00,在售,住宅
D座1405,89.34,63198.04,71.63,78823.30,5646113.00,在售,住宅
D座1403,89.18,63610.29,71.49,79350.48,5672766.00,在售,住宅
D座1402,89.18,64908.86,71.49,80970.37,5788572.00,在售,住宅
D座1401,89.34,64950.08,71.63,81008.51,5802640.00,在售,住宅
D座1305,89.34,62888.86,71.63,78437.67,5618491.00,在售,住宅
D座1303,89.18,63301.10,71.49,78964.79,5645193.00,在售,住宅
D座1302,89.18,64599.67,71.49,80584.68,5760999.00,在售,住宅
D座1301,89.34,64640.89,71.63,80622.89,5775018.00,在售,住宅
D座1205,89.34,62579.67,71.63,78052.04,5590868.00,在售,住宅
D座1203,89.18,62991.92,71.49,78579.10,5617620.00,在售,住宅
D座1202,89.18,64290.49,71.49,80199.00,5733427.00,在售,住宅
D座1201,89.34,64331.71,71.63,80237.26,5747395.00,在售,住宅
D座1105,89.34,62270.49,71.63,77666.42,5563246.00,在售,住宅
D座1103,89.18,62682.74,71.49,78193.41,5590047.00,在售,住宅
D座1102,89.18,63981.31,71.49,79813.31,5705854.00,在售,住宅
D座1101,89.34,64022.53,71.63,79851.64,5719773.00,在售,住宅
D座1005,89.34,61961.31,71.63,77280.80,5535624.00,在售,住宅
D座1003,89.18,62373.55,71.49,77807.72,5562474.00,在售,住宅
