房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2栋座1层17,23.08,210000.00,22.49,215509.11,4846800.00,在售,商业
2栋座1层16,63.91,210000.00,62.27,215530.75,13421100.00,在售,商业
2栋座1层15,23.21,210000.00,22.61,215572.75,4874100.00,在售,商业
2栋座1层13,42.72,210000.00,41.62,215550.21,8971200.00,在售,商业
2栋座1层12,28.92,210000.00,28.18,215514.54,6073200.00,在售,商业
2栋座1层11,41.60,210000.00,40.53,215544.04,8736000.00,在售,商业
2栋座1层10,37.72,210000.00,36.75,215542.85,7921200.00,在售,商业
2栋座1层09,42.46,210000.00,41.37,215532.99,8916600.00,在售,商业
2栋座1层08,85.40,210000.00,83.20,215552.88,17934000.00,在售,商业
2栋座1层07,46.97,210000.00,45.76,215552.88,9863700.00,在售,商业
2栋座1层06,65.91,210000.00,64.22,215526.31,13841100.00,在售,商业
2栋座1层05,43.62,210000.00,42.50,215534.11,9160200.00,在售,商业
2栋座1层03,102.41,210000.00,99.78,215535.17,21506100.00,在售,商业
2栋座1层02,41.56,210000.00,40.49,215549.51,8727600.00,在售,商业
2栋座1层01,83.68,210000.00,81.53,215537.83,17572800.00,在售,商业
1栋G座3层02,475.16,210000.00,357.12,279411.96,99783600.00,在售,商业
1栋G座3层01,475.56,210000.00,357.41,279420.27,99867600.00,在售,商业
1栋G座2层02,475.16,210000.00,357.12,279411.96,99783600.00,在售,商业
1栋G座2层01,475.56,210000.00,357.41,279420.27,99867600.00,在售,商业
1栋G座1层03,479.89,210000.00,369.24,272930.61,100776900.00,在售,商业
1栋G座1层02,291.89,210000.00,224.59,272928.00,61296900.00,在售,商业
1栋G座1层01,489.81,210000.00,376.88,272925.33,102860100.00,在售,商业
1栋E、F座1层70,223.77,210000.00,185.33,253556.89,46991700.00,在售,商业
1栋E、F座1层69,248.23,210000.00,205.59,253554.64,52128300.00,在售,商业
1栋E、F座1层68,215.50,210000.00,178.48,253557.82,45255000.00,在售,商业
1栋E、F座1层67,215.50,210000.00,178.48,253557.82,45255000.00,在售,商业
1栋E、F座1层66,248.29,210000.00,205.64,253554.26,52140900.00,在售,商业
1栋E、F座1层65,225.28,210000.00,186.59,253544.13,47308800.00,在售,商业
1栋E、F座1层63,228.58,210000.00,189.31,253561.88,48001800.00,在售,商业
1栋D座半地下1层62,90.28,200000.00,88.57,203861.35,18056000.00,在售,商业
1栋D座半地下1层61,55.24,200000.00,54.19,203875.25,11048000.00,在售,商业
1栋D座半地下1层60,95.20,200000.00,93.39,203876.21,19040000.00,在售,商业
1栋D座半地下1层59,110.26,200000.00,108.16,203883.13,22052000.00,在售,商业
1栋D座半地下1层58,87.51,200000.00,85.85,203867.21,17502000.00,在售,商业
1栋D座半地下1层57,88.92,200000.00,87.23,203874.81,17784000.00,在售,商业
1栋D座半地下1层56,54.42,200000.00,53.39,203858.40,10884000.00,在售,商业
1栋D座半地下1层55,58.86,200000.00,57.74,203879.45,11772000.00,在售,商业
1栋D座半地下1层53,96.33,200000.00,94.50,203873.01,19266000.00,在售,商业
1栋D座半地下1层52,105.20,200000.00,103.20,203875.96,21040000.00,在售,商业
1栋D座半地下1层51,118.98,200000.00,116.72,203872.51,23796000.00,在售,商业
1栋E、F座半地下1层50,295.41,200000.00,250.33,236016.45,59082000.00,在售,商业
1栋E、F座半地下1层39,88.46,200000.00,78.81,224489.27,17692000.00,在售,商业
1栋E、F座半地下1层38,168.03,200000.00,149.69,224503.97,33606000.00,在售,商业
1栋E、F座半地下1层37,115.71,200000.00,103.08,224505.23,23142000.00,在售,商业
1栋E、F座半地下1层36,70.92,200000.00,63.18,224501.42,14184000.00,在售,商业
1栋E、F座半地下1层35,292.27,200000.00,260.38,224494.96,58454000.00,在售,商业
1栋E、F座半地下1层33,279.09,200000.00,248.64,224493.24,55818000.00,在售,商业
1栋E、F座半地下1层32,279.12,200000.00,248.67,224490.28,55824000.00,在售,商业
1栋E、F座半地下1层31,292.30,200000.00,260.41,224492.14,58460000.00,在售,商业
1栋E、F座半地下1层30,70.92,200000.00,63.18,224501.42,14184000.00,在售,商业
1栋E、F座半地下1层29,121.43,200000.00,108.18,224496.21,24286000.00,在售,商业
1栋E、F座半地下1层28,122.77,200000.00,109.37,224503.97,24554000.00,在售,商业
1栋E、F座半地下1层27,80.58,200000.00,71.79,224488.09,16116000.00,在售,商业
1栋E、F座半地下1层26,90.88,200000.00,80.96,224505.92,18176000.00,在售,商业
1栋E、F座半地下1层25,65.83,200000.00,58.64,224522.51,13166000.00,在售,商业
1栋E、F座半地下1层23,205.56,200000.00,174.55,235531.36,41112000.00,在售,商业
1栋G座半地下1层22,148.50,200000.00,132.03,224948.87,29700000.00,在售,商业
1栋G座半地下1层21,235.94,200000.00,209.77,224951.13,47188000.00,在售,商业
1栋G座半地下1层20,199.16,200000.00,177.06,224963.28,39832000.00,在售,商业
1栋G座半地下1层19,199.16,200000.00,177.06,224963.28,39832000.00,在售,商业
1栋G座半地下1层18,91.11,200000.00,81.00,224962.96,18222000.00,在售,商业
1栋G座2922,101.12,102500.00,69.17,149845.30,10364800.00,在售,商务公寓
1栋G座2921,55.99,102500.00,38.30,149842.68,5738975.00,在售,商务公寓
1栋G座2920,51.21,102500.00,35.03,149843.70,5249025.00,在售,商务公寓
1栋G座2919,48.06,102500.00,32.87,149867.66,4926150.00,在售,商务公寓
1栋G座2918,48.07,102500.00,32.88,149853.25,4927175.00,在售,商务公寓
1栋G座2917,48.06,102500.00,32.87,149867.66,4926150.00,在售,商务公寓
1栋G座2916,48.06,102500.00,32.87,149867.66,4926150.00,在售,商务公寓
1栋G座2915,48.06,102500.00,32.87,149867.66,4926150.00,在售,商务公寓
1栋G座2913,48.06,102500.00,32.87,149867.66,4926150.00,在售,商务公寓
1栋G座2912,53.98,102500.00,36.92,149863.21,5532950.00,在售,商务公寓
1栋G座2911,90.60,102500.00,61.97,149854.76,9286500.00,在售,商务公寓
1栋G座2910,55.99,102500.00,38.30,149842.68,5738975.00,在售,商务公寓
1栋G座2909,51.21,102500.00,35.03,149843.70,5249025.00,在售,商务公寓
1栋G座2908,48.06,102500.00,32.87,149867.66,4926150.00,在售,商务公寓
1栋G座2822,101.12,102400.00,69.17,149699.11,10354688.00,在售,商务公寓
1栋G座2821,55.99,102400.00,38.30,149696.50,5733376.00,在售,商务公寓
1栋G座2820,51.21,102400.00,35.03,149697.51,5243904.00,在售,商务公寓
1栋G座2819,48.06,102400.00,32.87,149721.44,4921344.00,在售,商务公寓
1栋G座2818,48.07,102400.00,32.88,149707.05,4922368.00,在售,商务公寓
1栋G座2817,48.06,102400.00,32.87,149721.44,4921344.00,在售,商务公寓
1栋G座2816,48.06,102400.00,32.87,149721.44,4921344.00,在售,商务公寓
1栋G座2815,48.06,102400.00,32.87,149721.44,4921344.00,在售,商务公寓
1栋G座2813,48.06,102400.00,32.87,149721.44,4921344.00,在售,商务公寓
1栋G座2812,53.98,102400.00,36.92,149717.00,5527552.00,在售,商务公寓
1栋G座2811,90.60,102400.00,61.97,149708.56,9277440.00,在售,商务公寓
1栋G座2810,55.99,102400.00,38.30,149696.50,5733376.00,在售,商务公寓
