房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
4号楼122,37.68,86398.33,36.69,88729.60,3255489.07,在售,商铺
4号楼121,38.13,85537.63,37.13,87841.36,3261549.83,在售,商铺
4号楼120,60.08,77595.16,58.50,79690.89,4661917.21,在售,商铺
4号楼119,46.21,79471.67,45.00,81608.57,3672385.87,在售,商铺
4号楼118,60.08,78363.42,58.50,80479.90,4708074.27,在售,商铺
4号楼117,42.18,74253.20,41.07,76260.04,3131999.98,在售,商铺
4号楼116,35.99,88430.45,35.04,90827.97,3182611.90,在售,商铺
4号楼115,61.52,102207.43,59.90,104971.64,6287801.09,在售,商铺
4号楼113,52.50,125534.86,51.12,128923.71,6590580.15,在售,商铺
4号楼112,54.18,97139.70,52.76,99754.15,5263028.95,在售,商铺
4号楼111,42.25,86744.71,41.14,89085.17,3664964.00,在售,商铺
4号楼110,58.51,87470.64,56.97,89835.13,5117907.15,在售,商铺
4号楼109,57.42,87470.64,55.91,89833.02,5022564.15,在售,商铺
4号楼108,35.75,84250.94,34.81,86526.03,3011971.11,在售,商铺
4号楼107,37.65,84610.07,36.66,86894.96,3185569.14,在售,商铺
4号楼106,49.20,80339.70,47.91,82502.89,3952713.24,在售,商铺
4号楼105,21.55,88197.91,20.98,90594.14,1900664.96,在售,商铺
4号楼103,46.00,83513.85,44.79,85769.97,3841637.10,在售,商铺
4号楼102,49.29,80613.88,48.00,82780.38,3973458.15,在售,商铺
4号楼101,24.33,89550.27,23.69,91969.53,2178758.07,在售,商铺
4号楼233,30.45,32874.00,22.50,44489.00,1000998.00,在售,商务公寓
4号楼232,43.48,34420.00,32.13,46579.00,1496560.00,在售,商务公寓
4号楼231,43.48,34420.00,32.13,46579.00,1496560.00,在售,商务公寓
4号楼230,43.48,34420.00,32.13,46579.00,1496560.00,在售,商务公寓
4号楼229,43.48,34420.00,32.13,46579.00,1496560.00,在售,商务公寓
4号楼228,43.48,34843.00,32.13,47152.00,1514970.00,在售,商务公寓
4号楼227,43.48,34655.00,32.13,46897.00,1506788.00,在售,商务公寓
4号楼226,43.48,34655.00,32.13,46897.00,1506788.00,在售,商务公寓
4号楼225,50.62,32545.00,37.40,44049.00,1647413.00,在售,商务公寓
4号楼223,43.38,34775.00,32.06,47053.00,1508503.00,在售,商务公寓
4号楼222,43.48,34996.00,32.13,47359.00,1521617.00,在售,商务公寓
4号楼221,43.48,35126.00,32.13,47534.00,1527242.00,在售,商务公寓
4号楼220,43.48,35126.00,32.13,47534.00,1527242.00,在售,商务公寓
4号楼219,43.48,35478.00,32.13,48011.00,1542583.00,在售,商务公寓
4号楼218,43.48,35243.00,32.13,47693.00,1532356.00,在售,商务公寓
4号楼217,43.48,34773.00,32.13,47056.00,1511901.00,在售,商务公寓
4号楼216,43.48,34773.00,32.13,47056.00,1511901.00,在售,商务公寓
4号楼215,43.48,34773.00,32.13,47056.00,1511901.00,在售,商务公寓
4号楼213,43.48,34773.00,32.13,47056.00,1511901.00,在售,商务公寓
4号楼212,43.48,34773.00,32.13,47056.00,1511901.00,在售,商务公寓
4号楼211,56.49,36709.00,41.74,49681.00,2073669.00,在售,商务公寓
4号楼210,56.35,36711.00,41.64,49679.00,2068614.00,在售,商务公寓
4号楼209,56.35,36711.00,41.64,49679.00,2068614.00,在售,商务公寓
4号楼208,55.52,36720.00,41.02,49699.00,2038648.00,在售,商务公寓
4号楼207,56.49,36709.00,41.74,49681.00,2073669.00,在售,商务公寓
4号楼206,56.35,36711.00,41.64,49679.00,2068614.00,在售,商务公寓
4号楼205,56.35,36711.00,41.64,49679.00,2068614.00,在售,商务公寓
4号楼203,56.35,36711.00,41.64,49679.00,2068614.00,在售,商务公寓
4号楼202,56.35,36711.00,41.64,49679.00,2068614.00,在售,商务公寓
4号楼201,55.52,36026.00,41.02,48760.00,2000123.00,在售,商务公寓
4号楼333,30.45,32874.00,22.50,44489.00,1000998.00,在售,商务公寓
4号楼332,43.48,34420.00,32.13,46579.00,1496560.00,在售,商务公寓
4号楼331,43.48,34420.00,32.13,46579.00,1496560.00,在售,商务公寓
4号楼330,43.48,34420.00,32.13,46579.00,1496560.00,在售,商务公寓
4号楼329,43.48,34420.00,32.13,46579.00,1496560.00,在售,商务公寓
4号楼328,43.48,34843.00,32.13,47152.00,1514970.00,在售,商务公寓
4号楼327,43.48,34655.00,32.13,46897.00,1506788.00,在售,商务公寓
4号楼326,43.48,34655.00,32.13,46897.00,1506788.00,在售,商务公寓
4号楼325,50.62,32545.00,37.40,44049.00,1647413.00,在售,商务公寓
4号楼323,43.38,34775.00,32.06,47053.00,1508503.00,在售,商务公寓
4号楼322,43.48,34996.00,32.13,47359.00,1521617.00,在售,商务公寓
4号楼321,43.48,35126.00,32.13,47534.00,1527242.00,在售,商务公寓
4号楼320,43.48,35126.00,32.13,47534.00,1527242.00,在售,商务公寓
4号楼319,43.48,35478.00,32.13,48011.00,1542583.00,在售,商务公寓
4号楼318,43.48,35243.00,32.13,47693.00,1532356.00,在售,商务公寓
4号楼317,43.48,34773.00,32.13,47056.00,1511901.00,在售,商务公寓
4号楼316,43.48,34773.00,32.13,47056.00,1511901.00,在售,商务公寓
4号楼315,43.48,34773.00,32.13,47056.00,1511901.00,在售,商务公寓
4号楼313,43.48,34773.00,32.13,47056.00,1511901.00,在售,商务公寓
4号楼312,43.48,34773.00,32.13,47056.00,1511901.00,在售,商务公寓
4号楼311,56.49,36709.00,41.74,49681.00,2073669.00,在售,商务公寓
4号楼310,56.35,36711.00,41.64,49679.00,2068614.00,在售,商务公寓
4号楼309,56.35,36711.00,41.64,49679.00,2068614.00,在售,商务公寓
4号楼308,55.52,36720.00,41.02,49699.00,2038648.00,在售,商务公寓
4号楼307,56.49,36709.00,41.74,49681.00,2073669.00,在售,商务公寓
4号楼306,56.35,36711.00,41.64,49679.00,2068614.00,在售,商务公寓
4号楼305,56.35,36711.00,41.64,49679.00,2068614.00,在售,商务公寓
4号楼303,56.35,36711.00,41.64,49679.00,2068614.00,在售,商务公寓
4号楼302,56.35,36711.00,41.64,49679.00,2068614.00,在售,商务公寓
4号楼301,55.52,36026.00,41.02,48760.00,2000123.00,在售,商务公寓
4号楼433,30.45,33462.00,22.50,45285.00,1018904.00,在售,商务公寓
4号楼432,43.48,35008.00,32.13,47375.00,1522129.00,在售,商务公寓
4号楼431,43.48,35008.00,32.13,47375.00,1522129.00,在售,商务公寓
4号楼430,43.48,35008.00,32.13,47375.00,1522129.00,在售,商务公寓
4号楼429,43.48,35008.00,32.13,47375.00,1522129.00,在售,商务公寓
4号楼428,43.48,35431.00,32.13,47948.00,1540538.00,在售,商务公寓
4号楼427,43.48,35243.00,32.13,47693.00,1532356.00,在售,商务公寓
4号楼426,43.48,35243.00,32.13,47693.00,1532356.00,在售,商务公寓
4号楼425,50.62,33133.00,37.40,44845.00,1677180.00,在售,商务公寓
4号楼423,43.38,35363.00,32.06,47849.00,1534012.00,在售,商务公寓
4号楼422,43.48,35584.00,32.13,48154.00,1547185.00,在售,商务公寓
4号楼421,43.48,35714.00,32.13,48330.00,1552811.00,在售,商务公寓
4号楼420,43.48,35714.00,32.13,48330.00,1552811.00,在售,商务公寓
4号楼419,43.48,36067.00,32.13,48807.00,1568151.00,在售,商务公寓
4号楼418,43.48,35831.00,32.13,48489.00,1557924.00,在售,商务公寓
4号楼417,43.48,35361.00,32.13,47852.00,1537470.00,在售,商务公寓
4号楼416,43.48,35361.00,32.13,47852.00,1537470.00,在售,商务公寓
4号楼415,43.48,35361.00,32.13,47852.00,1537470.00,在售,商务公寓
4号楼413,43.48,35361.00,32.13,47852.00,1537470.00,在售,商务公寓
4号楼412,43.48,35361.00,32.13,47852.00,1537470.00,在售,商务公寓
4号楼411,56.49,37297.00,41.74,50477.00,2106888.00,在售,商务公寓
4号楼410,56.35,37299.00,41.64,50475.00,2101751.00,在售,商务公寓
4号楼409,56.35,37299.00,41.64,50475.00,2101751.00,在售,商务公寓
4号楼408,55.52,37308.00,41.02,50495.00,2071296.00,在售,商务公寓
4号楼407,56.49,37297.00,41.74,50477.00,2106888.00,在售,商务公寓
4号楼406,56.35,37299.00,41.64,50475.00,2101751.00,在售,商务公寓
4号楼405,56.35,37299.00,41.64,50475.00,2101751.00,在售,商务公寓
4号楼403,56.35,37299.00,41.64,50475.00,2101751.00,在售,商务公寓
4号楼402,56.35,37299.00,41.64,50475.00,2101751.00,在售,商务公寓
4号楼401,55.52,36614.00,41.02,49556.00,2032771.00,在售,商务公寓
4号楼533,30.45,33462.00,22.50,45285.00,1018904.00,在售,商务公寓
4号楼532,43.48,35008.00,32.13,47375.00,1522129.00,在售,商务公寓
4号楼531,43.48,35008.00,32.13,47375.00,1522129.00,在售,商务公寓
4号楼530,43.48,35008.00,32.13,47375.00,1522129.00,在售,商务公寓
4号楼529,43.48,35008.00,32.13,47375.00,1522129.00,在售,商务公寓
4号楼528,43.48,35431.00,32.13,47948.00,1540538.00,在售,商务公寓
4号楼527,43.48,35243.00,32.13,47693.00,1532356.00,在售,商务公寓
4号楼526,43.48,35243.00,32.13,47693.00,1532356.00,在售,商务公寓
4号楼525,50.62,33133.00,37.40,44845.00,1677180.00,在售,商务公寓
4号楼523,43.38,35363.00,32.06,47849.00,1534012.00,在售,商务公寓
4号楼522,43.48,29776.91,32.13,40295.68,1294700.05,在售,商务公寓
4号楼521,43.48,35714.00,32.13,48330.00,1552811.00,在售,商务公寓
4号楼520,43.48,35714.00,32.13,48330.00,1552811.00,在售,商务公寓
4号楼519,43.48,36067.00,32.13,48807.00,1568151.00,在售,商务公寓
4号楼518,43.48,35831.00,32.13,48489.00,1557924.00,在售,商务公寓
4号楼517,43.48,35361.00,32.13,47852.00,1537470.00,在售,商务公寓
4号楼516,43.48,35361.00,32.13,47852.00,1537470.00,在售,商务公寓
4号楼515,43.48,35361.00,32.13,47852.00,1537470.00,在售,商务公寓
4号楼513,43.48,35361.00,32.13,47852.00,1537470.00,在售,商务公寓
4号楼512,43.48,35361.00,32.13,47852.00,1537470.00,在售,商务公寓
4号楼511,56.49,37297.00,41.74,50477.00,2106888.00,在售,商务公寓
4号楼510,56.35,37299.00,41.64,50475.00,2101751.00,在售,商务公寓
4号楼509,56.35,37299.00,41.64,50475.00,2101751.00,在售,商务公寓
4号楼508,55.52,37308.00,41.02,50495.00,2071296.00,在售,商务公寓
4号楼507,56.49,37297.00,41.74,50477.00,2106888.00,在售,商务公寓
4号楼506,56.35,37299.00,41.64,50475.00,2101751.00,在售,商务公寓
4号楼505,56.35,37299.00,41.64,50475.00,2101751.00,在售,商务公寓
4号楼503,56.35,37299.00,41.64,50475.00,2101751.00,在售,商务公寓
4号楼502,56.35,37299.00,41.64,50475.00,2101751.00,在售,商务公寓
4号楼501,55.52,36614.00,41.02,49556.00,2032771.00,在售,商务公寓
4号楼633,30.45,33815.00,22.50,45763.00,1029648.00,在售,商务公寓
4号楼632,43.48,35361.00,32.13,47852.00,1537470.00,在售,商务公寓
4号楼631,43.48,35361.00,32.13,47852.00,1537470.00,在售,商务公寓
4号楼630,43.48,35361.00,32.13,47852.00,1537470.00,在售,商务公寓
4号楼629,43.48,35361.00,32.13,47852.00,1537470.00,在售,商务公寓
4号楼628,43.48,35784.00,32.13,48425.00,1555879.00,在售,商务公寓
4号楼627,43.48,35596.00,32.13,48170.00,1547697.00,在售,商务公寓
4号楼626,43.48,35596.00,32.13,48170.00,1547697.00,在售,商务公寓
