房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
29J,92.71,64382.00,69.99,85281.54,5968855.00,在售,住宅
29H,171.34,66961.00,129.35,88698.09,11473098.00,在售,住宅
29G,92.71,65003.00,69.99,86104.13,6026428.00,在售,住宅
28H,172.70,66811.00,129.35,89201.86,11538260.00,在售,住宅
28E,59.01,65615.00,44.20,87600.48,3871941.00,在售,住宅
28B,88.31,64232.00,66.14,85762.44,5672328.00,在售,住宅
28A,88.31,64853.00,66.14,86591.59,5727168.00,在售,住宅
27H,172.70,66661.00,129.35,89001.58,11512355.00,在售,住宅
27E,59.01,65465.00,44.20,87400.23,3863090.00,在售,住宅
27B,88.31,64082.00,66.14,85562.16,5659081.00,在售,住宅
27A,88.31,64703.00,66.14,86391.32,5713922.00,在售,住宅
26H,172.70,66511.00,129.35,88801.31,11486450.00,在售,住宅
26E,59.01,65315.00,44.20,87199.95,3854238.00,在售,住宅
26B,88.31,63932.00,66.14,85361.88,5645835.00,在售,住宅
26A,88.31,64553.00,66.14,86191.03,5700675.00,在售,住宅
25E,59.02,65165.00,44.20,87014.43,3846038.00,在售,住宅
25D,90.00,61523.00,67.40,82152.37,5537070.00,在售,住宅
25C,81.74,66361.00,61.22,88604.18,5424348.00,在售,住宅
25B,88.31,63782.00,66.14,85161.60,5632588.00,在售,住宅
25A,88.31,64403.00,66.14,85990.76,5687429.00,在售,住宅
24E,59.02,65015.00,44.20,86814.14,3837185.00,在售,住宅
24D,90.00,61373.00,67.40,81952.08,5523570.00,在售,住宅
24C,81.74,66211.00,61.22,88403.90,5412087.00,在售,住宅
24B,88.31,63632.00,66.14,84961.32,5619342.00,在售,住宅
24A,88.31,62253.00,66.14,83120.08,5497562.00,在售,住宅
23E,59.02,64865.00,44.20,86613.85,3828332.00,在售,住宅
23D,90.00,61223.00,67.40,81751.78,5510070.00,在售,住宅
23C,81.74,66061.00,61.22,88203.63,5399826.00,在售,住宅
23B,88.31,63482.00,66.14,84761.04,5606095.00,在售,住宅
23A,88.31,62103.00,66.14,82919.81,5484316.00,在售,住宅
22E,59.02,64715.00,44.20,86413.55,3819479.00,在售,住宅
22D,90.00,61073.00,67.40,81551.48,5496570.00,在售,住宅
22C,81.74,65911.00,61.22,88003.35,5387565.00,在售,住宅
22B,88.31,63332.00,66.14,84560.77,5592849.00,在售,住宅
22A,88.31,61953.00,66.14,82719.52,5471069.00,在售,住宅
21E,59.02,64565.00,44.20,86213.26,3810626.00,在售,住宅
21D,90.00,60923.00,67.40,81351.19,5483070.00,在售,住宅
21C,81.74,65761.00,61.22,87803.07,5375304.00,在售,住宅
21B,88.31,63182.00,66.14,84360.48,5579602.00,在售,住宅
21A,88.31,61803.00,66.14,82519.25,5457823.00,在售,住宅
20E,59.02,64415.00,44.20,86012.96,3801773.00,在售,住宅
20D,90.00,60773.00,67.40,81150.89,5469570.00,在售,住宅
20C,81.74,65611.00,61.22,87602.79,5363043.00,在售,住宅
20B,88.31,63032.00,66.14,84160.21,5566356.00,在售,住宅
20A,88.31,61653.00,66.14,82318.96,5444576.00,在售,住宅
19E,59.02,64265.00,44.20,85812.67,3792920.00,在售,住宅
19D,90.00,60623.00,67.40,80950.59,5456070.00,在售,住宅
19C,81.74,65461.00,61.22,87402.52,5350782.00,在售,住宅
19B,88.31,62882.00,66.14,83959.92,5553109.00,在售,住宅
19A,88.31,61503.00,66.14,82118.69,5431330.00,在售,住宅
18E,59.02,64115.00,44.20,85612.38,3784067.00,在售,住宅
18D,90.00,60473.00,67.40,80750.30,5442570.00,在售,住宅
18C,81.74,65311.00,61.22,87202.24,5338521.00,在售,住宅
18B,88.31,62732.00,66.14,83759.65,5539863.00,在售,住宅
18A,88.31,61353.00,66.14,81918.40,5418083.00,在售,住宅
17E,59.02,63965.00,44.20,85412.08,3775214.00,在售,住宅
17D,90.00,60323.00,67.40,80550.00,5429070.00,在售,住宅
17C,81.74,65161.00,61.22,87001.96,5326260.00,在售,住宅
