房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2栋27,344.49,100000.00,335.84,102575.63,34449000.00,在售,商业
2栋26,320.98,100000.00,312.90,102582.29,32098000.00,在售,商业
2栋25,235.52,100000.00,229.60,102578.40,23552000.00,在售,商业
2栋24,16.29,100000.00,15.90,102452.83,1629000.00,在售,商业
2栋23,253.33,100000.00,246.92,102595.98,25333000.00,在售,商业
2栋22,188.84,100000.00,184.06,102596.98,18884000.00,在售,商业
2栋21,238.76,100000.00,232.71,102599.80,23876000.00,在售,商业
2栋20,252.25,35678.89,245.87,36604.71,9000000.00,在售,商业
2栋19,188.93,100000.00,184.14,102601.28,18893000.00,在售,商业
2栋18,251.55,100000.00,245.21,102585.54,25155000.00,在售,商业
2栋17,4.49,100000.00,4.39,102277.90,449000.00,在售,商业
2栋16,199.22,100000.00,194.15,102611.38,19922000.00,在售,商业
1栋15,71.20,100000.00,68.53,103896.10,7120000.00,在售,商业
1栋14,13.04,100000.00,12.55,103904.38,1304000.00,在售,商业
1栋13,4.56,100000.00,4.39,103872.44,456000.00,在售,商业
1栋12,111.93,100000.00,107.72,103908.28,11193000.00,在售,商业
1栋11,32.38,100000.00,31.16,103915.28,3238000.00,在售,商业
1栋10,47.42,100000.00,45.64,103900.09,4742000.00,在售,商业
1栋09,54.68,100000.00,52.63,103895.12,5468000.00,在售,商业
1栋08,56.67,78388.00,54.55,81434.80,4442268.00,在售,商业
1栋07,50.75,77976.00,48.85,81009.38,3957308.00,在售,商业
1栋06,54.68,100000.00,52.63,103895.12,5468000.00,在售,商业
1栋05,47.42,100000.00,45.64,103900.09,4742000.00,在售,商业
1栋04,32.38,100000.00,31.16,103915.28,3238000.00,在售,商业
1栋03,88.34,100000.00,85.03,103892.74,8834000.00,在售,商业
1栋02,4.56,100000.00,4.39,103872.44,456000.00,在售,商业
1栋01,24.24,100000.00,23.33,103900.56,2424000.00,在售,商业
2栋B座4006,87.24,20522.09,65.23,27446.68,1790346.97,在售,住宅
2栋B座4005,89.13,18998.85,66.64,25410.68,1693367.70,在售,住宅
2栋B座4004,89.13,18840.71,66.64,25199.16,1679272.17,在售,住宅
2栋B座4003,77.54,18735.28,57.97,25060.09,1452733.30,在售,住宅
2栋B座4002,67.36,18086.03,50.36,24191.32,1218274.64,在售,住宅
2栋B座4001,88.86,19652.75,66.44,26284.52,1746343.67,在售,住宅
2栋B座3906,87.37,20620.72,65.32,27581.64,1801632.63,在售,住宅
2栋B座3905,89.13,19098.85,66.64,25544.43,1702280.70,在售,住宅
2栋B座3904,89.13,18940.71,66.64,25332.91,1688185.17,在售,住宅
2栋B座3903,77.54,18835.28,57.97,25193.85,1460487.30,在售,住宅
2栋B座3902,67.36,18186.03,50.36,24325.07,1225010.64,在售,住宅
2栋B座3901,88.86,19752.75,66.44,26418.27,1755229.67,在售,住宅
2栋B座3806,87.37,20620.72,65.32,27581.64,1801632.63,在售,住宅
2栋B座3805,89.13,19098.85,66.64,25544.43,1702280.70,在售,住宅
2栋B座3804,89.13,18940.71,66.64,25332.91,1688185.17,在售,住宅
2栋B座3803,77.54,18835.28,57.97,25193.85,1460487.30,在售,住宅
2栋B座3802,67.36,18186.03,50.36,24325.07,1225010.64,在售,住宅
2栋B座3801,88.86,19752.75,66.44,26418.27,1755229.67,在售,住宅
2栋B座3706,87.37,20620.72,65.32,27581.64,1801632.63,在售,住宅
2栋B座3705,89.13,19098.85,66.64,25544.43,1702280.70,在售,住宅
2栋B座3704,89.13,18940.71,66.64,25332.91,1688185.17,在售,住宅
2栋B座3703,77.54,18835.28,57.97,25193.85,1460487.30,在售,住宅
2栋B座3702,67.36,18186.03,50.36,24325.07,1225010.64,在售,住宅
2栋B座3701,88.86,19752.75,66.44,26418.27,1755229.67,在售,住宅
2栋B座3606,87.37,20620.72,65.32,27581.64,1801632.63,在售,住宅
2栋B座3605,89.13,19098.85,66.64,25544.43,1702280.70,在售,住宅
2栋B座3604,89.13,18940.71,66.64,25332.91,1688185.17,在售,住宅
2栋B座3603,77.54,18835.28,57.97,25193.85,1460487.30,在售,住宅
2栋B座3602,67.36,18186.03,50.36,24325.07,1225010.64,在售,住宅
2栋B座3601,88.86,19752.75,66.44,26418.27,1755229.67,在售,住宅
2栋B座3506,87.37,20620.72,65.32,27581.64,1801632.63,在售,住宅
2栋B座3505,89.13,19098.85,66.64,25544.43,1702280.70,在售,住宅
2栋B座3504,89.13,18940.71,66.64,25332.91,1688185.17,在售,住宅
2栋B座3503,77.54,18835.28,57.97,25193.85,1460487.30,在售,住宅
2栋B座3502,67.36,18186.03,50.36,24325.07,1225010.64,在售,住宅
2栋B座3501,88.86,19752.75,66.44,26418.27,1755229.67,在售,住宅
2栋B座3406,87.37,20720.72,65.32,27715.40,1810369.63,在售,住宅
2栋B座3405,89.13,19198.85,66.64,25678.18,1711193.70,在售,住宅
2栋B座3404,89.13,19040.71,66.64,25466.66,1697098.17,在售,住宅
2栋B座3403,77.54,18935.28,57.97,25327.61,1468241.30,在售,住宅
2栋B座3402,67.36,18286.03,50.36,24458.83,1231746.64,在售,住宅
2栋B座3401,88.86,19852.75,66.44,26552.01,1764115.67,在售,住宅
2栋B座3306,87.37,20720.72,65.32,27715.40,1810369.63,在售,住宅
2栋B座3305,89.13,19198.85,66.64,25678.18,1711193.70,在售,住宅
2栋B座3304,89.13,19040.71,66.64,25466.66,1697098.17,在售,住宅
2栋B座3303,77.54,18935.28,57.97,25327.61,1468241.30,在售,住宅
2栋B座3302,67.36,18286.03,50.36,24458.83,1231746.64,在售,住宅
2栋B座3301,88.86,19852.75,66.44,26552.01,1764115.67,在售,住宅
2栋B座3206,87.37,20720.72,65.32,27715.40,1810369.63,在售,住宅
2栋B座3205,89.13,19198.85,66.64,25678.18,1711193.70,在售,住宅
2栋B座3204,89.13,19040.71,66.64,25466.66,1697098.17,在售,住宅
2栋B座3203,77.54,18935.28,57.97,25327.61,1468241.30,在售,住宅
2栋B座3202,67.36,18286.03,50.36,24458.83,1231746.64,在售,住宅
2栋B座3201,88.86,19852.75,66.44,26552.01,1764115.67,在售,住宅
